,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
188,,0.3.85,"09/13/2023, 00:30:00",235.0,lumi.54ef44100065cf48,3,"09/13/2023, 00:00:00"
187,"09/13/2023, 00:23:23",0.3.85,"09/13/2023, 00:30:00",235.000000,lumi.54ef44100065cf48,2,"09/13/2023, 00:00:00"
186,"09/13/2023, 00:23:23",0.3.85,"09/13/2023, 00:30:00",235.000000,lumi.54ef44100065cf48,1,"09/13/2023, 00:00:00"
185,,0.3.85,"09/13/2023, 03:30:00",232.0,lumi.54ef44100065cf48,3,"09/13/2023, 03:00:00"
184,"09/13/2023, 03:07:19",0.3.85,"09/13/2023, 03:30:00",237.000000,lumi.54ef44100065cf48,2,"09/13/2023, 03:00:00"
183,"09/13/2023, 03:11:44",0.3.85,"09/13/2023, 03:30:00",227.000000,lumi.54ef44100065cf48,1,"09/13/2023, 03:00:00"
182,,0.3.85,"09/13/2023, 04:00:00",0.0,lumi.54ef44100065cf48,3,"09/13/2023, 03:30:00"
181,"09/13/2023, 03:34:20",0.3.85,"09/13/2023, 04:00:00",0.000000,lumi.54ef44100065cf48,2,"09/13/2023, 03:30:00"
180,"09/13/2023, 03:34:20",0.3.85,"09/13/2023, 04:00:00",0.000000,lumi.54ef44100065cf48,1,"09/13/2023, 03:30:00"
179,,0.3.85,"09/13/2023, 04:30:00",8.333333,lumi.54ef44100065cf48,3,"09/13/2023, 04:00:00"
178,"09/13/2023, 04:16:54",0.3.85,"09/13/2023, 04:30:00",25.000000,lumi.54ef44100065cf48,2,"09/13/2023, 04:00:00"
177,"09/13/2023, 04:01:58",0.3.85,"09/13/2023, 04:30:00",0.000000,lumi.54ef44100065cf48,1,"09/13/2023, 04:00:00"
176,,0.3.85,"09/13/2023, 07:00:00",3.0,lumi.54ef44100065cf48,3,"09/13/2023, 06:30:00"
175,"09/13/2023, 06:45:55",0.3.85,"09/13/2023, 07:00:00",3.000000,lumi.54ef44100065cf48,2,"09/13/2023, 06:30:00"
174,"09/13/2023, 06:45:55",0.3.85,"09/13/2023, 07:00:00",3.000000,lumi.54ef44100065cf48,1,"09/13/2023, 06:30:00"
173,,0.3.85,"09/13/2023, 08:30:00",13.0,lumi.54ef44100065cf48,3,"09/13/2023, 08:00:00"
172,"09/13/2023, 08:25:52",0.3.85,"09/13/2023, 08:30:00",13.000000,lumi.54ef44100065cf48,2,"09/13/2023, 08:00:00"
171,"09/13/2023, 08:25:52",0.3.85,"09/13/2023, 08:30:00",13.000000,lumi.54ef44100065cf48,1,"09/13/2023, 08:00:00"
170,,0.3.85,"09/13/2023, 09:30:00",19.0,lumi.54ef44100065cf48,3,"09/13/2023, 09:00:00"
169,"09/13/2023, 09:29:53",0.3.85,"09/13/2023, 09:30:00",19.000000,lumi.54ef44100065cf48,2,"09/13/2023, 09:00:00"
168,"09/13/2023, 09:29:53",0.3.85,"09/13/2023, 09:30:00",19.000000,lumi.54ef44100065cf48,1,"09/13/2023, 09:00:00"
167,,0.3.85,"09/13/2023, 10:30:00",27.0,lumi.54ef44100065cf48,3,"09/13/2023, 10:00:00"
166,"09/13/2023, 10:07:39",0.3.85,"09/13/2023, 10:30:00",27.000000,lumi.54ef44100065cf48,2,"09/13/2023, 10:00:00"
165,"09/13/2023, 10:07:39",0.3.85,"09/13/2023, 10:30:00",27.000000,lumi.54ef44100065cf48,1,"09/13/2023, 10:00:00"
164,,0.3.85,"09/13/2023, 11:00:00",20.0,lumi.54ef44100065cf48,3,"09/13/2023, 10:30:00"
163,"09/13/2023, 10:49:48",0.3.85,"09/13/2023, 11:00:00",20.000000,lumi.54ef44100065cf48,2,"09/13/2023, 10:30:00"
162,"09/13/2023, 10:49:48",0.3.85,"09/13/2023, 11:00:00",20.000000,lumi.54ef44100065cf48,1,"09/13/2023, 10:30:00"
161,,0.3.85,"09/13/2023, 11:30:00",196.75,lumi.54ef44100065cf48,3,"09/13/2023, 11:00:00"
160,"09/13/2023, 11:19:11",0.3.85,"09/13/2023, 11:30:00",251.000000,lumi.54ef44100065cf48,2,"09/13/2023, 11:00:00"
159,"09/13/2023, 11:17:12",0.3.85,"09/13/2023, 11:30:00",100.000000,lumi.54ef44100065cf48,1,"09/13/2023, 11:00:00"
158,,0.3.85,"09/13/2023, 12:30:00",259.0,lumi.54ef44100065cf48,3,"09/13/2023, 12:00:00"
157,"09/13/2023, 12:13:51",0.3.85,"09/13/2023, 12:30:00",259.000000,lumi.54ef44100065cf48,2,"09/13/2023, 12:00:00"
156,"09/13/2023, 12:13:51",0.3.85,"09/13/2023, 12:30:00",259.000000,lumi.54ef44100065cf48,1,"09/13/2023, 12:00:00"
155,,0.3.85,"09/13/2023, 13:30:00",250.0,lumi.54ef44100065cf48,3,"09/13/2023, 13:00:00"
154,"09/13/2023, 13:08:30",0.3.85,"09/13/2023, 13:30:00",250.000000,lumi.54ef44100065cf48,2,"09/13/2023, 13:00:00"
153,"09/13/2023, 13:08:30",0.3.85,"09/13/2023, 13:30:00",250.000000,lumi.54ef44100065cf48,1,"09/13/2023, 13:00:00"
152,,0.3.85,"09/13/2023, 14:00:00",127.5,lumi.54ef44100065cf48,3,"09/13/2023, 13:30:00"
151,"09/13/2023, 13:57:37",0.3.85,"09/13/2023, 14:00:00",226.000000,lumi.54ef44100065cf48,2,"09/13/2023, 13:30:00"
150,"09/13/2023, 13:59:56",0.3.85,"09/13/2023, 14:00:00",10.000000,lumi.54ef44100065cf48,1,"09/13/2023, 13:30:00"
