,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
16,,3.1.85,"09/25/2023, 00:30:00","{""1"":1}",lumi.54ef44100051b0d7,4,"09/25/2023, 00:00:00"
15,,3.1.85,"09/25/2023, 01:00:00","{""1"":7}",lumi.54ef44100051b0d7,4,"09/25/2023, 00:30:00"
14,,3.1.85,"09/25/2023, 01:30:00","{""1"":1}",lumi.54ef44100051b0d7,4,"09/25/2023, 01:00:00"
13,,3.1.85,"09/25/2023, 07:00:00","{""1"":1}",lumi.54ef44100051b0d7,4,"09/25/2023, 06:30:00"
12,,3.1.85,"09/25/2023, 09:30:00","{""1"":3}",lumi.54ef44100051b0d7,4,"09/25/2023, 09:00:00"
11,,3.1.85,"09/25/2023, 10:00:00","{""1"":10}",lumi.54ef44100051b0d7,4,"09/25/2023, 09:30:00"
10,,3.1.85,"09/25/2023, 10:30:00","{""1"":8}",lumi.54ef44100051b0d7,4,"09/25/2023, 10:00:00"
9,,3.1.85,"09/26/2023, 05:30:00","{""1"":3}",lumi.54ef44100051b0d7,4,"09/26/2023, 05:00:00"
8,,3.1.85,"09/26/2023, 06:00:00","{""1"":1}",lumi.54ef44100051b0d7,4,"09/26/2023, 05:30:00"
7,,3.1.85,"09/26/2023, 10:00:00","{""1"":10}",lumi.54ef44100051b0d7,4,"09/26/2023, 09:30:00"
6,,3.1.85,"09/27/2023, 02:30:00","{""1"":2}",lumi.54ef44100051b0d7,4,"09/27/2023, 02:00:00"
5,,3.1.85,"09/27/2023, 03:00:00","{""1"":3}",lumi.54ef44100051b0d7,4,"09/27/2023, 02:30:00"
4,,3.1.85,"09/27/2023, 03:30:00","{""1"":1}",lumi.54ef44100051b0d7,4,"09/27/2023, 03:00:00"
3,,3.1.85,"09/27/2023, 08:30:00","{""1"":1}",lumi.54ef44100051b0d7,4,"09/27/2023, 08:00:00"
2,,3.1.85,"09/27/2023, 09:00:00","{""1"":1}",lumi.54ef44100051b0d7,4,"09/27/2023, 08:30:00"
1,,3.1.85,"09/27/2023, 09:30:00","{""1"":9}",lumi.54ef44100051b0d7,4,"09/27/2023, 09:00:00"
0,,3.1.85,"09/27/2023, 21:00:00","{""1"":3}",lumi.54ef44100051b0d7,4,"09/27/2023, 20:30:00"
