,timeStamp,resourceId,value,subjectId
9,"10/21/2023, 00:48:48",3.1.85,0,lumi.54ef4410003fe82c
8,"10/21/2023, 00:48:48",3.1.85,1,lumi.54ef4410003fe82c
7,"10/21/2023, 01:04:05",3.1.85,0,lumi.54ef4410003fe82c
6,"10/21/2023, 19:46:14",3.1.85,1,lumi.54ef4410003fe82c
5,"10/21/2023, 19:46:16",3.1.85,0,lumi.54ef4410003fe82c
4,"10/21/2023, 19:50:33",3.1.85,1,lumi.54ef4410003fe82c
3,"10/21/2023, 19:51:08",3.1.85,0,lumi.54ef4410003fe82c
2,"10/21/2023, 19:52:04",3.1.85,1,lumi.54ef4410003fe82c
1,"10/21/2023, 19:52:08",3.1.85,0,lumi.54ef4410003fe82c
0,"10/21/2023, 19:53:20",3.1.85,1,lumi.54ef4410003fe82c
