,timeStamp,resourceId,value,subjectId
299,"11/18/2023, 01:42:14",3.1.85,1,lumi.54ef44100051b0d7
298,"11/18/2023, 01:43:19",3.1.85,1,lumi.54ef44100051b0d7
297,"11/18/2023, 01:44:19",3.1.85,1,lumi.54ef44100051b0d7
296,"11/18/2023, 01:45:17",3.1.85,1,lumi.54ef44100051b0d7
295,"11/18/2023, 01:46:25",3.1.85,1,lumi.54ef44100051b0d7
294,"11/18/2023, 01:47:33",3.1.85,1,lumi.54ef44100051b0d7
293,"11/18/2023, 01:49:35",3.1.85,1,lumi.54ef44100051b0d7
292,"11/18/2023, 01:50:33",3.1.85,1,lumi.54ef44100051b0d7
291,"11/18/2023, 01:51:33",3.1.85,1,lumi.54ef44100051b0d7
290,"11/18/2023, 01:52:44",3.1.85,1,lumi.54ef44100051b0d7
289,"11/18/2023, 01:53:43",3.1.85,1,lumi.54ef44100051b0d7
288,"11/18/2023, 01:54:41",3.1.85,1,lumi.54ef44100051b0d7
287,"11/18/2023, 01:56:10",3.1.85,1,lumi.54ef44100051b0d7
286,"11/18/2023, 01:57:48",3.1.85,1,lumi.54ef44100051b0d7
285,"11/18/2023, 01:58:47",3.1.85,1,lumi.54ef44100051b0d7
284,"11/18/2023, 01:59:53",3.1.85,1,lumi.54ef44100051b0d7
283,"11/18/2023, 02:01:05",3.1.85,1,lumi.54ef44100051b0d7
282,"11/18/2023, 02:02:11",3.1.85,1,lumi.54ef44100051b0d7
281,"11/18/2023, 02:03:13",3.1.85,1,lumi.54ef44100051b0d7
280,"11/18/2023, 02:04:11",3.1.85,1,lumi.54ef44100051b0d7
279,"11/18/2023, 02:05:20",3.1.85,1,lumi.54ef44100051b0d7
278,"11/18/2023, 02:06:18",3.1.85,1,lumi.54ef44100051b0d7
277,"11/18/2023, 02:08:48",3.1.85,1,lumi.54ef44100051b0d7
276,"11/18/2023, 02:09:50",3.1.85,1,lumi.54ef44100051b0d7
275,"11/18/2023, 02:15:12",3.1.85,1,lumi.54ef44100051b0d7
274,"11/18/2023, 02:16:10",3.1.85,1,lumi.54ef44100051b0d7
273,"11/18/2023, 02:17:16",3.1.85,1,lumi.54ef44100051b0d7
272,"11/18/2023, 04:59:02",3.1.85,1,lumi.54ef44100051b0d7
271,"11/18/2023, 05:49:23",3.1.85,1,lumi.54ef44100051b0d7
270,"11/18/2023, 07:02:44",3.1.85,1,lumi.54ef44100051b0d7
