,timeStamp,resourceId,value,subjectId
13,"01/05/2024, 00:08:03",0.3.85,0,lumi.54ef44100065cf48
12,"01/05/2024, 01:02:38",0.3.85,0,lumi.54ef44100065cf48
11,"01/05/2024, 01:57:13",0.3.85,0,lumi.54ef44100065cf48
10,"01/05/2024, 02:51:48",0.3.85,0,lumi.54ef44100065cf48
9,"01/05/2024, 03:46:23",0.3.85,0,lumi.54ef44100065cf48
8,"01/05/2024, 04:40:58",0.3.85,0,lumi.54ef44100065cf48
7,"01/05/2024, 05:35:33",0.3.85,0,lumi.54ef44100065cf48
6,"01/05/2024, 06:30:08",0.3.85,0,lumi.54ef44100065cf48
5,"01/05/2024, 07:24:42",0.3.85,0,lumi.54ef44100065cf48
4,"01/05/2024, 08:19:17",0.3.85,3,lumi.54ef44100065cf48
3,"01/05/2024, 09:13:53",0.3.85,5,lumi.54ef44100065cf48
2,"01/05/2024, 10:08:28",0.3.85,5,lumi.54ef44100065cf48
1,"01/05/2024, 11:03:03",0.3.85,5,lumi.54ef44100065cf48
0,"01/05/2024, 11:57:38",0.3.85,11,lumi.54ef44100065cf48
