,timeStamp,resourceId,value,subjectId
14,"01/07/2024, 12:07:16",13.1.85,1,lumi.158d0008f34cd6
13,"01/07/2024, 15:18:29",13.1.85,1,lumi.158d0008f34cd6
12,"01/07/2024, 15:19:54",13.1.85,1,lumi.158d0008f34cd6
11,"01/07/2024, 15:21:40",13.1.85,1,lumi.158d0008f34cd6
10,"01/07/2024, 15:25:50",13.1.85,2,lumi.158d0008f34cd6
9,"01/07/2024, 19:34:28",13.1.85,1,lumi.158d0008f34cd6
8,"01/07/2024, 20:38:02",13.1.85,1,lumi.158d0008f34cd6
7,"01/07/2024, 20:39:02",13.1.85,2,lumi.158d0008f34cd6
6,"01/07/2024, 21:04:25",13.1.85,1,lumi.158d0008f34cd6
5,"01/07/2024, 21:05:58",13.1.85,1,lumi.158d0008f34cd6
4,"01/07/2024, 21:51:57",13.1.85,1,lumi.158d0008f34cd6
3,"01/07/2024, 22:53:44",13.1.85,2,lumi.158d0008f34cd6
2,"01/07/2024, 22:53:53",13.1.85,2,lumi.158d0008f34cd6
1,"01/07/2024, 22:53:53",13.1.85,1,lumi.158d0008f34cd6
0,"01/07/2024, 22:53:53",13.1.85,3,lumi.158d0008f34cd6
