,timeStamp,resourceId,value,subjectId
203,"01/08/2024, 16:06:28",0.12.85,7.95,lumi.54ef44100062a003
202,"01/08/2024, 16:06:28",0.13.85,30489.03,lumi.54ef44100062a003
201,"01/08/2024, 16:13:37",0.12.85,8.08,lumi.54ef44100062a003
200,"01/08/2024, 16:13:37",0.13.85,30489.96,lumi.54ef44100062a003
199,"01/08/2024, 16:20:11",0.12.85,8.08,lumi.54ef44100062a003
198,"01/08/2024, 16:20:11",0.13.85,30490.82,lumi.54ef44100062a003
197,"01/08/2024, 16:25:59",0.12.85,7.83,lumi.54ef44100062a003
196,"01/08/2024, 16:25:59",0.13.85,30491.58,lumi.54ef44100062a003
195,"01/08/2024, 16:32:11",0.13.85,30492.39,lumi.54ef44100062a003
194,"01/08/2024, 16:40:12",0.13.85,30493.44,lumi.54ef44100062a003
193,"01/08/2024, 16:46:09",0.12.85,7.83,lumi.54ef44100062a003
192,"01/08/2024, 16:46:09",0.13.85,30494.22,lumi.54ef44100062a003
191,"01/08/2024, 16:52:06",0.12.85,8.08,lumi.54ef44100062a003
190,"01/08/2024, 16:52:06",0.13.85,30494.99,lumi.54ef44100062a003
189,"01/08/2024, 16:58:40",0.12.85,7.83,lumi.54ef44100062a003
188,"01/08/2024, 16:58:40",0.13.85,30495.85,lumi.54ef44100062a003
187,"01/08/2024, 17:04:08",0.12.85,8.08,lumi.54ef44100062a003
186,"01/08/2024, 17:04:08",0.13.85,30496.57,lumi.54ef44100062a003
185,"01/08/2024, 17:09:32",0.13.85,30497.27,lumi.54ef44100062a003
184,"01/08/2024, 17:16:42",0.12.85,8.08,lumi.54ef44100062a003
183,"01/08/2024, 17:16:42",0.13.85,30498.22,lumi.54ef44100062a003
182,"01/08/2024, 17:21:55",0.12.85,7.95,lumi.54ef44100062a003
181,"01/08/2024, 17:21:55",0.13.85,30498.90,lumi.54ef44100062a003
180,"01/08/2024, 17:27:43",0.12.85,8.08,lumi.54ef44100062a003
179,"01/08/2024, 17:27:43",0.13.85,30499.67,lumi.54ef44100062a003
178,"01/08/2024, 17:33:40",0.12.85,8.21,lumi.54ef44100062a003
177,"01/08/2024, 17:33:40",0.13.85,30500.45,lumi.54ef44100062a003
176,"01/08/2024, 17:39:56",0.12.85,8.08,lumi.54ef44100062a003
175,"01/08/2024, 17:39:56",0.13.85,30501.28,lumi.54ef44100062a003
174,"01/08/2024, 17:46:57",0.12.85,7.83,lumi.54ef44100062a003
173,"01/08/2024, 17:46:57",0.13.85,30502.21,lumi.54ef44100062a003
172,"01/08/2024, 17:53:51",0.12.85,7.83,lumi.54ef44100062a003
171,"01/08/2024, 17:53:51",0.13.85,30503.12,lumi.54ef44100062a003
170,"01/08/2024, 17:59:01",0.12.85,8.21,lumi.54ef44100062a003
169,"01/08/2024, 17:59:01",0.13.85,30503.80,lumi.54ef44100062a003
168,"01/08/2024, 18:06:07",0.12.85,7.95,lumi.54ef44100062a003
167,"01/08/2024, 18:06:07",0.13.85,30504.73,lumi.54ef44100062a003
166,"01/08/2024, 18:12:23",0.12.85,8.08,lumi.54ef44100062a003
165,"01/08/2024, 18:12:23",0.13.85,30505.56,lumi.54ef44100062a003
164,"01/08/2024, 18:17:49",0.12.85,8.08,lumi.54ef44100062a003
163,"01/08/2024, 18:17:49",0.13.85,30506.28,lumi.54ef44100062a003
162,"01/08/2024, 18:24:09",0.12.85,8.21,lumi.54ef44100062a003
161,"01/08/2024, 18:24:09",0.13.85,30507.12,lumi.54ef44100062a003
160,"01/08/2024, 18:29:49",0.12.85,7.95,lumi.54ef44100062a003
159,"01/08/2024, 18:29:49",0.13.85,30507.87,lumi.54ef44100062a003
158,"01/08/2024, 18:36:25",0.12.85,7.95,lumi.54ef44100062a003
157,"01/08/2024, 18:36:25",0.13.85,30508.74,lumi.54ef44100062a003
156,"01/08/2024, 18:44:12",0.12.85,8.21,lumi.54ef44100062a003
155,"01/08/2024, 18:44:12",0.13.85,30509.77,lumi.54ef44100062a003
154,"01/08/2024, 18:49:19",0.12.85,8.08,lumi.54ef44100062a003
153,"01/08/2024, 18:49:19",0.13.85,30510.45,lumi.54ef44100062a003
152,"01/08/2024, 18:56:06",0.12.85,7.83,lumi.54ef44100062a003
151,"01/08/2024, 18:56:06",0.13.85,30511.35,lumi.54ef44100062a003
150,"01/08/2024, 19:02:52",0.12.85,7.95,lumi.54ef44100062a003
149,"01/08/2024, 19:02:52",0.13.85,30512.24,lumi.54ef44100062a003
148,"01/08/2024, 19:09:57",0.12.85,8.08,lumi.54ef44100062a003
147,"01/08/2024, 19:09:57",0.13.85,30513.17,lumi.54ef44100062a003
146,"01/08/2024, 19:15:34",0.13.85,30513.91,lumi.54ef44100062a003
145,"01/08/2024, 19:23:16",0.13.85,30514.93,lumi.54ef44100062a003
144,"01/08/2024, 19:28:36",0.12.85,8.08,lumi.54ef44100062a003
143,"01/08/2024, 19:28:36",0.13.85,30515.63,lumi.54ef44100062a003
142,"01/08/2024, 19:34:50",0.12.85,8.21,lumi.54ef44100062a003
141,"01/08/2024, 19:34:50",0.13.85,30516.45,lumi.54ef44100062a003
140,"01/08/2024, 19:40:50",0.12.85,8.08,lumi.54ef44100062a003
139,"01/08/2024, 19:40:50",0.13.85,30517.24,lumi.54ef44100062a003
138,"01/08/2024, 19:46:40",0.12.85,7.95,lumi.54ef44100062a003
137,"01/08/2024, 19:46:40",0.13.85,30518.00,lumi.54ef44100062a003
136,"01/08/2024, 19:52:49",0.12.85,8.08,lumi.54ef44100062a003
135,"01/08/2024, 19:52:49",0.13.85,30518.81,lumi.54ef44100062a003
134,"01/08/2024, 20:00:13",0.12.85,8.08,lumi.54ef44100062a003
133,"01/08/2024, 20:00:13",0.13.85,30519.79,lumi.54ef44100062a003
132,"01/08/2024, 20:05:40",0.12.85,7.95,lumi.54ef44100062a003
131,"01/08/2024, 20:05:40",0.13.85,30520.51,lumi.54ef44100062a003
130,"01/08/2024, 20:12:39",0.12.85,7.83,lumi.54ef44100062a003
129,"01/08/2024, 20:12:39",0.13.85,30521.43,lumi.54ef44100062a003
128,"01/08/2024, 20:20:44",0.13.85,30522.49,lumi.54ef44100062a003
127,"01/08/2024, 20:26:27",0.12.85,7.83,lumi.54ef44100062a003
126,"01/08/2024, 20:26:27",0.13.85,30523.24,lumi.54ef44100062a003
125,"01/08/2024, 20:32:02",0.12.85,8.08,lumi.54ef44100062a003
124,"01/08/2024, 20:32:02",0.13.85,30523.97,lumi.54ef44100062a003
123,"01/08/2024, 20:37:09",0.12.85,7.95,lumi.54ef44100062a003
122,"01/08/2024, 20:37:09",0.13.85,30524.65,lumi.54ef44100062a003
121,"01/08/2024, 20:43:05",0.12.85,8.21,lumi.54ef44100062a003
120,"01/08/2024, 20:43:05",0.13.85,30525.43,lumi.54ef44100062a003
119,"01/08/2024, 20:50:14",0.12.85,8.08,lumi.54ef44100062a003
118,"01/08/2024, 20:50:14",0.13.85,30526.38,lumi.54ef44100062a003
117,"01/08/2024, 20:57:03",0.13.85,30527.27,lumi.54ef44100062a003
116,"01/08/2024, 21:03:09",0.13.85,30528.08,lumi.54ef44100062a003
115,"01/08/2024, 21:11:14",0.12.85,8.08,lumi.54ef44100062a003
114,"01/08/2024, 21:11:14",0.13.85,30529.15,lumi.54ef44100062a003
113,"01/08/2024, 21:19:07",0.12.85,8.21,lumi.54ef44100062a003
112,"01/08/2024, 21:19:07",0.13.85,30530.18,lumi.54ef44100062a003
111,"01/08/2024, 21:24:30",0.12.85,8.21,lumi.54ef44100062a003
110,"01/08/2024, 21:24:30",0.13.85,30530.89,lumi.54ef44100062a003
109,"01/08/2024, 21:30:18",0.12.85,8.08,lumi.54ef44100062a003
108,"01/08/2024, 21:30:18",0.13.85,30531.66,lumi.54ef44100062a003
107,"01/08/2024, 21:35:38",0.12.85,7.95,lumi.54ef44100062a003
106,"01/08/2024, 21:35:38",0.13.85,30532.36,lumi.54ef44100062a003
105,"01/08/2024, 21:41:00",0.13.85,30533.07,lumi.54ef44100062a003
104,"01/08/2024, 21:47:49",0.12.85,7.95,lumi.54ef44100062a003
103,"01/08/2024, 21:47:49",0.13.85,30533.97,lumi.54ef44100062a003
102,"01/08/2024, 21:53:27",0.12.85,8.08,lumi.54ef44100062a003
101,"01/08/2024, 21:53:27",0.13.85,30534.71,lumi.54ef44100062a003
100,"01/08/2024, 22:00:06",0.12.85,7.95,lumi.54ef44100062a003
99,"01/08/2024, 22:00:06",0.13.85,30535.59,lumi.54ef44100062a003
98,"01/08/2024, 22:08:10",0.13.85,30536.65,lumi.54ef44100062a003
97,"01/08/2024, 22:15:37",0.12.85,7.95,lumi.54ef44100062a003
96,"01/08/2024, 22:15:37",0.13.85,30537.64,lumi.54ef44100062a003
95,"01/08/2024, 22:22:02",0.12.85,8.08,lumi.54ef44100062a003
94,"01/08/2024, 22:22:02",0.13.85,30538.48,lumi.54ef44100062a003
93,"01/08/2024, 22:29:44",0.13.85,30539.50,lumi.54ef44100062a003
92,"01/08/2024, 22:35:58",0.13.85,30540.32,lumi.54ef44100062a003
91,"01/08/2024, 22:42:32",0.12.85,8.08,lumi.54ef44100062a003
90,"01/08/2024, 22:42:32",0.13.85,30541.19,lumi.54ef44100062a003
89,"01/08/2024, 22:50:21",0.12.85,7.95,lumi.54ef44100062a003
88,"01/08/2024, 22:50:21",0.13.85,30542.22,lumi.54ef44100062a003
87,"01/08/2024, 22:57:08",0.12.85,7.95,lumi.54ef44100062a003
86,"01/08/2024, 22:57:08",0.13.85,30543.12,lumi.54ef44100062a003
85,"01/08/2024, 23:03:52",0.12.85,8.08,lumi.54ef44100062a003
84,"01/08/2024, 23:03:52",0.13.85,30544.01,lumi.54ef44100062a003
83,"01/08/2024, 23:11:42",0.13.85,30545.04,lumi.54ef44100062a003
82,"01/08/2024, 23:17:18",0.13.85,30545.78,lumi.54ef44100062a003
81,"01/08/2024, 23:22:55",0.12.85,8.08,lumi.54ef44100062a003
80,"01/08/2024, 23:22:55",0.13.85,30546.52,lumi.54ef44100062a003
79,"01/08/2024, 23:30:58",0.12.85,8.21,lumi.54ef44100062a003
78,"01/08/2024, 23:30:58",0.13.85,30547.59,lumi.54ef44100062a003
77,"01/08/2024, 23:39:01",0.12.85,7.95,lumi.54ef44100062a003
76,"01/08/2024, 23:39:01",0.13.85,30548.65,lumi.54ef44100062a003
75,"01/08/2024, 23:46:50",0.12.85,7.95,lumi.54ef44100062a003
74,"01/08/2024, 23:46:50",0.13.85,30549.68,lumi.54ef44100062a003
73,"01/08/2024, 23:54:10",0.12.85,7.83,lumi.54ef44100062a003
72,"01/08/2024, 23:54:10",0.13.85,30550.65,lumi.54ef44100062a003
71,"01/09/2024, 00:01:48",0.12.85,8.21,lumi.54ef44100062a003
70,"01/09/2024, 00:01:48",0.13.85,30551.66,lumi.54ef44100062a003
69,"01/09/2024, 00:09:29",0.12.85,7.95,lumi.54ef44100062a003
68,"01/09/2024, 00:09:29",0.13.85,30552.68,lumi.54ef44100062a003
67,"01/09/2024, 00:15:56",0.12.85,8.08,lumi.54ef44100062a003
66,"01/09/2024, 00:15:56",0.13.85,30553.53,lumi.54ef44100062a003
65,"01/09/2024, 00:23:54",0.12.85,8.21,lumi.54ef44100062a003
64,"01/09/2024, 00:23:54",0.13.85,30554.58,lumi.54ef44100062a003
63,"01/09/2024, 00:31:40",0.12.85,8.08,lumi.54ef44100062a003
62,"01/09/2024, 00:31:40",0.13.85,30555.61,lumi.54ef44100062a003
61,"01/09/2024, 00:36:52",0.12.85,7.95,lumi.54ef44100062a003
60,"01/09/2024, 00:36:52",0.13.85,30556.30,lumi.54ef44100062a003
59,"01/09/2024, 00:43:15",0.12.85,8.21,lumi.54ef44100062a003
58,"01/09/2024, 00:43:15",0.13.85,30557.14,lumi.54ef44100062a003
57,"01/09/2024, 00:51:12",0.12.85,8.08,lumi.54ef44100062a003
56,"01/09/2024, 00:51:12",0.13.85,30558.19,lumi.54ef44100062a003
55,"01/09/2024, 00:56:39",0.12.85,8.34,lumi.54ef44100062a003
54,"01/09/2024, 00:56:39",0.13.85,30558.92,lumi.54ef44100062a003
53,"01/09/2024, 01:04:24",0.12.85,8.48,lumi.54ef44100062a003
52,"01/09/2024, 01:04:24",0.13.85,30559.97,lumi.54ef44100062a003
51,"01/09/2024, 01:09:54",0.12.85,8.21,lumi.54ef44100062a003
50,"01/09/2024, 01:09:54",0.13.85,30560.72,lumi.54ef44100062a003
49,"01/09/2024, 01:17:13",0.12.85,8.21,lumi.54ef44100062a003
48,"01/09/2024, 01:17:13",0.13.85,30561.69,lumi.54ef44100062a003
47,"01/09/2024, 01:24:07",0.12.85,8.08,lumi.54ef44100062a003
46,"01/09/2024, 01:24:07",0.13.85,30562.60,lumi.54ef44100062a003
45,"01/09/2024, 01:31:47",0.12.85,7.95,lumi.54ef44100062a003
44,"01/09/2024, 01:31:47",0.13.85,30563.61,lumi.54ef44100062a003
43,"01/09/2024, 01:39:33",0.12.85,7.95,lumi.54ef44100062a003
42,"01/09/2024, 01:39:33",0.13.85,30564.64,lumi.54ef44100062a003
41,"01/09/2024, 01:45:53",0.12.85,8.21,lumi.54ef44100062a003
40,"01/09/2024, 01:45:53",0.13.85,30565.48,lumi.54ef44100062a003
39,"01/09/2024, 01:53:17",0.12.85,7.95,lumi.54ef44100062a003
