,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
275,,0.1.85,"08/30/2023, 01:00:00",2845.0,lumi.54ef4410004b0b21,3,"08/30/2023, 00:30:00"
274,,0.3.85,"08/30/2023, 01:00:00",100600.0,lumi.54ef4410004b0b21,3,"08/30/2023, 00:30:00"
273,,0.2.85,"08/30/2023, 01:00:00",8529.0,lumi.54ef4410004b0b21,3,"08/30/2023, 00:30:00"
272,"08/30/2023, 00:46:41",0.3.85,"08/30/2023, 01:00:00",100600.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 00:30:00"
271,"08/30/2023, 00:46:41",0.1.85,"08/30/2023, 01:00:00",2845.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 00:30:00"
270,"08/30/2023, 00:46:41",0.2.85,"08/30/2023, 01:00:00",8529.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 00:30:00"
269,"08/30/2023, 00:46:41",0.3.85,"08/30/2023, 01:00:00",100600.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 00:30:00"
268,"08/30/2023, 00:46:41",0.1.85,"08/30/2023, 01:00:00",2845.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 00:30:00"
267,"08/30/2023, 00:46:41",0.2.85,"08/30/2023, 01:00:00",8529.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 00:30:00"
266,,0.3.85,"08/30/2023, 01:30:00",100685.0,lumi.54ef4410004b0b21,3,"08/30/2023, 01:00:00"
265,"08/30/2023, 01:20:43",0.3.85,"08/30/2023, 01:30:00",100700.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 01:00:00"
264,"08/30/2023, 01:04:49",0.3.85,"08/30/2023, 01:30:00",100670.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 01:00:00"
263,,0.1.85,"08/30/2023, 02:00:00",2846.0,lumi.54ef4410004b0b21,3,"08/30/2023, 01:30:00"
262,,0.3.85,"08/30/2023, 02:00:00",100700.0,lumi.54ef4410004b0b21,3,"08/30/2023, 01:30:00"
261,,0.2.85,"08/30/2023, 02:00:00",8564.0,lumi.54ef4410004b0b21,3,"08/30/2023, 01:30:00"
260,"08/30/2023, 01:41:34",0.3.85,"08/30/2023, 02:00:00",100700.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 01:30:00"
259,"08/30/2023, 01:41:34",0.1.85,"08/30/2023, 02:00:00",2846.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 01:30:00"
258,"08/30/2023, 01:41:34",0.2.85,"08/30/2023, 02:00:00",8564.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 01:30:00"
257,"08/30/2023, 01:41:34",0.3.85,"08/30/2023, 02:00:00",100700.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 01:30:00"
256,"08/30/2023, 01:41:34",0.1.85,"08/30/2023, 02:00:00",2846.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 01:30:00"
255,"08/30/2023, 01:41:34",0.2.85,"08/30/2023, 02:00:00",8564.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 01:30:00"
254,,0.1.85,"08/30/2023, 03:00:00",2846.0,lumi.54ef4410004b0b21,3,"08/30/2023, 02:30:00"
253,,0.3.85,"08/30/2023, 03:00:00",100715.0,lumi.54ef4410004b0b21,3,"08/30/2023, 02:30:00"
252,,0.2.85,"08/30/2023, 03:00:00",8579.0,lumi.54ef4410004b0b21,3,"08/30/2023, 02:30:00"
251,"08/30/2023, 02:39:46",0.3.85,"08/30/2023, 03:00:00",100730.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 02:30:00"
250,"08/30/2023, 02:36:26",0.1.85,"08/30/2023, 03:00:00",2846.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 02:30:00"
249,"08/30/2023, 02:36:26",0.2.85,"08/30/2023, 03:00:00",8579.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 02:30:00"
248,"08/30/2023, 02:36:26",0.3.85,"08/30/2023, 03:00:00",100700.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 02:30:00"
247,"08/30/2023, 02:36:26",0.1.85,"08/30/2023, 03:00:00",2846.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 02:30:00"
246,"08/30/2023, 02:36:26",0.2.85,"08/30/2023, 03:00:00",8579.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 02:30:00"
245,,0.3.85,"08/30/2023, 03:30:00",100700.0,lumi.54ef4410004b0b21,3,"08/30/2023, 03:00:00"
244,"08/30/2023, 03:21:05",0.3.85,"08/30/2023, 03:30:00",100700.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 03:00:00"
243,"08/30/2023, 03:21:05",0.3.85,"08/30/2023, 03:30:00",100700.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 03:00:00"
242,,0.1.85,"08/30/2023, 04:00:00",2852.0,lumi.54ef4410004b0b21,3,"08/30/2023, 03:30:00"
241,,0.3.85,"08/30/2023, 04:00:00",100700.0,lumi.54ef4410004b0b21,3,"08/30/2023, 03:30:00"
240,,0.2.85,"08/30/2023, 04:00:00",8579.0,lumi.54ef4410004b0b21,3,"08/30/2023, 03:30:00"
239,"08/30/2023, 03:31:19",0.3.85,"08/30/2023, 04:00:00",100700.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 03:30:00"
238,"08/30/2023, 03:31:19",0.1.85,"08/30/2023, 04:00:00",2852.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 03:30:00"
237,"08/30/2023, 03:31:19",0.2.85,"08/30/2023, 04:00:00",8579.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 03:30:00"
236,"08/30/2023, 03:31:19",0.3.85,"08/30/2023, 04:00:00",100700.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 03:30:00"
235,"08/30/2023, 03:31:19",0.1.85,"08/30/2023, 04:00:00",2852.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 03:30:00"
234,"08/30/2023, 03:31:19",0.2.85,"08/30/2023, 04:00:00",8579.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 03:30:00"
233,,0.1.85,"08/30/2023, 04:30:00",2853.0,lumi.54ef4410004b0b21,3,"08/30/2023, 04:00:00"
232,,0.3.85,"08/30/2023, 04:30:00",100600.0,lumi.54ef4410004b0b21,3,"08/30/2023, 04:00:00"
231,,0.2.85,"08/30/2023, 04:30:00",8573.0,lumi.54ef4410004b0b21,3,"08/30/2023, 04:00:00"
230,"08/30/2023, 04:26:11",0.3.85,"08/30/2023, 04:30:00",100600.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 04:00:00"
229,"08/30/2023, 04:26:11",0.1.85,"08/30/2023, 04:30:00",2853.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 04:00:00"
228,"08/30/2023, 04:26:11",0.2.85,"08/30/2023, 04:30:00",8573.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 04:00:00"
227,"08/30/2023, 04:26:11",0.3.85,"08/30/2023, 04:30:00",100600.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 04:00:00"
226,"08/30/2023, 04:26:11",0.1.85,"08/30/2023, 04:30:00",2853.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 04:00:00"
225,"08/30/2023, 04:26:11",0.2.85,"08/30/2023, 04:30:00",8573.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 04:00:00"
224,,0.1.85,"08/30/2023, 05:30:00",2850.0,lumi.54ef4410004b0b21,3,"08/30/2023, 05:00:00"
223,,0.3.85,"08/30/2023, 05:30:00",100700.0,lumi.54ef4410004b0b21,3,"08/30/2023, 05:00:00"
222,,0.2.85,"08/30/2023, 05:30:00",8589.0,lumi.54ef4410004b0b21,3,"08/30/2023, 05:00:00"
221,"08/30/2023, 05:21:04",0.3.85,"08/30/2023, 05:30:00",100700.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 05:00:00"
220,"08/30/2023, 05:21:04",0.1.85,"08/30/2023, 05:30:00",2850.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 05:00:00"
219,"08/30/2023, 05:21:04",0.2.85,"08/30/2023, 05:30:00",8589.000000,lumi.54ef4410004b0b21,2,"08/30/2023, 05:00:00"
218,"08/30/2023, 05:21:04",0.3.85,"08/30/2023, 05:30:00",100700.000000,lumi.54ef4410004b0b21,1,"08/30/2023, 05:00:00"
