,timeStamp,resourceId,value,subjectId
253,"10/19/2023, 00:33:54",0.3.85,101670,lumi.54ef4410004b0b21
252,"10/19/2023, 00:46:19",0.1.85,2103,lumi.54ef4410004b0b21
251,"10/19/2023, 00:46:19",0.2.85,7683,lumi.54ef4410004b0b21
250,"10/19/2023, 00:46:19",0.3.85,101600,lumi.54ef4410004b0b21
249,"10/19/2023, 01:16:52",0.3.85,101640,lumi.54ef4410004b0b21
248,"10/19/2023, 01:41:10",0.1.85,2102,lumi.54ef4410004b0b21
247,"10/19/2023, 01:41:10",0.2.85,7683,lumi.54ef4410004b0b21
246,"10/19/2023, 01:41:10",0.3.85,101600,lumi.54ef4410004b0b21
245,"10/19/2023, 01:48:20",0.3.85,101610,lumi.54ef4410004b0b21
244,"10/19/2023, 02:36:01",0.1.85,2102,lumi.54ef4410004b0b21
243,"10/19/2023, 02:36:01",0.2.85,7694,lumi.54ef4410004b0b21
242,"10/19/2023, 02:36:01",0.3.85,101600,lumi.54ef4410004b0b21
241,"10/19/2023, 02:49:34",0.3.85,101580,lumi.54ef4410004b0b21
240,"10/19/2023, 03:30:52",0.1.85,2100,lumi.54ef4410004b0b21
239,"10/19/2023, 03:30:52",0.2.85,7692,lumi.54ef4410004b0b21
238,"10/19/2023, 03:30:52",0.3.85,101500,lumi.54ef4410004b0b21
237,"10/19/2023, 03:44:58",0.3.85,101550,lumi.54ef4410004b0b21
236,"10/19/2023, 03:55:23",0.3.85,101580,lumi.54ef4410004b0b21
235,"10/19/2023, 04:25:43",0.1.85,2099,lumi.54ef4410004b0b21
234,"10/19/2023, 04:25:43",0.2.85,7706,lumi.54ef4410004b0b21
233,"10/19/2023, 04:25:43",0.3.85,101500,lumi.54ef4410004b0b21
232,"10/19/2023, 04:46:02",0.3.85,101610,lumi.54ef4410004b0b21
231,"10/19/2023, 05:20:34",0.1.85,2099,lumi.54ef4410004b0b21
230,"10/19/2023, 05:20:34",0.2.85,7710,lumi.54ef4410004b0b21
229,"10/19/2023, 05:20:34",0.3.85,101500,lumi.54ef4410004b0b21
228,"10/19/2023, 05:30:39",0.3.85,101580,lumi.54ef4410004b0b21
227,"10/19/2023, 05:47:28",0.3.85,101550,lumi.54ef4410004b0b21
226,"10/19/2023, 06:04:16",0.3.85,101580,lumi.54ef4410004b0b21
225,"10/19/2023, 06:15:25",0.1.85,2106,lumi.54ef4410004b0b21
224,"10/19/2023, 06:15:25",0.2.85,7764,lumi.54ef4410004b0b21
223,"10/19/2023, 06:15:25",0.3.85,101500,lumi.54ef4410004b0b21
222,"10/19/2023, 06:34:16",0.3.85,101610,lumi.54ef4410004b0b21
221,"10/19/2023, 07:10:16",0.1.85,2122,lumi.54ef4410004b0b21
220,"10/19/2023, 07:10:16",0.2.85,7830,lumi.54ef4410004b0b21
219,"10/19/2023, 07:10:16",0.3.85,101600,lumi.54ef4410004b0b21
218,"10/19/2023, 07:19:26",0.3.85,101580,lumi.54ef4410004b0b21
217,"10/19/2023, 07:42:17",0.3.85,101610,lumi.54ef4410004b0b21
216,"10/19/2023, 07:50:19",0.3.85,101580,lumi.54ef4410004b0b21
215,"10/19/2023, 07:55:37",0.3.85,101610,lumi.54ef4410004b0b21
214,"10/19/2023, 08:05:07",0.1.85,2116,lumi.54ef4410004b0b21
213,"10/19/2023, 08:05:07",0.2.85,7837,lumi.54ef4410004b0b21
212,"10/19/2023, 08:05:07",0.3.85,101600,lumi.54ef4410004b0b21
211,"10/19/2023, 08:38:35",0.3.85,101640,lumi.54ef4410004b0b21
210,"10/19/2023, 08:52:40",0.3.85,101610,lumi.54ef4410004b0b21
209,"10/19/2023, 08:59:58",0.1.85,2117,lumi.54ef4410004b0b21
208,"10/19/2023, 08:59:58",0.2.85,7850,lumi.54ef4410004b0b21
207,"10/19/2023, 08:59:58",0.3.85,101600,lumi.54ef4410004b0b21
206,"10/19/2023, 09:09:41",0.3.85,101580,lumi.54ef4410004b0b21
205,"10/19/2023, 09:54:49",0.1.85,2112,lumi.54ef4410004b0b21
204,"10/19/2023, 09:54:49",0.2.85,7850,lumi.54ef4410004b0b21
203,"10/19/2023, 09:54:49",0.3.85,101500,lumi.54ef4410004b0b21
202,"10/19/2023, 10:03:26",0.3.85,101550,lumi.54ef4410004b0b21
201,"10/19/2023, 10:37:04",0.3.85,101520,lumi.54ef4410004b0b21
200,"10/19/2023, 10:49:40",0.1.85,2117,lumi.54ef4410004b0b21
199,"10/19/2023, 10:49:40",0.2.85,7886,lumi.54ef4410004b0b21
198,"10/19/2023, 10:49:40",0.3.85,101500,lumi.54ef4410004b0b21
197,"10/19/2023, 10:55:00",0.3.85,101490,lumi.54ef4410004b0b21
196,"10/19/2023, 11:39:35",0.3.85,101460,lumi.54ef4410004b0b21
195,"10/19/2023, 11:44:32",0.1.85,2110,lumi.54ef4410004b0b21
194,"10/19/2023, 11:44:32",0.2.85,7882,lumi.54ef4410004b0b21
193,"10/19/2023, 11:44:32",0.3.85,101400,lumi.54ef4410004b0b21
192,"10/19/2023, 12:02:50",0.3.85,101430,lumi.54ef4410004b0b21
191,"10/19/2023, 12:23:07",0.3.85,101400,lumi.54ef4410004b0b21
190,"10/19/2023, 12:39:23",0.1.85,2117,lumi.54ef4410004b0b21
189,"10/19/2023, 12:39:23",0.2.85,7916,lumi.54ef4410004b0b21
188,"10/19/2023, 12:39:23",0.3.85,101300,lumi.54ef4410004b0b21
187,"10/19/2023, 12:39:36",0.3.85,101370,lumi.54ef4410004b0b21
186,"10/19/2023, 12:51:50",0.3.85,101340,lumi.54ef4410004b0b21
185,"10/19/2023, 13:07:55",0.3.85,101310,lumi.54ef4410004b0b21
184,"10/19/2023, 13:19:26",0.3.85,101280,lumi.54ef4410004b0b21
183,"10/19/2023, 13:34:14",0.1.85,2119,lumi.54ef4410004b0b21
182,"10/19/2023, 13:34:14",0.2.85,7949,lumi.54ef4410004b0b21
181,"10/19/2023, 13:34:14",0.3.85,101200,lumi.54ef4410004b0b21
180,"10/19/2023, 13:39:12",0.3.85,101250,lumi.54ef4410004b0b21
179,"10/19/2023, 14:08:15",0.3.85,101220,lumi.54ef4410004b0b21
178,"10/19/2023, 14:29:05",0.1.85,2122,lumi.54ef4410004b0b21
