,timeStamp,resourceId,value,subjectId
191,"10/29/2023, 01:41:28",3.1.85,1,lumi.54ef44100051b205
190,"10/29/2023, 01:44:51",3.1.85,1,lumi.54ef44100051b205
189,"10/29/2023, 01:49:37",3.1.85,1,lumi.54ef44100051b205
188,"10/29/2023, 02:52:52",3.1.85,1,lumi.54ef44100051b205
187,"10/29/2023, 03:23:33",3.1.85,1,lumi.54ef44100051b205
186,"10/29/2023, 04:32:26",3.1.85,1,lumi.54ef44100051b205
185,"10/29/2023, 05:16:19",3.1.85,1,lumi.54ef44100051b205
184,"10/29/2023, 05:17:57",3.1.85,1,lumi.54ef44100051b205
183,"10/29/2023, 05:22:51",3.1.85,1,lumi.54ef44100051b205
182,"10/29/2023, 05:26:12",3.1.85,1,lumi.54ef44100051b205
181,"10/29/2023, 05:45:12",3.1.85,1,lumi.54ef44100051b205
180,"10/29/2023, 06:23:54",3.1.85,1,lumi.54ef44100051b205
179,"10/29/2023, 06:37:28",3.1.85,1,lumi.54ef44100051b205
178,"10/29/2023, 06:43:15",3.1.85,1,lumi.54ef44100051b205
177,"10/29/2023, 06:47:44",3.1.85,1,lumi.54ef44100051b205
176,"10/29/2023, 06:53:43",3.1.85,1,lumi.54ef44100051b205
175,"10/29/2023, 07:00:57",3.1.85,1,lumi.54ef44100051b205
174,"10/29/2023, 07:09:49",3.1.85,1,lumi.54ef44100051b205
173,"10/29/2023, 07:12:21",3.1.85,1,lumi.54ef44100051b205
172,"10/29/2023, 07:13:24",3.1.85,1,lumi.54ef44100051b205
171,"10/29/2023, 07:16:34",3.1.85,1,lumi.54ef44100051b205
170,"10/29/2023, 07:27:27",3.1.85,1,lumi.54ef44100051b205
169,"10/29/2023, 07:35:41",3.1.85,1,lumi.54ef44100051b205
168,"10/29/2023, 07:51:37",3.1.85,1,lumi.54ef44100051b205
167,"10/29/2023, 08:33:13",3.1.85,1,lumi.54ef44100051b205
166,"10/29/2023, 08:37:48",3.1.85,1,lumi.54ef44100051b205
165,"10/29/2023, 08:40:15",3.1.85,1,lumi.54ef44100051b205
164,"10/29/2023, 08:50:54",3.1.85,1,lumi.54ef44100051b205
163,"10/29/2023, 08:59:25",3.1.85,1,lumi.54ef44100051b205
162,"10/29/2023, 09:07:45",3.1.85,1,lumi.54ef44100051b205
161,"10/29/2023, 09:13:48",3.1.85,1,lumi.54ef44100051b205
160,"10/29/2023, 09:25:21",3.1.85,1,lumi.54ef44100051b205
159,"10/29/2023, 09:27:43",3.1.85,1,lumi.54ef44100051b205
158,"10/29/2023, 09:31:53",3.1.85,1,lumi.54ef44100051b205
157,"10/29/2023, 09:33:35",3.1.85,1,lumi.54ef44100051b205
156,"10/29/2023, 09:46:48",3.1.85,1,lumi.54ef44100051b205
155,"10/29/2023, 09:50:20",3.1.85,1,lumi.54ef44100051b205
154,"10/29/2023, 09:55:22",3.1.85,1,lumi.54ef44100051b205
153,"10/29/2023, 09:57:09",3.1.85,1,lumi.54ef44100051b205
152,"10/29/2023, 10:03:20",3.1.85,1,lumi.54ef44100051b205
151,"10/29/2023, 10:22:53",3.1.85,1,lumi.54ef44100051b205
150,"10/29/2023, 10:24:24",3.1.85,1,lumi.54ef44100051b205
149,"10/29/2023, 10:33:18",3.1.85,1,lumi.54ef44100051b205
148,"10/29/2023, 10:38:01",3.1.85,1,lumi.54ef44100051b205
147,"10/29/2023, 10:43:30",3.1.85,1,lumi.54ef44100051b205
146,"10/29/2023, 10:57:31",3.1.85,1,lumi.54ef44100051b205
145,"10/29/2023, 11:13:02",3.1.85,1,lumi.54ef44100051b205
144,"10/29/2023, 11:16:04",3.1.85,1,lumi.54ef44100051b205
143,"10/29/2023, 11:24:16",3.1.85,1,lumi.54ef44100051b205
142,"10/29/2023, 11:25:16",3.1.85,1,lumi.54ef44100051b205
141,"10/29/2023, 11:28:05",3.1.85,1,lumi.54ef44100051b205
140,"10/29/2023, 11:53:51",3.1.85,1,lumi.54ef44100051b205
139,"10/29/2023, 12:12:51",3.1.85,1,lumi.54ef44100051b205
138,"10/29/2023, 12:27:00",3.1.85,1,lumi.54ef44100051b205
137,"10/29/2023, 12:42:48",3.1.85,1,lumi.54ef44100051b205
136,"10/29/2023, 12:50:18",3.1.85,1,lumi.54ef44100051b205
135,"10/29/2023, 13:06:07",3.1.85,1,lumi.54ef44100051b205
134,"10/29/2023, 13:07:25",3.1.85,1,lumi.54ef44100051b205
133,"10/29/2023, 13:22:59",3.1.85,1,lumi.54ef44100051b205
132,"10/29/2023, 13:26:33",3.1.85,1,lumi.54ef44100051b205
131,"10/29/2023, 13:34:29",3.1.85,1,lumi.54ef44100051b205
130,"10/29/2023, 13:38:48",3.1.85,1,lumi.54ef44100051b205
129,"10/29/2023, 13:43:39",3.1.85,1,lumi.54ef44100051b205
128,"10/29/2023, 13:52:19",3.1.85,1,lumi.54ef44100051b205
127,"10/29/2023, 13:53:21",3.1.85,1,lumi.54ef44100051b205
126,"10/29/2023, 13:55:18",3.1.85,1,lumi.54ef44100051b205
125,"10/29/2023, 14:12:12",3.1.85,1,lumi.54ef44100051b205
124,"10/29/2023, 14:26:11",3.1.85,1,lumi.54ef44100051b205
123,"10/29/2023, 14:29:17",3.1.85,1,lumi.54ef44100051b205
122,"10/29/2023, 14:34:41",3.1.85,1,lumi.54ef44100051b205
121,"10/29/2023, 14:36:39",3.1.85,1,lumi.54ef44100051b205
120,"10/29/2023, 14:52:57",3.1.85,1,lumi.54ef44100051b205
119,"10/29/2023, 14:56:37",3.1.85,1,lumi.54ef44100051b205
118,"10/29/2023, 15:17:01",3.1.85,1,lumi.54ef44100051b205
117,"10/29/2023, 15:26:00",3.1.85,1,lumi.54ef44100051b205
