,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
284,,0.3.85,"09/09/2023, 00:30:00",101030.0,lumi.54ef4410004b16e7,3,"09/09/2023, 00:00:00"
283,"09/09/2023, 00:16:37",0.3.85,"09/09/2023, 00:30:00",101030.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 00:00:00"
282,"09/09/2023, 00:16:37",0.3.85,"09/09/2023, 00:30:00",101030.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 00:00:00"
281,,0.2.85,"09/09/2023, 01:00:00",7112.0,lumi.54ef4410004b16e7,3,"09/09/2023, 00:30:00"
280,,0.1.85,"09/09/2023, 01:00:00",2731.0,lumi.54ef4410004b16e7,3,"09/09/2023, 00:30:00"
279,,0.3.85,"09/09/2023, 01:00:00",101000.0,lumi.54ef4410004b16e7,3,"09/09/2023, 00:30:00"
278,"09/09/2023, 00:33:16",0.2.85,"09/09/2023, 01:00:00",7112.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 00:30:00"
277,"09/09/2023, 00:33:16",0.1.85,"09/09/2023, 01:00:00",2731.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 00:30:00"
276,"09/09/2023, 00:33:16",0.3.85,"09/09/2023, 01:00:00",101000.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 00:30:00"
275,"09/09/2023, 00:33:16",0.1.85,"09/09/2023, 01:00:00",2731.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 00:30:00"
274,"09/09/2023, 00:33:16",0.3.85,"09/09/2023, 01:00:00",101000.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 00:30:00"
273,"09/09/2023, 00:33:16",0.2.85,"09/09/2023, 01:00:00",7112.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 00:30:00"
272,,0.2.85,"09/09/2023, 01:30:00",7112.0,lumi.54ef4410004b16e7,3,"09/09/2023, 01:00:00"
271,,0.1.85,"09/09/2023, 01:30:00",2727.0,lumi.54ef4410004b16e7,3,"09/09/2023, 01:00:00"
270,,0.3.85,"09/09/2023, 01:30:00",101015.0,lumi.54ef4410004b16e7,3,"09/09/2023, 01:00:00"
269,"09/09/2023, 01:28:12",0.2.85,"09/09/2023, 01:30:00",7112.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 01:00:00"
268,"09/09/2023, 01:28:12",0.1.85,"09/09/2023, 01:30:00",2727.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 01:00:00"
267,"09/09/2023, 01:24:21",0.3.85,"09/09/2023, 01:30:00",101030.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 01:00:00"
266,"09/09/2023, 01:28:12",0.1.85,"09/09/2023, 01:30:00",2727.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 01:00:00"
265,"09/09/2023, 01:28:12",0.3.85,"09/09/2023, 01:30:00",101000.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 01:00:00"
264,"09/09/2023, 01:28:12",0.2.85,"09/09/2023, 01:30:00",7112.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 01:00:00"
263,,0.2.85,"09/09/2023, 02:30:00",7094.0,lumi.54ef4410004b16e7,3,"09/09/2023, 02:00:00"
262,,0.1.85,"09/09/2023, 02:30:00",2735.0,lumi.54ef4410004b16e7,3,"09/09/2023, 02:00:00"
261,,0.3.85,"09/09/2023, 02:30:00",101000.0,lumi.54ef4410004b16e7,3,"09/09/2023, 02:00:00"
260,"09/09/2023, 02:23:08",0.2.85,"09/09/2023, 02:30:00",7094.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 02:00:00"
259,"09/09/2023, 02:23:08",0.1.85,"09/09/2023, 02:30:00",2735.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 02:00:00"
258,"09/09/2023, 02:23:08",0.3.85,"09/09/2023, 02:30:00",101000.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 02:00:00"
257,"09/09/2023, 02:23:08",0.1.85,"09/09/2023, 02:30:00",2735.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 02:00:00"
256,"09/09/2023, 02:23:08",0.3.85,"09/09/2023, 02:30:00",101000.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 02:00:00"
255,"09/09/2023, 02:23:08",0.2.85,"09/09/2023, 02:30:00",7094.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 02:00:00"
254,,0.2.85,"09/09/2023, 03:30:00",7104.0,lumi.54ef4410004b16e7,3,"09/09/2023, 03:00:00"
253,,0.1.85,"09/09/2023, 03:30:00",2735.0,lumi.54ef4410004b16e7,3,"09/09/2023, 03:00:00"
252,,0.3.85,"09/09/2023, 03:30:00",101000.0,lumi.54ef4410004b16e7,3,"09/09/2023, 03:00:00"
251,"09/09/2023, 03:18:04",0.2.85,"09/09/2023, 03:30:00",7104.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 03:00:00"
250,"09/09/2023, 03:18:04",0.1.85,"09/09/2023, 03:30:00",2735.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 03:00:00"
249,"09/09/2023, 03:18:04",0.3.85,"09/09/2023, 03:30:00",101000.000000,lumi.54ef4410004b16e7,2,"09/09/2023, 03:00:00"
248,"09/09/2023, 03:18:04",0.1.85,"09/09/2023, 03:30:00",2735.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 03:00:00"
247,"09/09/2023, 03:18:04",0.3.85,"09/09/2023, 03:30:00",101000.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 03:00:00"
246,"09/09/2023, 03:18:04",0.2.85,"09/09/2023, 03:30:00",7104.000000,lumi.54ef4410004b16e7,1,"09/09/2023, 03:00:00"
245,,0.2.85,"09/09/2023, 04:30:00",7116.0,lumi.54ef4410004b16e7,3,"09/09/2023, 04:00:00"
244,,0.1.85,"09/09/2023, 04:30:00",2731.0,lumi.54ef4410004b16e7,3,"09/09/2023, 04:00:00"
