,timeStamp,resourceId,value,subjectId
24,"10/25/2023, 07:49:51",13.1.85,1,lumi.158d0008f34ae7
23,"10/25/2023, 18:27:55",13.1.85,2,lumi.158d0008f34ae7
22,"10/25/2023, 18:48:07",13.1.85,2,lumi.158d0008f34ae7
21,"10/25/2023, 20:35:17",13.1.85,2,lumi.158d0008f34ae7
20,"10/25/2023, 21:09:45",13.1.85,2,lumi.158d0008f34ae7
19,"10/25/2023, 21:13:13",13.1.85,1,lumi.158d0008f34ae7
18,"10/25/2023, 21:13:37",13.1.85,2,lumi.158d0008f34ae7
17,"10/25/2023, 21:59:59",13.1.85,2,lumi.158d0008f34ae7
16,"10/25/2023, 22:00:08",13.1.85,2,lumi.158d0008f34ae7
15,"10/26/2023, 07:41:45",13.1.85,1,lumi.158d0008f34ae7
14,"10/26/2023, 07:45:33",13.1.85,1,lumi.158d0008f34ae7
13,"10/26/2023, 18:55:18",13.1.85,1,lumi.158d0008f34ae7
12,"10/26/2023, 18:56:43",13.1.85,2,lumi.158d0008f34ae7
11,"10/26/2023, 19:00:22",13.1.85,2,lumi.158d0008f34ae7
10,"10/26/2023, 19:15:35",13.1.85,1,lumi.158d0008f34ae7
9,"10/26/2023, 19:15:37",13.1.85,2,lumi.158d0008f34ae7
8,"10/26/2023, 19:16:22",13.1.85,2,lumi.158d0008f34ae7
7,"10/26/2023, 20:21:50",13.1.85,2,lumi.158d0008f34ae7
6,"10/26/2023, 20:24:48",13.1.85,2,lumi.158d0008f34ae7
5,"10/26/2023, 21:03:54",13.1.85,2,lumi.158d0008f34ae7
4,"10/26/2023, 22:24:42",13.1.85,2,lumi.158d0008f34ae7
3,"10/26/2023, 22:25:13",13.1.85,2,lumi.158d0008f34ae7
2,"10/26/2023, 22:30:46",13.1.85,1,lumi.158d0008f34ae7
1,"10/26/2023, 22:30:47",13.1.85,2,lumi.158d0008f34ae7
0,"10/26/2023, 23:06:01",13.1.85,2,lumi.158d0008f34ae7
