,timeStamp,resourceId,value,subjectId
21,"10/31/2023, 21:25:01",3.1.85,1,lumi.54ef44100051ad7c
20,"11/01/2023, 20:10:49",3.1.85,1,lumi.54ef44100051ad7c
19,"11/01/2023, 20:22:58",3.1.85,1,lumi.54ef44100051ad7c
18,"11/01/2023, 20:25:09",3.1.85,1,lumi.54ef44100051ad7c
17,"11/01/2023, 20:26:07",3.1.85,1,lumi.54ef44100051ad7c
16,"11/01/2023, 20:33:46",3.1.85,1,lumi.54ef44100051ad7c
15,"11/01/2023, 20:37:36",3.1.85,1,lumi.54ef44100051ad7c
14,"11/01/2023, 20:38:47",3.1.85,1,lumi.54ef44100051ad7c
13,"11/01/2023, 20:41:45",3.1.85,1,lumi.54ef44100051ad7c
12,"11/01/2023, 20:44:30",3.1.85,1,lumi.54ef44100051ad7c
11,"11/01/2023, 20:46:26",3.1.85,1,lumi.54ef44100051ad7c
10,"11/01/2023, 20:47:49",3.1.85,1,lumi.54ef44100051ad7c
9,"11/01/2023, 20:52:22",3.1.85,1,lumi.54ef44100051ad7c
8,"11/01/2023, 20:53:20",3.1.85,1,lumi.54ef44100051ad7c
7,"11/01/2023, 20:59:49",3.1.85,1,lumi.54ef44100051ad7c
6,"11/01/2023, 21:04:18",3.1.85,1,lumi.54ef44100051ad7c
5,"11/01/2023, 21:11:16",3.1.85,1,lumi.54ef44100051ad7c
4,"11/01/2023, 21:12:22",3.1.85,1,lumi.54ef44100051ad7c
3,"11/01/2023, 21:14:50",3.1.85,1,lumi.54ef44100051ad7c
2,"11/01/2023, 21:15:53",3.1.85,1,lumi.54ef44100051ad7c
1,"11/01/2023, 21:17:04",3.1.85,1,lumi.54ef44100051ad7c
0,"11/01/2023, 21:21:04",3.1.85,1,lumi.54ef44100051ad7c
