,timeStamp,resourceId,value,subjectId
9,"11/06/2023, 21:11:34",3.1.85,1,lumi.54ef4410003fe2da
8,"11/06/2023, 21:11:44",3.1.85,0,lumi.54ef4410003fe2da
7,"11/07/2023, 07:55:18",3.1.85,1,lumi.54ef4410003fe2da
6,"11/07/2023, 07:55:21",3.1.85,0,lumi.54ef4410003fe2da
5,"11/07/2023, 18:36:19",3.1.85,1,lumi.54ef4410003fe2da
4,"11/07/2023, 18:36:22",3.1.85,0,lumi.54ef4410003fe2da
3,"11/07/2023, 19:03:07",3.1.85,1,lumi.54ef4410003fe2da
2,"11/07/2023, 19:03:09",3.1.85,0,lumi.54ef4410003fe2da
1,"11/07/2023, 19:19:01",3.1.85,1,lumi.54ef4410003fe2da
0,"11/07/2023, 19:19:06",3.1.85,0,lumi.54ef4410003fe2da
