,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
305,,0.2.85,"08/09/2023, 00:30:00",6197.0,lumi.54ef4410004b11ca,3,"08/09/2023, 00:00:00"
304,,0.3.85,"08/09/2023, 00:30:00",99900.0,lumi.54ef4410004b11ca,3,"08/09/2023, 00:00:00"
303,,0.1.85,"08/09/2023, 00:30:00",2943.0,lumi.54ef4410004b11ca,3,"08/09/2023, 00:00:00"
302,"08/09/2023, 00:21:40",0.3.85,"08/09/2023, 00:30:00",99900.000000,lumi.54ef4410004b11ca,2,"08/09/2023, 00:00:00"
301,"08/09/2023, 00:21:40",0.2.85,"08/09/2023, 00:30:00",6197.000000,lumi.54ef4410004b11ca,2,"08/09/2023, 00:00:00"
300,"08/09/2023, 00:21:40",0.1.85,"08/09/2023, 00:30:00",2943.000000,lumi.54ef4410004b11ca,2,"08/09/2023, 00:00:00"
299,"08/09/2023, 00:21:40",0.2.85,"08/09/2023, 00:30:00",6197.000000,lumi.54ef4410004b11ca,1,"08/09/2023, 00:00:00"
298,"08/09/2023, 00:21:40",0.1.85,"08/09/2023, 00:30:00",2943.000000,lumi.54ef4410004b11ca,1,"08/09/2023, 00:00:00"
297,"08/09/2023, 00:21:40",0.3.85,"08/09/2023, 00:30:00",99900.000000,lumi.54ef4410004b11ca,1,"08/09/2023, 00:00:00"
296,,0.2.85,"08/09/2023, 01:30:00",6294.0,lumi.54ef4410004b11ca,3,"08/09/2023, 01:00:00"
295,,0.3.85,"08/09/2023, 01:30:00",99900.0,lumi.54ef4410004b11ca,3,"08/09/2023, 01:00:00"
294,,0.1.85,"08/09/2023, 01:30:00",2952.0,lumi.54ef4410004b11ca,3,"08/09/2023, 01:00:00"
293,"08/09/2023, 01:16:23",0.3.85,"08/09/2023, 01:30:00",99900.000000,lumi.54ef4410004b11ca,2,"08/09/2023, 01:00:00"
292,"08/09/2023, 01:16:23",0.2.85,"08/09/2023, 01:30:00",6294.000000,lumi.54ef4410004b11ca,2,"08/09/2023, 01:00:00"
291,"08/09/2023, 01:16:23",0.1.85,"08/09/2023, 01:30:00",2952.000000,lumi.54ef4410004b11ca,2,"08/09/2023, 01:00:00"
290,"08/09/2023, 01:16:23",0.2.85,"08/09/2023, 01:30:00",6294.000000,lumi.54ef4410004b11ca,1,"08/09/2023, 01:00:00"
289,"08/09/2023, 01:16:23",0.1.85,"08/09/2023, 01:30:00",2952.000000,lumi.54ef4410004b11ca,1,"08/09/2023, 01:00:00"
288,"08/09/2023, 01:16:23",0.3.85,"08/09/2023, 01:30:00",99900.000000,lumi.54ef4410004b11ca,1,"08/09/2023, 01:00:00"
287,,0.2.85,"08/09/2023, 02:30:00",6332.0,lumi.54ef4410004b11ca,3,"08/09/2023, 02:00:00"
286,,0.3.85,"08/09/2023, 02:30:00",99835.0,lumi.54ef4410004b11ca,3,"08/09/2023, 02:00:00"
285,,0.1.85,"08/09/2023, 02:30:00",2949.0,lumi.54ef4410004b11ca,3,"08/09/2023, 02:00:00"
284,"08/09/2023, 02:08:21",0.3.85,"08/09/2023, 02:30:00",99870.000000,lumi.54ef4410004b11ca,2,"08/09/2023, 02:00:00"
283,"08/09/2023, 02:11:05",0.2.85,"08/09/2023, 02:30:00",6332.000000,lumi.54ef4410004b11ca,2,"08/09/2023, 02:00:00"
282,"08/09/2023, 02:11:05",0.1.85,"08/09/2023, 02:30:00",2949.000000,lumi.54ef4410004b11ca,2,"08/09/2023, 02:00:00"
281,"08/09/2023, 02:11:05",0.2.85,"08/09/2023, 02:30:00",6332.000000,lumi.54ef4410004b11ca,1,"08/09/2023, 02:00:00"
