,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
299,,0.3.85,"08/22/2023, 07:00:00",17.0,lumi.54ef44100065d0af,3,"08/22/2023, 06:30:00"
298,"08/22/2023, 06:44:55",0.3.85,"08/22/2023, 07:00:00",17.000000,lumi.54ef44100065d0af,2,"08/22/2023, 06:30:00"
297,"08/22/2023, 06:44:55",0.3.85,"08/22/2023, 07:00:00",17.000000,lumi.54ef44100065d0af,1,"08/22/2023, 06:30:00"
296,,0.3.85,"08/22/2023, 07:30:00",28.333333,lumi.54ef44100065d0af,3,"08/22/2023, 07:00:00"
295,"08/22/2023, 07:18:13",0.3.85,"08/22/2023, 07:30:00",31.000000,lumi.54ef44100065d0af,2,"08/22/2023, 07:00:00"
294,"08/22/2023, 07:05:04",0.3.85,"08/22/2023, 07:30:00",24.000000,lumi.54ef44100065d0af,1,"08/22/2023, 07:00:00"
293,,0.3.85,"08/22/2023, 08:00:00",41.5,lumi.54ef44100065d0af,3,"08/22/2023, 07:30:00"
292,"08/22/2023, 07:51:49",0.3.85,"08/22/2023, 08:00:00",45.000000,lumi.54ef44100065d0af,2,"08/22/2023, 07:30:00"
291,"08/22/2023, 07:33:26",0.3.85,"08/22/2023, 08:00:00",38.000000,lumi.54ef44100065d0af,1,"08/22/2023, 07:30:00"
290,,0.3.85,"08/22/2023, 08:30:00",86.888889,lumi.54ef44100065d0af,3,"08/22/2023, 08:00:00"
289,"08/22/2023, 08:24:07",0.3.85,"08/22/2023, 08:30:00",127.000000,lumi.54ef44100065d0af,2,"08/22/2023, 08:00:00"
288,"08/22/2023, 08:01:36",0.3.85,"08/22/2023, 08:30:00",54.000000,lumi.54ef44100065d0af,1,"08/22/2023, 08:00:00"
287,,0.3.85,"08/22/2023, 09:00:00",138.5,lumi.54ef44100065d0af,3,"08/22/2023, 08:30:00"
286,"08/22/2023, 08:59:39",0.3.85,"08/22/2023, 09:00:00",176.000000,lumi.54ef44100065d0af,2,"08/22/2023, 08:30:00"
285,"08/22/2023, 08:31:54",0.3.85,"08/22/2023, 09:00:00",103.000000,lumi.54ef44100065d0af,1,"08/22/2023, 08:30:00"
284,,0.3.85,"08/22/2023, 09:30:00",143.571429,lumi.54ef44100065d0af,3,"08/22/2023, 09:00:00"
283,"08/22/2023, 09:15:39",0.3.85,"08/22/2023, 09:30:00",202.000000,lumi.54ef44100065d0af,2,"08/22/2023, 09:00:00"
282,"08/22/2023, 09:14:09",0.3.85,"08/22/2023, 09:30:00",96.000000,lumi.54ef44100065d0af,1,"08/22/2023, 09:00:00"
281,,0.3.85,"08/22/2023, 10:00:00",287.666667,lumi.54ef44100065d0af,3,"08/22/2023, 09:30:00"
280,"08/22/2023, 09:49:16",0.3.85,"08/22/2023, 10:00:00",412.000000,lumi.54ef44100065d0af,2,"08/22/2023, 09:30:00"
279,"08/22/2023, 09:36:28",0.3.85,"08/22/2023, 10:00:00",101.000000,lumi.54ef44100065d0af,1,"08/22/2023, 09:30:00"
278,,0.3.85,"08/22/2023, 10:30:00",226.333333,lumi.54ef44100065d0af,3,"08/22/2023, 10:00:00"
277,"08/22/2023, 10:09:11",0.3.85,"08/22/2023, 10:30:00",397.000000,lumi.54ef44100065d0af,2,"08/22/2023, 10:00:00"
276,"08/22/2023, 10:22:14",0.3.85,"08/22/2023, 10:30:00",94.000000,lumi.54ef44100065d0af,1,"08/22/2023, 10:00:00"
275,,0.3.85,"08/22/2023, 11:00:00",161.325,lumi.54ef44100065d0af,3,"08/22/2023, 10:30:00"
274,"08/22/2023, 10:39:07",0.3.85,"08/22/2023, 11:00:00",256.000000,lumi.54ef44100065d0af,2,"08/22/2023, 10:30:00"
273,"08/22/2023, 10:59:28",0.3.85,"08/22/2023, 11:00:00",103.000000,lumi.54ef44100065d0af,1,"08/22/2023, 10:30:00"
272,,0.3.85,"08/22/2023, 11:30:00",181.565217,lumi.54ef44100065d0af,3,"08/22/2023, 11:00:00"
271,"08/22/2023, 11:04:19",0.3.85,"08/22/2023, 11:30:00",240.000000,lumi.54ef44100065d0af,2,"08/22/2023, 11:00:00"
270,"08/22/2023, 11:10:30",0.3.85,"08/22/2023, 11:30:00",121.000000,lumi.54ef44100065d0af,1,"08/22/2023, 11:00:00"
269,,0.3.85,"08/22/2023, 12:00:00",88.5,lumi.54ef44100065d0af,3,"08/22/2023, 11:30:00"
268,"08/22/2023, 11:30:34",0.3.85,"08/22/2023, 12:00:00",102.000000,lumi.54ef44100065d0af,2,"08/22/2023, 11:30:00"
267,"08/22/2023, 11:33:55",0.3.85,"08/22/2023, 12:00:00",72.000000,lumi.54ef44100065d0af,1,"08/22/2023, 11:30:00"
266,,0.3.85,"08/22/2023, 12:30:00",170.157895,lumi.54ef44100065d0af,3,"08/22/2023, 12:00:00"
265,"08/22/2023, 12:18:21",0.3.85,"08/22/2023, 12:30:00",244.000000,lumi.54ef44100065d0af,2,"08/22/2023, 12:00:00"
264,"08/22/2023, 12:25:37",0.3.85,"08/22/2023, 12:30:00",116.000000,lumi.54ef44100065d0af,1,"08/22/2023, 12:00:00"
263,,0.3.85,"08/22/2023, 13:00:00",208.425532,lumi.54ef44100065d0af,3,"08/22/2023, 12:30:00"
262,"08/22/2023, 12:57:36",0.3.85,"08/22/2023, 13:00:00",342.000000,lumi.54ef44100065d0af,2,"08/22/2023, 12:30:00"
261,"08/22/2023, 12:41:11",0.3.85,"08/22/2023, 13:00:00",109.000000,lumi.54ef44100065d0af,1,"08/22/2023, 12:30:00"
260,,0.3.85,"08/22/2023, 13:30:00",221.846154,lumi.54ef44100065d0af,3,"08/22/2023, 13:00:00"
259,"08/22/2023, 13:10:58",0.3.85,"08/22/2023, 13:30:00",364.000000,lumi.54ef44100065d0af,2,"08/22/2023, 13:00:00"
258,"08/22/2023, 13:12:29",0.3.85,"08/22/2023, 13:30:00",105.000000,lumi.54ef44100065d0af,1,"08/22/2023, 13:00:00"
257,,0.3.85,"08/22/2023, 14:00:00",276.27027,lumi.54ef44100065d0af,3,"08/22/2023, 13:30:00"
256,"08/22/2023, 13:47:07",0.3.85,"08/22/2023, 14:00:00",425.000000,lumi.54ef44100065d0af,2,"08/22/2023, 13:30:00"
255,"08/22/2023, 13:48:18",0.3.85,"08/22/2023, 14:00:00",101.000000,lumi.54ef44100065d0af,1,"08/22/2023, 13:30:00"
254,,0.3.85,"08/22/2023, 14:30:00",254.36,lumi.54ef44100065d0af,3,"08/22/2023, 14:00:00"
253,"08/22/2023, 14:01:10",0.3.85,"08/22/2023, 14:30:00",412.000000,lumi.54ef44100065d0af,2,"08/22/2023, 14:00:00"
252,"08/22/2023, 14:28:10",0.3.85,"08/22/2023, 14:30:00",122.000000,lumi.54ef44100065d0af,1,"08/22/2023, 14:00:00"
251,,0.3.85,"08/22/2023, 15:00:00",292.44,lumi.54ef44100065d0af,3,"08/22/2023, 14:30:00"
250,"08/22/2023, 14:52:57",0.3.85,"08/22/2023, 15:00:00",397.000000,lumi.54ef44100065d0af,2,"08/22/2023, 14:30:00"
249,"08/22/2023, 14:30:11",0.3.85,"08/22/2023, 15:00:00",144.000000,lumi.54ef44100065d0af,1,"08/22/2023, 14:30:00"
248,,0.3.85,"08/22/2023, 15:30:00",237.351351,lumi.54ef44100065d0af,3,"08/22/2023, 15:00:00"
247,"08/22/2023, 15:02:34",0.3.85,"08/22/2023, 15:30:00",404.000000,lumi.54ef44100065d0af,2,"08/22/2023, 15:00:00"
246,"08/22/2023, 15:26:49",0.3.85,"08/22/2023, 15:30:00",90.000000,lumi.54ef44100065d0af,1,"08/22/2023, 15:00:00"
245,,0.3.85,"08/22/2023, 16:00:00",188.96,lumi.54ef44100065d0af,3,"08/22/2023, 15:30:00"
244,"08/22/2023, 15:37:58",0.3.85,"08/22/2023, 16:00:00",415.000000,lumi.54ef44100065d0af,2,"08/22/2023, 15:30:00"
243,"08/22/2023, 15:59:07",0.3.85,"08/22/2023, 16:00:00",22.000000,lumi.54ef44100065d0af,1,"08/22/2023, 15:30:00"
242,,0.3.85,"08/22/2023, 16:30:00",35.857143,lumi.54ef44100065d0af,3,"08/22/2023, 16:00:00"
241,"08/22/2023, 16:27:37",0.3.85,"08/22/2023, 16:30:00",55.000000,lumi.54ef44100065d0af,2,"08/22/2023, 16:00:00"
240,"08/22/2023, 16:02:48",0.3.85,"08/22/2023, 16:30:00",15.000000,lumi.54ef44100065d0af,1,"08/22/2023, 16:00:00"
239,,0.3.85,"08/22/2023, 17:00:00",107.571429,lumi.54ef44100065d0af,3,"08/22/2023, 16:30:00"
238,"08/22/2023, 16:59:46",0.3.85,"08/22/2023, 17:00:00",169.000000,lumi.54ef44100065d0af,2,"08/22/2023, 16:30:00"
237,"08/22/2023, 16:33:21",0.3.85,"08/22/2023, 17:00:00",61.000000,lumi.54ef44100065d0af,1,"08/22/2023, 16:30:00"
236,,0.3.85,"08/22/2023, 17:30:00",99.8,lumi.54ef44100065d0af,3,"08/22/2023, 17:00:00"
235,"08/22/2023, 17:09:48",0.3.85,"08/22/2023, 17:30:00",172.000000,lumi.54ef44100065d0af,2,"08/22/2023, 17:00:00"
234,"08/22/2023, 17:25:48",0.3.85,"08/22/2023, 17:30:00",48.000000,lumi.54ef44100065d0af,1,"08/22/2023, 17:00:00"
233,,0.3.85,"08/22/2023, 18:00:00",27.0,lumi.54ef44100065d0af,3,"08/22/2023, 17:30:00"
232,"08/22/2023, 17:30:29",0.3.85,"08/22/2023, 18:00:00",41.000000,lumi.54ef44100065d0af,2,"08/22/2023, 17:30:00"
231,"08/22/2023, 17:53:28",0.3.85,"08/22/2023, 18:00:00",13.000000,lumi.54ef44100065d0af,1,"08/22/2023, 17:30:00"
230,,0.3.85,"08/22/2023, 18:30:00",10.0,lumi.54ef44100065d0af,3,"08/22/2023, 18:00:00"
229,"08/22/2023, 18:18:03",0.3.85,"08/22/2023, 18:30:00",10.000000,lumi.54ef44100065d0af,2,"08/22/2023, 18:00:00"
228,"08/22/2023, 18:18:03",0.3.85,"08/22/2023, 18:30:00",10.000000,lumi.54ef44100065d0af,1,"08/22/2023, 18:00:00"
227,,0.3.85,"08/22/2023, 19:00:00",3.0,lumi.54ef44100065d0af,3,"08/22/2023, 18:30:00"
226,"08/22/2023, 18:32:12",0.3.85,"08/22/2023, 19:00:00",6.000000,lumi.54ef44100065d0af,2,"08/22/2023, 18:30:00"
225,"08/22/2023, 18:54:32",0.3.85,"08/22/2023, 19:00:00",0.000000,lumi.54ef44100065d0af,1,"08/22/2023, 18:30:00"
224,,0.3.85,"08/22/2023, 20:30:00",126.0,lumi.54ef44100065d0af,3,"08/22/2023, 20:00:00"
223,"08/22/2023, 20:20:27",0.3.85,"08/22/2023, 20:30:00",252.000000,lumi.54ef44100065d0af,2,"08/22/2023, 20:00:00"
222,"08/22/2023, 20:08:27",0.3.85,"08/22/2023, 20:30:00",0.000000,lumi.54ef44100065d0af,1,"08/22/2023, 20:00:00"
221,,0.3.85,"08/22/2023, 21:00:00",200.666667,lumi.54ef44100065d0af,3,"08/22/2023, 20:30:00"
220,"08/22/2023, 20:54:03",0.3.85,"08/22/2023, 21:00:00",216.000000,lumi.54ef44100065d0af,2,"08/22/2023, 20:30:00"
219,"08/22/2023, 20:53:58",0.3.85,"08/22/2023, 21:00:00",174.000000,lumi.54ef44100065d0af,1,"08/22/2023, 20:30:00"
218,,0.3.85,"08/22/2023, 21:30:00",223.0,lumi.54ef44100065d0af,3,"08/22/2023, 21:00:00"
217,"08/22/2023, 21:03:40",0.3.85,"08/22/2023, 21:30:00",223.000000,lumi.54ef44100065d0af,2,"08/22/2023, 21:00:00"
