,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
25,,3.1.85,"09/19/2023, 00:30:00","{""1"":3}",lumi.54ef44100051b160,4,"09/19/2023, 00:00:00"
24,,3.1.85,"09/19/2023, 01:00:00","{""1"":22}",lumi.54ef44100051b160,4,"09/19/2023, 00:30:00"
23,,3.1.85,"09/19/2023, 09:30:00","{""1"":3}",lumi.54ef44100051b160,4,"09/19/2023, 09:00:00"
22,,3.1.85,"09/19/2023, 19:30:00","{""1"":5}",lumi.54ef44100051b160,4,"09/19/2023, 19:00:00"
21,,3.1.85,"09/19/2023, 21:00:00","{""1"":10}",lumi.54ef44100051b160,4,"09/19/2023, 20:30:00"
20,,3.1.85,"09/19/2023, 21:30:00","{""1"":9}",lumi.54ef44100051b160,4,"09/19/2023, 21:00:00"
19,,3.1.85,"09/19/2023, 22:00:00","{""1"":26}",lumi.54ef44100051b160,4,"09/19/2023, 21:30:00"
18,,3.1.85,"09/19/2023, 22:30:00","{""1"":20}",lumi.54ef44100051b160,4,"09/19/2023, 22:00:00"
17,,3.1.85,"09/19/2023, 23:00:00","{""1"":10}",lumi.54ef44100051b160,4,"09/19/2023, 22:30:00"
16,,3.1.85,"09/20/2023, 00:00:00","{""1"":6}",lumi.54ef44100051b160,4,"09/19/2023, 23:30:00"
15,,3.1.85,"09/20/2023, 00:30:00","{""1"":7}",lumi.54ef44100051b160,4,"09/20/2023, 00:00:00"
14,,3.1.85,"09/20/2023, 01:30:00","{""1"":1}",lumi.54ef44100051b160,4,"09/20/2023, 01:00:00"
13,,3.1.85,"09/20/2023, 09:00:00","{""1"":4}",lumi.54ef44100051b160,4,"09/20/2023, 08:30:00"
12,,3.1.85,"09/20/2023, 09:30:00","{""1"":9}",lumi.54ef44100051b160,4,"09/20/2023, 09:00:00"
11,,3.1.85,"09/20/2023, 19:30:00","{""1"":10}",lumi.54ef44100051b160,4,"09/20/2023, 19:00:00"
10,,3.1.85,"09/20/2023, 20:00:00","{""1"":17}",lumi.54ef44100051b160,4,"09/20/2023, 19:30:00"
9,,3.1.85,"09/20/2023, 20:30:00","{""1"":5}",lumi.54ef44100051b160,4,"09/20/2023, 20:00:00"
8,,3.1.85,"09/20/2023, 23:00:00","{""1"":1}",lumi.54ef44100051b160,4,"09/20/2023, 22:30:00"
7,,3.1.85,"09/20/2023, 23:30:00","{""1"":13}",lumi.54ef44100051b160,4,"09/20/2023, 23:00:00"
6,,3.1.85,"09/21/2023, 00:00:00","{""1"":20}",lumi.54ef44100051b160,4,"09/20/2023, 23:30:00"
5,,3.1.85,"09/21/2023, 00:30:00","{""1"":18}",lumi.54ef44100051b160,4,"09/21/2023, 00:00:00"
4,,3.1.85,"09/21/2023, 01:00:00","{""1"":27}",lumi.54ef44100051b160,4,"09/21/2023, 00:30:00"
3,,3.1.85,"09/21/2023, 01:30:00","{""1"":7}",lumi.54ef44100051b160,4,"09/21/2023, 01:00:00"
2,,3.1.85,"09/21/2023, 09:30:00","{""1"":2}",lumi.54ef44100051b160,4,"09/21/2023, 09:00:00"
1,,3.1.85,"09/21/2023, 18:30:00","{""1"":15}",lumi.54ef44100051b160,4,"09/21/2023, 18:00:00"
0,,3.1.85,"09/21/2023, 19:00:00","{""1"":5}",lumi.54ef44100051b160,4,"09/21/2023, 18:30:00"
