,timeStamp,resourceId,value,subjectId
299,"09/27/2023, 04:11:31",0.1.85,1770,lumi.54ef4410004b11ca
298,"09/27/2023, 04:12:04",0.2.85,6589,lumi.54ef4410004b11ca
297,"09/27/2023, 04:14:48",0.2.85,7192,lumi.54ef4410004b11ca
296,"09/27/2023, 04:17:32",0.1.85,1823,lumi.54ef4410004b11ca
295,"09/27/2023, 04:18:59",0.2.85,7810,lumi.54ef4410004b11ca
294,"09/27/2023, 04:21:43",0.1.85,1877,lumi.54ef4410004b11ca
293,"09/27/2023, 04:26:16",0.1.85,1928,lumi.54ef4410004b11ca
292,"09/27/2023, 04:29:00",0.2.85,7194,lumi.54ef4410004b11ca
291,"09/27/2023, 04:29:44",0.1.85,1874,lumi.54ef4410004b11ca
290,"09/27/2023, 04:36:18",0.1.85,1926,lumi.54ef4410004b11ca
289,"09/27/2023, 04:39:56",0.1.85,1977,lumi.54ef4410004b11ca
288,"09/27/2023, 04:45:57",0.1.85,2033,lumi.54ef4410004b11ca
287,"09/27/2023, 04:45:57",0.3.85,100850,lumi.54ef4410004b11ca
286,"09/27/2023, 04:53:47",0.1.85,2084,lumi.54ef4410004b11ca
285,"09/27/2023, 04:58:20",0.1.85,2108,lumi.54ef4410004b11ca
284,"09/27/2023, 04:58:20",0.2.85,7787,lumi.54ef4410004b11ca
283,"09/27/2023, 04:58:20",0.3.85,100800,lumi.54ef4410004b11ca
282,"09/27/2023, 04:58:55",0.2.85,7800,lumi.54ef4410004b11ca
281,"09/27/2023, 05:03:07",0.1.85,2135,lumi.54ef4410004b11ca
280,"09/27/2023, 05:18:25",0.1.85,2187,lumi.54ef4410004b11ca
279,"09/27/2023, 05:38:38",0.3.85,100820,lumi.54ef4410004b11ca
278,"09/27/2023, 05:49:34",0.1.85,2240,lumi.54ef4410004b11ca
277,"09/27/2023, 05:53:02",0.1.85,2242,lumi.54ef4410004b11ca
276,"09/27/2023, 05:53:02",0.2.85,7939,lumi.54ef4410004b11ca
275,"09/27/2023, 05:53:02",0.3.85,100800,lumi.54ef4410004b11ca
274,"09/27/2023, 06:08:44",0.3.85,100850,lumi.54ef4410004b11ca
273,"09/27/2023, 06:35:20",0.2.85,7175,lumi.54ef4410004b11ca
272,"09/27/2023, 06:37:53",0.1.85,2185,lumi.54ef4410004b11ca
271,"09/27/2023, 06:41:43",0.1.85,2128,lumi.54ef4410004b11ca
270,"09/27/2023, 06:43:10",0.2.85,6553,lumi.54ef4410004b11ca
269,"09/27/2023, 06:45:00",0.1.85,2073,lumi.54ef4410004b11ca
268,"09/27/2023, 06:45:43",0.3.85,100880,lumi.54ef4410004b11ca
267,"09/27/2023, 06:47:44",0.1.85,2032,lumi.54ef4410004b11ca
