,timeStamp,resourceId,value,subjectId
9,"10/05/2023, 20:36:53",3.1.85,1,lumi.54ef4410003fe211
8,"10/05/2023, 20:36:55",3.1.85,0,lumi.54ef4410003fe211
7,"10/05/2023, 20:39:04",3.1.85,1,lumi.54ef4410003fe211
6,"10/05/2023, 20:39:11",3.1.85,0,lumi.54ef4410003fe211
5,"10/05/2023, 20:39:12",3.1.85,1,lumi.54ef4410003fe211
4,"10/05/2023, 20:39:13",3.1.85,0,lumi.54ef4410003fe211
3,"10/05/2023, 20:42:49",3.1.85,1,lumi.54ef4410003fe211
2,"10/05/2023, 20:42:50",3.1.85,0,lumi.54ef4410003fe211
1,"10/05/2023, 20:44:23",3.1.85,1,lumi.54ef4410003fe211
0,"10/05/2023, 20:44:29",3.1.85,0,lumi.54ef4410003fe211
