,timeStamp,resourceId,value,subjectId
12,"10/11/2023, 02:23:25",13.1.85,1,lumi.158d0008d0cf9a
11,"10/11/2023, 04:23:34",13.1.85,1,lumi.158d0008d0cf9a
10,"10/11/2023, 04:29:10",13.1.85,1,lumi.158d0008d0cf9a
9,"10/11/2023, 10:02:07",13.1.85,2,lumi.158d0008d0cf9a
8,"10/11/2023, 10:14:20",13.1.85,1,lumi.158d0008d0cf9a
7,"10/11/2023, 10:14:28",13.1.85,2,lumi.158d0008d0cf9a
6,"10/11/2023, 18:48:02",13.1.85,1,lumi.158d0008d0cf9a
5,"10/11/2023, 18:58:49",13.1.85,1,lumi.158d0008d0cf9a
4,"10/12/2023, 01:52:59",13.1.85,1,lumi.158d0008d0cf9a
3,"10/12/2023, 04:29:18",13.1.85,1,lumi.158d0008d0cf9a
2,"10/12/2023, 08:37:15",13.1.85,1,lumi.158d0008d0cf9a
1,"10/12/2023, 08:39:14",13.1.85,2,lumi.158d0008d0cf9a
0,"10/12/2023, 22:20:20",13.1.85,1,lumi.158d0008d0cf9a
