,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
248,,0.3.85,"08/16/2023, 01:00:00",171.0,lumi.4cf8cdf3c8dd60b,3,"08/16/2023, 00:30:00"
247,"08/16/2023, 00:32:32",0.3.85,"08/16/2023, 01:00:00",190.000000,lumi.4cf8cdf3c8dd60b,2,"08/16/2023, 00:30:00"
246,"08/16/2023, 00:33:17",0.3.85,"08/16/2023, 01:00:00",159.000000,lumi.4cf8cdf3c8dd60b,1,"08/16/2023, 00:30:00"
245,,0.3.85,"08/16/2023, 02:30:00",173.0,lumi.4cf8cdf3c8dd60b,3,"08/16/2023, 02:00:00"
244,"08/16/2023, 02:03:31",0.3.85,"08/16/2023, 02:30:00",188.000000,lumi.4cf8cdf3c8dd60b,2,"08/16/2023, 02:00:00"
243,"08/16/2023, 02:03:56",0.3.85,"08/16/2023, 02:30:00",158.000000,lumi.4cf8cdf3c8dd60b,1,"08/16/2023, 02:00:00"
242,,0.3.85,"08/16/2023, 04:00:00",53.5,lumi.4cf8cdf3c8dd60b,3,"08/16/2023, 03:30:00"
241,"08/16/2023, 03:40:36",0.3.85,"08/16/2023, 04:00:00",188.000000,lumi.4cf8cdf3c8dd60b,2,"08/16/2023, 03:30:00"
240,"08/16/2023, 03:43:45",0.3.85,"08/16/2023, 04:00:00",0.000000,lumi.4cf8cdf3c8dd60b,1,"08/16/2023, 03:30:00"
239,,0.3.85,"08/16/2023, 06:30:00",1.0,lumi.4cf8cdf3c8dd60b,3,"08/16/2023, 06:00:00"
238,"08/16/2023, 06:00:04",0.3.85,"08/16/2023, 06:30:00",1.000000,lumi.4cf8cdf3c8dd60b,2,"08/16/2023, 06:00:00"
237,"08/16/2023, 06:00:04",0.3.85,"08/16/2023, 06:30:00",1.000000,lumi.4cf8cdf3c8dd60b,1,"08/16/2023, 06:00:00"
236,,0.3.85,"08/16/2023, 07:30:00",9.5,lumi.4cf8cdf3c8dd60b,3,"08/16/2023, 07:00:00"
235,"08/16/2023, 07:25:46",0.3.85,"08/16/2023, 07:30:00",13.000000,lumi.4cf8cdf3c8dd60b,2,"08/16/2023, 07:00:00"
234,"08/16/2023, 07:04:47",0.3.85,"08/16/2023, 07:30:00",6.000000,lumi.4cf8cdf3c8dd60b,1,"08/16/2023, 07:00:00"
233,,0.3.85,"08/16/2023, 08:00:00",6.5,lumi.4cf8cdf3c8dd60b,3,"08/16/2023, 07:30:00"
