,timeStamp,resourceId,value,subjectId
142,"10/09/2023, 00:15:13",13.1.85,1,lumi.158d0008d0cf4d
141,"10/09/2023, 00:15:16",13.1.85,2,lumi.158d0008d0cf4d
140,"10/09/2023, 00:34:43",13.1.85,2,lumi.158d0008d0cf4d
139,"10/09/2023, 00:35:22",13.1.85,2,lumi.158d0008d0cf4d
138,"10/09/2023, 00:55:24",13.1.85,2,lumi.158d0008d0cf4d
137,"10/09/2023, 00:56:41",13.1.85,2,lumi.158d0008d0cf4d
136,"10/09/2023, 01:02:29",13.1.85,1,lumi.158d0008d0cf4d
135,"10/09/2023, 01:02:30",13.1.85,2,lumi.158d0008d0cf4d
134,"10/09/2023, 01:12:48",13.1.85,2,lumi.158d0008d0cf4d
133,"10/09/2023, 01:19:50",13.1.85,1,lumi.158d0008d0cf4d
132,"10/09/2023, 01:20:45",13.1.85,2,lumi.158d0008d0cf4d
131,"10/09/2023, 01:32:32",13.1.85,2,lumi.158d0008d0cf4d
130,"10/09/2023, 01:34:14",13.1.85,2,lumi.158d0008d0cf4d
129,"10/09/2023, 01:43:15",13.1.85,2,lumi.158d0008d0cf4d
128,"10/09/2023, 01:44:22",13.1.85,2,lumi.158d0008d0cf4d
127,"10/09/2023, 02:08:27",13.1.85,2,lumi.158d0008d0cf4d
126,"10/09/2023, 02:08:42",13.1.85,2,lumi.158d0008d0cf4d
125,"10/09/2023, 02:18:48",13.1.85,2,lumi.158d0008d0cf4d
124,"10/09/2023, 02:18:56",13.1.85,2,lumi.158d0008d0cf4d
123,"10/09/2023, 02:19:45",13.1.85,2,lumi.158d0008d0cf4d
122,"10/09/2023, 02:37:56",13.1.85,1,lumi.158d0008d0cf4d
121,"10/09/2023, 02:37:59",13.1.85,2,lumi.158d0008d0cf4d
120,"10/09/2023, 02:38:29",13.1.85,2,lumi.158d0008d0cf4d
119,"10/09/2023, 02:40:22",13.1.85,2,lumi.158d0008d0cf4d
118,"10/09/2023, 02:52:13",13.1.85,1,lumi.158d0008d0cf4d
117,"10/09/2023, 02:52:14",13.1.85,2,lumi.158d0008d0cf4d
116,"10/09/2023, 02:57:07",13.1.85,2,lumi.158d0008d0cf4d
115,"10/09/2023, 03:28:35",13.1.85,2,lumi.158d0008d0cf4d
114,"10/09/2023, 03:28:39",13.1.85,2,lumi.158d0008d0cf4d
113,"10/09/2023, 04:08:57",13.1.85,2,lumi.158d0008d0cf4d
112,"10/09/2023, 12:44:05",13.1.85,1,lumi.158d0008d0cf4d
111,"10/09/2023, 17:14:27",13.1.85,2,lumi.158d0008d0cf4d
110,"10/09/2023, 17:21:02",13.1.85,1,lumi.158d0008d0cf4d
109,"10/09/2023, 17:21:04",13.1.85,2,lumi.158d0008d0cf4d
108,"10/09/2023, 17:45:59",13.1.85,2,lumi.158d0008d0cf4d
107,"10/09/2023, 17:55:58",13.1.85,1,lumi.158d0008d0cf4d
106,"10/09/2023, 17:56:00",13.1.85,2,lumi.158d0008d0cf4d
105,"10/09/2023, 18:05:43",13.1.85,2,lumi.158d0008d0cf4d
104,"10/09/2023, 18:09:00",13.1.85,1,lumi.158d0008d0cf4d
103,"10/09/2023, 18:09:02",13.1.85,2,lumi.158d0008d0cf4d
102,"10/09/2023, 18:09:16",13.1.85,2,lumi.158d0008d0cf4d
101,"10/09/2023, 18:09:35",13.1.85,2,lumi.158d0008d0cf4d
100,"10/09/2023, 18:27:59",13.1.85,2,lumi.158d0008d0cf4d
99,"10/09/2023, 19:17:55",13.1.85,2,lumi.158d0008d0cf4d
98,"10/09/2023, 19:21:59",13.1.85,1,lumi.158d0008d0cf4d
97,"10/09/2023, 19:22:00",13.1.85,2,lumi.158d0008d0cf4d
96,"10/09/2023, 19:32:02",13.1.85,1,lumi.158d0008d0cf4d
95,"10/09/2023, 19:32:03",13.1.85,2,lumi.158d0008d0cf4d
94,"10/09/2023, 19:33:11",13.1.85,2,lumi.158d0008d0cf4d
93,"10/09/2023, 19:41:36",13.1.85,1,lumi.158d0008d0cf4d
92,"10/09/2023, 19:49:18",13.1.85,2,lumi.158d0008d0cf4d
91,"10/09/2023, 19:57:20",13.1.85,2,lumi.158d0008d0cf4d
90,"10/09/2023, 20:00:03",13.1.85,2,lumi.158d0008d0cf4d
89,"10/09/2023, 20:03:10",13.1.85,2,lumi.158d0008d0cf4d
88,"10/09/2023, 20:03:15",13.1.85,2,lumi.158d0008d0cf4d
87,"10/09/2023, 20:04:37",13.1.85,2,lumi.158d0008d0cf4d
86,"10/09/2023, 20:36:22",13.1.85,2,lumi.158d0008d0cf4d
85,"10/09/2023, 20:46:52",13.1.85,1,lumi.158d0008d0cf4d
84,"10/09/2023, 20:46:53",13.1.85,2,lumi.158d0008d0cf4d
83,"10/09/2023, 20:50:34",13.1.85,2,lumi.158d0008d0cf4d
82,"10/09/2023, 20:52:08",13.1.85,2,lumi.158d0008d0cf4d
81,"10/09/2023, 20:56:33",13.1.85,2,lumi.158d0008d0cf4d
80,"10/09/2023, 21:01:46",13.1.85,2,lumi.158d0008d0cf4d
79,"10/09/2023, 21:01:56",13.1.85,2,lumi.158d0008d0cf4d
78,"10/09/2023, 21:06:51",13.1.85,1,lumi.158d0008d0cf4d
77,"10/09/2023, 21:10:43",13.1.85,2,lumi.158d0008d0cf4d
76,"10/09/2023, 21:20:58",13.1.85,2,lumi.158d0008d0cf4d
75,"10/09/2023, 21:38:46",13.1.85,1,lumi.158d0008d0cf4d
74,"10/09/2023, 21:38:47",13.1.85,2,lumi.158d0008d0cf4d
73,"10/09/2023, 21:39:14",13.1.85,2,lumi.158d0008d0cf4d
72,"10/09/2023, 21:47:59",13.1.85,1,lumi.158d0008d0cf4d
71,"10/09/2023, 21:48:00",13.1.85,2,lumi.158d0008d0cf4d
70,"10/09/2023, 21:49:20",13.1.85,1,lumi.158d0008d0cf4d
69,"10/09/2023, 21:49:21",13.1.85,2,lumi.158d0008d0cf4d
68,"10/09/2023, 21:56:13",13.1.85,2,lumi.158d0008d0cf4d
67,"10/09/2023, 21:57:03",13.1.85,2,lumi.158d0008d0cf4d
66,"10/09/2023, 22:24:58",13.1.85,1,lumi.158d0008d0cf4d
65,"10/09/2023, 22:46:34",13.1.85,2,lumi.158d0008d0cf4d
64,"10/09/2023, 23:10:34",13.1.85,1,lumi.158d0008d0cf4d
63,"10/09/2023, 23:10:35",13.1.85,2,lumi.158d0008d0cf4d
62,"10/09/2023, 23:12:54",13.1.85,2,lumi.158d0008d0cf4d
61,"10/09/2023, 23:28:33",13.1.85,1,lumi.158d0008d0cf4d
60,"10/09/2023, 23:28:35",13.1.85,2,lumi.158d0008d0cf4d
59,"10/09/2023, 23:32:45",13.1.85,2,lumi.158d0008d0cf4d
58,"10/09/2023, 23:36:09",13.1.85,2,lumi.158d0008d0cf4d
57,"10/09/2023, 23:40:17",13.1.85,1,lumi.158d0008d0cf4d
56,"10/09/2023, 23:40:18",13.1.85,2,lumi.158d0008d0cf4d
55,"10/10/2023, 00:22:33",13.1.85,1,lumi.158d0008d0cf4d
54,"10/10/2023, 00:22:35",13.1.85,2,lumi.158d0008d0cf4d
53,"10/10/2023, 00:34:07",13.1.85,1,lumi.158d0008d0cf4d
52,"10/10/2023, 00:42:45",13.1.85,2,lumi.158d0008d0cf4d
51,"10/10/2023, 00:43:00",13.1.85,1,lumi.158d0008d0cf4d
50,"10/10/2023, 00:53:49",13.1.85,1,lumi.158d0008d0cf4d
49,"10/10/2023, 01:02:27",13.1.85,2,lumi.158d0008d0cf4d
48,"10/10/2023, 01:06:16",13.1.85,1,lumi.158d0008d0cf4d
47,"10/10/2023, 01:06:18",13.1.85,2,lumi.158d0008d0cf4d
46,"10/10/2023, 01:06:38",13.1.85,2,lumi.158d0008d0cf4d
45,"10/10/2023, 01:07:52",13.1.85,1,lumi.158d0008d0cf4d
44,"10/10/2023, 01:07:53",13.1.85,2,lumi.158d0008d0cf4d
43,"10/10/2023, 01:07:55",13.1.85,2,lumi.158d0008d0cf4d
42,"10/10/2023, 01:08:27",13.1.85,2,lumi.158d0008d0cf4d
41,"10/10/2023, 01:10:39",13.1.85,2,lumi.158d0008d0cf4d
40,"10/10/2023, 01:14:55",13.1.85,2,lumi.158d0008d0cf4d
39,"10/10/2023, 01:21:52",13.1.85,2,lumi.158d0008d0cf4d
38,"10/10/2023, 01:22:03",13.1.85,2,lumi.158d0008d0cf4d
37,"10/10/2023, 01:26:25",13.1.85,2,lumi.158d0008d0cf4d
36,"10/10/2023, 01:27:18",13.1.85,2,lumi.158d0008d0cf4d
35,"10/10/2023, 01:42:32",13.1.85,1,lumi.158d0008d0cf4d
34,"10/10/2023, 01:42:33",13.1.85,2,lumi.158d0008d0cf4d
33,"10/10/2023, 01:42:57",13.1.85,2,lumi.158d0008d0cf4d
32,"10/10/2023, 01:43:04",13.1.85,2,lumi.158d0008d0cf4d
31,"10/10/2023, 02:29:23",13.1.85,2,lumi.158d0008d0cf4d
30,"10/10/2023, 02:29:38",13.1.85,2,lumi.158d0008d0cf4d
29,"10/10/2023, 02:36:04",13.1.85,2,lumi.158d0008d0cf4d
28,"10/10/2023, 02:36:29",13.1.85,2,lumi.158d0008d0cf4d
27,"10/10/2023, 02:44:57",13.1.85,2,lumi.158d0008d0cf4d
26,"10/10/2023, 02:48:37",13.1.85,2,lumi.158d0008d0cf4d
25,"10/10/2023, 02:48:41",13.1.85,2,lumi.158d0008d0cf4d
24,"10/10/2023, 02:49:40",13.1.85,2,lumi.158d0008d0cf4d
23,"10/10/2023, 02:50:23",13.1.85,2,lumi.158d0008d0cf4d
22,"10/10/2023, 02:50:58",13.1.85,1,lumi.158d0008d0cf4d
21,"10/10/2023, 02:50:59",13.1.85,2,lumi.158d0008d0cf4d
20,"10/10/2023, 02:54:31",13.1.85,2,lumi.158d0008d0cf4d
19,"10/10/2023, 02:56:01",13.1.85,2,lumi.158d0008d0cf4d
18,"10/10/2023, 02:57:06",13.1.85,2,lumi.158d0008d0cf4d
17,"10/10/2023, 10:01:12",13.1.85,2,lumi.158d0008d0cf4d
16,"10/10/2023, 10:06:05",13.1.85,2,lumi.158d0008d0cf4d
15,"10/10/2023, 16:15:44",13.1.85,2,lumi.158d0008d0cf4d
14,"10/10/2023, 16:16:42",13.1.85,1,lumi.158d0008d0cf4d
13,"10/10/2023, 16:17:12",13.1.85,2,lumi.158d0008d0cf4d
12,"10/10/2023, 16:40:07",13.1.85,1,lumi.158d0008d0cf4d
11,"10/10/2023, 16:40:08",13.1.85,2,lumi.158d0008d0cf4d
10,"10/10/2023, 16:40:23",13.1.85,2,lumi.158d0008d0cf4d
9,"10/10/2023, 16:44:02",13.1.85,1,lumi.158d0008d0cf4d
8,"10/10/2023, 16:44:03",13.1.85,2,lumi.158d0008d0cf4d
7,"10/10/2023, 16:44:57",13.1.85,2,lumi.158d0008d0cf4d
6,"10/10/2023, 16:56:44",13.1.85,1,lumi.158d0008d0cf4d
5,"10/10/2023, 16:56:45",13.1.85,2,lumi.158d0008d0cf4d
4,"10/10/2023, 17:17:29",13.1.85,2,lumi.158d0008d0cf4d
3,"10/10/2023, 17:18:30",13.1.85,1,lumi.158d0008d0cf4d
2,"10/10/2023, 17:18:31",13.1.85,2,lumi.158d0008d0cf4d
