,timeStamp,resourceId,value,subjectId
37,"11/22/2023, 01:38:09",0.3.85,112,lumi.4cf8cdf3c8dd60b
36,"11/22/2023, 02:32:57",0.3.85,113,lumi.4cf8cdf3c8dd60b
35,"11/22/2023, 03:27:44",0.3.85,117,lumi.4cf8cdf3c8dd60b
34,"11/22/2023, 04:21:47",0.3.85,0,lumi.4cf8cdf3c8dd60b
33,"11/22/2023, 06:12:07",0.3.85,0,lumi.4cf8cdf3c8dd60b
32,"11/22/2023, 07:06:55",0.3.85,0,lumi.4cf8cdf3c8dd60b
31,"11/22/2023, 07:11:46",0.3.85,12,lumi.4cf8cdf3c8dd60b
30,"11/22/2023, 07:11:51",0.3.85,1,lumi.4cf8cdf3c8dd60b
29,"11/22/2023, 07:40:33",0.3.85,7,lumi.4cf8cdf3c8dd60b
28,"11/22/2023, 07:54:05",0.3.85,14,lumi.4cf8cdf3c8dd60b
27,"11/22/2023, 08:00:38",0.3.85,21,lumi.4cf8cdf3c8dd60b
26,"11/22/2023, 08:01:43",0.3.85,26,lumi.4cf8cdf3c8dd60b
25,"11/22/2023, 08:02:20",0.3.85,28,lumi.4cf8cdf3c8dd60b
24,"11/22/2023, 08:06:43",0.3.85,35,lumi.4cf8cdf3c8dd60b
23,"11/22/2023, 08:13:52",0.3.85,42,lumi.4cf8cdf3c8dd60b
22,"11/22/2023, 08:21:35",0.3.85,49,lumi.4cf8cdf3c8dd60b
21,"11/22/2023, 08:32:47",0.3.85,58,lumi.4cf8cdf3c8dd60b
20,"11/22/2023, 08:56:30",0.3.85,60,lumi.4cf8cdf3c8dd60b
19,"11/22/2023, 09:07:44",0.3.85,69,lumi.4cf8cdf3c8dd60b
18,"11/22/2023, 09:21:06",0.3.85,82,lumi.4cf8cdf3c8dd60b
17,"11/22/2023, 09:31:33",0.3.85,98,lumi.4cf8cdf3c8dd60b
16,"11/22/2023, 09:51:18",0.3.85,108,lumi.4cf8cdf3c8dd60b
15,"11/22/2023, 10:12:15",0.3.85,116,lumi.4cf8cdf3c8dd60b
14,"11/22/2023, 10:20:52",0.3.85,55,lumi.4cf8cdf3c8dd60b
13,"11/22/2023, 10:20:57",0.3.85,118,lumi.4cf8cdf3c8dd60b
12,"11/22/2023, 10:23:47",0.3.85,61,lumi.4cf8cdf3c8dd60b
11,"11/22/2023, 10:23:52",0.3.85,110,lumi.4cf8cdf3c8dd60b
10,"11/22/2023, 10:27:36",0.3.85,87,lumi.4cf8cdf3c8dd60b
9,"11/22/2023, 10:27:41",0.3.85,112,lumi.4cf8cdf3c8dd60b
8,"11/22/2023, 10:30:40",0.3.85,93,lumi.4cf8cdf3c8dd60b
7,"11/22/2023, 10:30:45",0.3.85,65,lumi.4cf8cdf3c8dd60b
6,"11/22/2023, 10:30:55",0.3.85,88,lumi.4cf8cdf3c8dd60b
5,"11/22/2023, 10:31:00",0.3.85,120,lumi.4cf8cdf3c8dd60b
4,"11/22/2023, 10:46:06",0.3.85,121,lumi.4cf8cdf3c8dd60b
3,"11/22/2023, 11:12:56",0.3.85,101,lumi.4cf8cdf3c8dd60b
2,"11/22/2023, 11:28:57",0.3.85,85,lumi.4cf8cdf3c8dd60b
1,"11/22/2023, 11:40:53",0.3.85,76,lumi.4cf8cdf3c8dd60b
0,"11/22/2023, 11:42:50",0.3.85,72,lumi.4cf8cdf3c8dd60b
