,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
281,,0.3.85,"08/13/2023, 03:00:00",11.0,lumi.54ef44100065d28b,3,"08/13/2023, 02:30:00"
280,"08/13/2023, 02:35:03",0.3.85,"08/13/2023, 03:00:00",11.000000,lumi.54ef44100065d28b,2,"08/13/2023, 02:30:00"
279,"08/13/2023, 02:35:03",0.3.85,"08/13/2023, 03:00:00",11.000000,lumi.54ef44100065d28b,1,"08/13/2023, 02:30:00"
278,,0.3.85,"08/13/2023, 05:30:00",11.0,lumi.54ef44100065d28b,3,"08/13/2023, 05:00:00"
277,"08/13/2023, 05:19:36",0.3.85,"08/13/2023, 05:30:00",11.000000,lumi.54ef44100065d28b,2,"08/13/2023, 05:00:00"
276,"08/13/2023, 05:19:36",0.3.85,"08/13/2023, 05:30:00",11.000000,lumi.54ef44100065d28b,1,"08/13/2023, 05:00:00"
275,,0.3.85,"08/13/2023, 07:00:00",21.0,lumi.54ef44100065d28b,3,"08/13/2023, 06:30:00"
274,"08/13/2023, 06:54:01",0.3.85,"08/13/2023, 07:00:00",21.000000,lumi.54ef44100065d28b,2,"08/13/2023, 06:30:00"
273,"08/13/2023, 06:54:01",0.3.85,"08/13/2023, 07:00:00",21.000000,lumi.54ef44100065d28b,1,"08/13/2023, 06:30:00"
272,,0.3.85,"08/13/2023, 07:30:00",27.0,lumi.54ef44100065d28b,3,"08/13/2023, 07:00:00"
271,"08/13/2023, 07:09:18",0.3.85,"08/13/2023, 07:30:00",27.000000,lumi.54ef44100065d28b,2,"08/13/2023, 07:00:00"
270,"08/13/2023, 07:09:18",0.3.85,"08/13/2023, 07:30:00",27.000000,lumi.54ef44100065d28b,1,"08/13/2023, 07:00:00"
269,,0.3.85,"08/13/2023, 08:00:00",35.0,lumi.54ef44100065d28b,3,"08/13/2023, 07:30:00"
268,"08/13/2023, 07:54:50",0.3.85,"08/13/2023, 08:00:00",35.000000,lumi.54ef44100065d28b,2,"08/13/2023, 07:30:00"
267,"08/13/2023, 07:54:50",0.3.85,"08/13/2023, 08:00:00",35.000000,lumi.54ef44100065d28b,1,"08/13/2023, 07:30:00"
266,,0.3.85,"08/13/2023, 08:30:00",39.5,lumi.54ef44100065d28b,3,"08/13/2023, 08:00:00"
265,"08/13/2023, 08:18:18",0.3.85,"08/13/2023, 08:30:00",42.000000,lumi.54ef44100065d28b,2,"08/13/2023, 08:00:00"
264,"08/13/2023, 08:04:09",0.3.85,"08/13/2023, 08:30:00",37.000000,lumi.54ef44100065d28b,1,"08/13/2023, 08:00:00"
263,,0.3.85,"08/13/2023, 09:00:00",49.0,lumi.54ef44100065d28b,3,"08/13/2023, 08:30:00"
262,"08/13/2023, 08:58:59",0.3.85,"08/13/2023, 09:00:00",49.000000,lumi.54ef44100065d28b,2,"08/13/2023, 08:30:00"
261,"08/13/2023, 08:58:59",0.3.85,"08/13/2023, 09:00:00",49.000000,lumi.54ef44100065d28b,1,"08/13/2023, 08:30:00"
260,,0.3.85,"08/13/2023, 10:00:00",80.666667,lumi.54ef44100065d28b,3,"08/13/2023, 09:30:00"
259,"08/13/2023, 09:56:52",0.3.85,"08/13/2023, 10:00:00",100.000000,lumi.54ef44100065d28b,2,"08/13/2023, 09:30:00"
258,"08/13/2023, 09:32:25",0.3.85,"08/13/2023, 10:00:00",59.000000,lumi.54ef44100065d28b,1,"08/13/2023, 09:30:00"
257,,0.3.85,"08/13/2023, 11:00:00",91.2,lumi.54ef44100065d28b,3,"08/13/2023, 10:30:00"
256,"08/13/2023, 10:59:16",0.3.85,"08/13/2023, 11:00:00",121.000000,lumi.54ef44100065d28b,2,"08/13/2023, 10:30:00"
255,"08/13/2023, 10:33:09",0.3.85,"08/13/2023, 11:00:00",71.000000,lumi.54ef44100065d28b,1,"08/13/2023, 10:30:00"
