,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
302,,0.2.85,"08/17/2023, 22:30:00",7486.0,lumi.54ef4410004b0c76,3,"08/17/2023, 22:00:00"
301,,0.1.85,"08/17/2023, 22:30:00",2980.0,lumi.54ef4410004b0c76,3,"08/17/2023, 22:00:00"
300,,0.3.85,"08/17/2023, 22:30:00",100535.0,lumi.54ef4410004b0c76,3,"08/17/2023, 22:00:00"
299,"08/17/2023, 22:00:49",0.2.85,"08/17/2023, 22:30:00",7486.000000,lumi.54ef4410004b0c76,2,"08/17/2023, 22:00:00"
298,"08/17/2023, 22:26:09",0.3.85,"08/17/2023, 22:30:00",100570.000000,lumi.54ef4410004b0c76,2,"08/17/2023, 22:00:00"
297,"08/17/2023, 22:00:49",0.1.85,"08/17/2023, 22:30:00",2980.000000,lumi.54ef4410004b0c76,2,"08/17/2023, 22:00:00"
296,"08/17/2023, 22:00:49",0.3.85,"08/17/2023, 22:30:00",100500.000000,lumi.54ef4410004b0c76,1,"08/17/2023, 22:00:00"
295,"08/17/2023, 22:00:49",0.1.85,"08/17/2023, 22:30:00",2980.000000,lumi.54ef4410004b0c76,1,"08/17/2023, 22:00:00"
294,"08/17/2023, 22:00:49",0.2.85,"08/17/2023, 22:30:00",7486.000000,lumi.54ef4410004b0c76,1,"08/17/2023, 22:00:00"
293,,0.2.85,"08/17/2023, 23:00:00",7494.0,lumi.54ef4410004b0c76,3,"08/17/2023, 22:30:00"
292,,0.1.85,"08/17/2023, 23:00:00",2969.0,lumi.54ef4410004b0c76,3,"08/17/2023, 22:30:00"
291,,0.3.85,"08/17/2023, 23:00:00",100500.0,lumi.54ef4410004b0c76,3,"08/17/2023, 22:30:00"
290,"08/17/2023, 22:55:27",0.2.85,"08/17/2023, 23:00:00",7494.000000,lumi.54ef4410004b0c76,2,"08/17/2023, 22:30:00"
289,"08/17/2023, 22:55:27",0.3.85,"08/17/2023, 23:00:00",100500.000000,lumi.54ef4410004b0c76,2,"08/17/2023, 22:30:00"
288,"08/17/2023, 22:55:27",0.1.85,"08/17/2023, 23:00:00",2969.000000,lumi.54ef4410004b0c76,2,"08/17/2023, 22:30:00"
287,"08/17/2023, 22:55:27",0.3.85,"08/17/2023, 23:00:00",100500.000000,lumi.54ef4410004b0c76,1,"08/17/2023, 22:30:00"
286,"08/17/2023, 22:55:27",0.1.85,"08/17/2023, 23:00:00",2969.000000,lumi.54ef4410004b0c76,1,"08/17/2023, 22:30:00"
285,"08/17/2023, 22:55:27",0.2.85,"08/17/2023, 23:00:00",7494.000000,lumi.54ef4410004b0c76,1,"08/17/2023, 22:30:00"
284,,0.2.85,"08/18/2023, 00:00:00",7499.0,lumi.54ef4410004b0c76,3,"08/17/2023, 23:30:00"
283,,0.1.85,"08/18/2023, 00:00:00",2970.0,lumi.54ef4410004b0c76,3,"08/17/2023, 23:30:00"
282,,0.3.85,"08/18/2023, 00:00:00",100500.0,lumi.54ef4410004b0c76,3,"08/17/2023, 23:30:00"
281,"08/17/2023, 23:50:05",0.2.85,"08/18/2023, 00:00:00",7499.000000,lumi.54ef4410004b0c76,2,"08/17/2023, 23:30:00"
280,"08/17/2023, 23:50:05",0.3.85,"08/18/2023, 00:00:00",100500.000000,lumi.54ef4410004b0c76,2,"08/17/2023, 23:30:00"
279,"08/17/2023, 23:50:05",0.1.85,"08/18/2023, 00:00:00",2970.000000,lumi.54ef4410004b0c76,2,"08/17/2023, 23:30:00"
278,"08/17/2023, 23:50:05",0.3.85,"08/18/2023, 00:00:00",100500.000000,lumi.54ef4410004b0c76,1,"08/17/2023, 23:30:00"
277,"08/17/2023, 23:50:05",0.1.85,"08/18/2023, 00:00:00",2970.000000,lumi.54ef4410004b0c76,1,"08/17/2023, 23:30:00"
276,"08/17/2023, 23:50:05",0.2.85,"08/18/2023, 00:00:00",7499.000000,lumi.54ef4410004b0c76,1,"08/17/2023, 23:30:00"
275,,0.3.85,"08/18/2023, 00:30:00",100600.0,lumi.54ef4410004b0c76,3,"08/18/2023, 00:00:00"
274,"08/18/2023, 00:10:08",0.3.85,"08/18/2023, 00:30:00",100600.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 00:00:00"
273,"08/18/2023, 00:10:08",0.3.85,"08/18/2023, 00:30:00",100600.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 00:00:00"
272,,0.2.85,"08/18/2023, 01:00:00",7485.0,lumi.54ef4410004b0c76,3,"08/18/2023, 00:30:00"
271,,0.1.85,"08/18/2023, 01:00:00",2963.0,lumi.54ef4410004b0c76,3,"08/18/2023, 00:30:00"
270,,0.3.85,"08/18/2023, 01:00:00",100535.0,lumi.54ef4410004b0c76,3,"08/18/2023, 00:30:00"
269,"08/18/2023, 00:44:43",0.2.85,"08/18/2023, 01:00:00",7485.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 00:30:00"
268,"08/18/2023, 00:41:15",0.3.85,"08/18/2023, 01:00:00",100570.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 00:30:00"
267,"08/18/2023, 00:44:43",0.1.85,"08/18/2023, 01:00:00",2963.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 00:30:00"
266,"08/18/2023, 00:44:43",0.3.85,"08/18/2023, 01:00:00",100500.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 00:30:00"
265,"08/18/2023, 00:44:43",0.1.85,"08/18/2023, 01:00:00",2963.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 00:30:00"
264,"08/18/2023, 00:44:43",0.2.85,"08/18/2023, 01:00:00",7485.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 00:30:00"
263,,0.2.85,"08/18/2023, 02:00:00",7505.0,lumi.54ef4410004b0c76,3,"08/18/2023, 01:30:00"
262,,0.1.85,"08/18/2023, 02:00:00",2955.0,lumi.54ef4410004b0c76,3,"08/18/2023, 01:30:00"
261,,0.3.85,"08/18/2023, 02:00:00",100500.0,lumi.54ef4410004b0c76,3,"08/18/2023, 01:30:00"
260,"08/18/2023, 01:39:21",0.2.85,"08/18/2023, 02:00:00",7505.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 01:30:00"
259,"08/18/2023, 01:39:21",0.3.85,"08/18/2023, 02:00:00",100500.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 01:30:00"
258,"08/18/2023, 01:39:21",0.1.85,"08/18/2023, 02:00:00",2955.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 01:30:00"
257,"08/18/2023, 01:39:21",0.3.85,"08/18/2023, 02:00:00",100500.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 01:30:00"
256,"08/18/2023, 01:39:21",0.1.85,"08/18/2023, 02:00:00",2955.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 01:30:00"
255,"08/18/2023, 01:39:21",0.2.85,"08/18/2023, 02:00:00",7505.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 01:30:00"
254,,0.3.85,"08/18/2023, 02:30:00",100600.0,lumi.54ef4410004b0c76,3,"08/18/2023, 02:00:00"
253,"08/18/2023, 02:17:47",0.3.85,"08/18/2023, 02:30:00",100600.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 02:00:00"
252,"08/18/2023, 02:17:47",0.3.85,"08/18/2023, 02:30:00",100600.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 02:00:00"
251,,0.2.85,"08/18/2023, 03:00:00",7500.0,lumi.54ef4410004b0c76,3,"08/18/2023, 02:30:00"
250,,0.1.85,"08/18/2023, 03:00:00",2956.0,lumi.54ef4410004b0c76,3,"08/18/2023, 02:30:00"
249,,0.3.85,"08/18/2023, 03:00:00",100600.0,lumi.54ef4410004b0c76,3,"08/18/2023, 02:30:00"
248,"08/18/2023, 02:33:59",0.2.85,"08/18/2023, 03:00:00",7500.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 02:30:00"
247,"08/18/2023, 02:33:59",0.3.85,"08/18/2023, 03:00:00",100600.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 02:30:00"
246,"08/18/2023, 02:33:59",0.1.85,"08/18/2023, 03:00:00",2956.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 02:30:00"
245,"08/18/2023, 02:33:59",0.3.85,"08/18/2023, 03:00:00",100600.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 02:30:00"
244,"08/18/2023, 02:33:59",0.1.85,"08/18/2023, 03:00:00",2956.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 02:30:00"
243,"08/18/2023, 02:33:59",0.2.85,"08/18/2023, 03:00:00",7500.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 02:30:00"
242,,0.2.85,"08/18/2023, 03:30:00",7454.0,lumi.54ef4410004b0c76,3,"08/18/2023, 03:00:00"
241,,0.1.85,"08/18/2023, 03:30:00",2956.0,lumi.54ef4410004b0c76,3,"08/18/2023, 03:00:00"
240,,0.3.85,"08/18/2023, 03:30:00",100500.0,lumi.54ef4410004b0c76,3,"08/18/2023, 03:00:00"
239,"08/18/2023, 03:28:37",0.2.85,"08/18/2023, 03:30:00",7454.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 03:00:00"
238,"08/18/2023, 03:28:37",0.3.85,"08/18/2023, 03:30:00",100500.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 03:00:00"
237,"08/18/2023, 03:28:37",0.1.85,"08/18/2023, 03:30:00",2956.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 03:00:00"
236,"08/18/2023, 03:28:37",0.3.85,"08/18/2023, 03:30:00",100500.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 03:00:00"
235,"08/18/2023, 03:28:37",0.1.85,"08/18/2023, 03:30:00",2956.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 03:00:00"
234,"08/18/2023, 03:28:37",0.2.85,"08/18/2023, 03:30:00",7454.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 03:00:00"
233,,0.3.85,"08/18/2023, 04:00:00",100580.0,lumi.54ef4410004b0c76,3,"08/18/2023, 03:30:00"
232,"08/18/2023, 03:45:02",0.3.85,"08/18/2023, 04:00:00",100600.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 03:30:00"
231,"08/18/2023, 03:37:34",0.3.85,"08/18/2023, 04:00:00",100570.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 03:30:00"
230,,0.2.85,"08/18/2023, 04:30:00",7453.0,lumi.54ef4410004b0c76,3,"08/18/2023, 04:00:00"
229,,0.1.85,"08/18/2023, 04:30:00",2949.0,lumi.54ef4410004b0c76,3,"08/18/2023, 04:00:00"
228,,0.3.85,"08/18/2023, 04:30:00",100500.0,lumi.54ef4410004b0c76,3,"08/18/2023, 04:00:00"
227,"08/18/2023, 04:23:15",0.2.85,"08/18/2023, 04:30:00",7453.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 04:00:00"
226,"08/18/2023, 04:23:15",0.3.85,"08/18/2023, 04:30:00",100500.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 04:00:00"
225,"08/18/2023, 04:23:15",0.1.85,"08/18/2023, 04:30:00",2949.000000,lumi.54ef4410004b0c76,2,"08/18/2023, 04:00:00"
224,"08/18/2023, 04:23:15",0.3.85,"08/18/2023, 04:30:00",100500.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 04:00:00"
223,"08/18/2023, 04:23:15",0.1.85,"08/18/2023, 04:30:00",2949.000000,lumi.54ef4410004b0c76,1,"08/18/2023, 04:00:00"
