,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
33,,13.1.85,"09/07/2023, 00:30:00","{""1"":1,""2"":1}",lumi.158d0008f34fdf,4,"09/07/2023, 00:00:00"
32,,13.1.85,"09/07/2023, 01:00:00","{""2"":3}",lumi.158d0008f34fdf,4,"09/07/2023, 00:30:00"
31,,13.1.85,"09/07/2023, 01:30:00","{""1"":1,""2"":2}",lumi.158d0008f34fdf,4,"09/07/2023, 01:00:00"
30,,13.1.85,"09/07/2023, 03:00:00","{""1"":1,""2"":2}",lumi.158d0008f34fdf,4,"09/07/2023, 02:30:00"
29,,13.1.85,"09/07/2023, 03:30:00","{""1"":1,""2"":5}",lumi.158d0008f34fdf,4,"09/07/2023, 03:00:00"
28,,13.1.85,"09/07/2023, 04:00:00","{""2"":6}",lumi.158d0008f34fdf,4,"09/07/2023, 03:30:00"
27,,13.1.85,"09/07/2023, 04:30:00","{""2"":2}",lumi.158d0008f34fdf,4,"09/07/2023, 04:00:00"
26,,13.1.85,"09/07/2023, 11:30:00","{""1"":1,""2"":2}",lumi.158d0008f34fdf,4,"09/07/2023, 11:00:00"
25,,13.1.85,"09/07/2023, 12:00:00","{""1"":1,""2"":2}",lumi.158d0008f34fdf,4,"09/07/2023, 11:30:00"
24,,13.1.85,"09/07/2023, 18:30:00","{""1"":1,""2"":10}",lumi.158d0008f34fdf,4,"09/07/2023, 18:00:00"
23,,13.1.85,"09/07/2023, 19:30:00","{""1"":3,""2"":15}",lumi.158d0008f34fdf,4,"09/07/2023, 19:00:00"
22,,13.1.85,"09/07/2023, 20:00:00","{""1"":1,""2"":2}",lumi.158d0008f34fdf,4,"09/07/2023, 19:30:00"
21,,13.1.85,"09/07/2023, 20:30:00","{""1"":3,""2"":4}",lumi.158d0008f34fdf,4,"09/07/2023, 20:00:00"
20,,13.1.85,"09/07/2023, 21:00:00","{""1"":1,""2"":1}",lumi.158d0008f34fdf,4,"09/07/2023, 20:30:00"
19,,13.1.85,"09/07/2023, 21:30:00","{""1"":2,""2"":10}",lumi.158d0008f34fdf,4,"09/07/2023, 21:00:00"
18,,13.1.85,"09/07/2023, 22:00:00","{""1"":3,""2"":35}",lumi.158d0008f34fdf,4,"09/07/2023, 21:30:00"
17,,13.1.85,"09/07/2023, 22:30:00","{""1"":1}",lumi.158d0008f34fdf,4,"09/07/2023, 22:00:00"
16,,13.1.85,"09/08/2023, 11:00:00","{""1"":1,""2"":5}",lumi.158d0008f34fdf,4,"09/08/2023, 10:30:00"
15,,13.1.85,"09/08/2023, 11:30:00","{""1"":1,""2"":3}",lumi.158d0008f34fdf,4,"09/08/2023, 11:00:00"
14,,13.1.85,"09/09/2023, 11:30:00","{""1"":2,""2"":4}",lumi.158d0008f34fdf,4,"09/09/2023, 11:00:00"
13,,13.1.85,"09/09/2023, 12:00:00","{""1"":1,""2"":2}",lumi.158d0008f34fdf,4,"09/09/2023, 11:30:00"
12,,13.1.85,"09/09/2023, 14:00:00","{""1"":2,""2"":10}",lumi.158d0008f34fdf,4,"09/09/2023, 13:30:00"
11,,13.1.85,"09/09/2023, 14:30:00","{""2"":2}",lumi.158d0008f34fdf,4,"09/09/2023, 14:00:00"
10,,13.1.85,"09/09/2023, 15:00:00","{""1"":1,""2"":2}",lumi.158d0008f34fdf,4,"09/09/2023, 14:30:00"
9,,13.1.85,"09/09/2023, 15:30:00","{""1"":1,""2"":3}",lumi.158d0008f34fdf,4,"09/09/2023, 15:00:00"
8,,13.1.85,"09/09/2023, 16:00:00","{""1"":2,""2"":15}",lumi.158d0008f34fdf,4,"09/09/2023, 15:30:00"
7,,13.1.85,"09/09/2023, 16:30:00","{""2"":8}",lumi.158d0008f34fdf,4,"09/09/2023, 16:00:00"
6,,13.1.85,"09/09/2023, 17:00:00","{""1"":1,""2"":19}",lumi.158d0008f34fdf,4,"09/09/2023, 16:30:00"
5,,13.1.85,"09/09/2023, 17:30:00","{""1"":3,""2"":23}",lumi.158d0008f34fdf,4,"09/09/2023, 17:00:00"
4,,13.1.85,"09/09/2023, 18:00:00","{""1"":1,""2"":8}",lumi.158d0008f34fdf,4,"09/09/2023, 17:30:00"
3,,13.1.85,"09/09/2023, 22:30:00","{""1"":1,""2"":2}",lumi.158d0008f34fdf,4,"09/09/2023, 22:00:00"
2,,13.1.85,"09/09/2023, 23:00:00","{""2"":3}",lumi.158d0008f34fdf,4,"09/09/2023, 22:30:00"
1,,13.1.85,"09/09/2023, 23:30:00","{""2"":2}",lumi.158d0008f34fdf,4,"09/09/2023, 23:00:00"
0,,13.1.85,"09/10/2023, 00:00:00","{""1"":1}",lumi.158d0008f34fdf,4,"09/09/2023, 23:30:00"
