,timeStamp,resourceId,value,subjectId
25,"10/09/2023, 13:35:17",3.1.85,1,lumi.54ef4410003fe65f
24,"10/09/2023, 13:35:21",3.1.85,0,lumi.54ef4410003fe65f
23,"10/09/2023, 13:38:07",3.1.85,1,lumi.54ef4410003fe65f
22,"10/09/2023, 13:38:10",3.1.85,0,lumi.54ef4410003fe65f
21,"10/09/2023, 13:40:29",3.1.85,1,lumi.54ef4410003fe65f
20,"10/09/2023, 13:40:34",3.1.85,0,lumi.54ef4410003fe65f
19,"10/09/2023, 13:46:16",3.1.85,1,lumi.54ef4410003fe65f
18,"10/09/2023, 13:46:19",3.1.85,0,lumi.54ef4410003fe65f
17,"10/09/2023, 22:17:56",3.1.85,1,lumi.54ef4410003fe65f
16,"10/09/2023, 22:18:03",3.1.85,0,lumi.54ef4410003fe65f
15,"10/09/2023, 22:24:50",3.1.85,1,lumi.54ef4410003fe65f
14,"10/09/2023, 23:44:36",3.1.85,0,lumi.54ef4410003fe65f
13,"10/10/2023, 00:16:02",3.1.85,1,lumi.54ef4410003fe65f
12,"10/10/2023, 00:16:05",3.1.85,0,lumi.54ef4410003fe65f
11,"10/10/2023, 13:43:36",3.1.85,1,lumi.54ef4410003fe65f
10,"10/10/2023, 13:43:42",3.1.85,0,lumi.54ef4410003fe65f
9,"10/10/2023, 13:49:42",3.1.85,1,lumi.54ef4410003fe65f
8,"10/10/2023, 13:49:44",3.1.85,0,lumi.54ef4410003fe65f
7,"10/10/2023, 14:54:11",3.1.85,1,lumi.54ef4410003fe65f
6,"10/10/2023, 14:54:15",3.1.85,0,lumi.54ef4410003fe65f
5,"10/10/2023, 14:58:13",3.1.85,1,lumi.54ef4410003fe65f
4,"10/10/2023, 14:58:15",3.1.85,0,lumi.54ef4410003fe65f
3,"10/10/2023, 18:03:08",3.1.85,1,lumi.54ef4410003fe65f
2,"10/10/2023, 18:03:14",3.1.85,0,lumi.54ef4410003fe65f
1,"10/10/2023, 21:59:52",3.1.85,1,lumi.54ef4410003fe65f
0,"10/10/2023, 21:59:55",3.1.85,0,lumi.54ef4410003fe65f
