,timeStamp,resourceId,value,subjectId
62,"10/27/2023, 18:43:19",13.1.85,1,lumi.158d0008f34fdf
61,"10/27/2023, 18:43:46",13.1.85,2,lumi.158d0008f34fdf
60,"10/27/2023, 18:44:09",13.1.85,2,lumi.158d0008f34fdf
59,"10/27/2023, 18:47:29",13.1.85,1,lumi.158d0008f34fdf
58,"10/27/2023, 18:47:32",13.1.85,2,lumi.158d0008f34fdf
57,"10/27/2023, 18:48:14",13.1.85,2,lumi.158d0008f34fdf
56,"10/27/2023, 18:50:00",13.1.85,2,lumi.158d0008f34fdf
55,"10/27/2023, 18:50:25",13.1.85,2,lumi.158d0008f34fdf
54,"10/27/2023, 18:50:54",13.1.85,2,lumi.158d0008f34fdf
53,"10/27/2023, 18:52:18",13.1.85,2,lumi.158d0008f34fdf
52,"10/27/2023, 18:52:30",13.1.85,2,lumi.158d0008f34fdf
51,"10/27/2023, 18:52:53",13.1.85,2,lumi.158d0008f34fdf
50,"10/27/2023, 18:53:00",13.1.85,2,lumi.158d0008f34fdf
49,"10/27/2023, 18:53:14",13.1.85,2,lumi.158d0008f34fdf
48,"10/27/2023, 18:54:47",13.1.85,2,lumi.158d0008f34fdf
47,"10/27/2023, 18:59:05",13.1.85,2,lumi.158d0008f34fdf
46,"10/27/2023, 18:59:27",13.1.85,1,lumi.158d0008f34fdf
45,"10/27/2023, 18:59:29",13.1.85,2,lumi.158d0008f34fdf
44,"10/27/2023, 18:59:43",13.1.85,2,lumi.158d0008f34fdf
43,"10/27/2023, 19:06:27",13.1.85,2,lumi.158d0008f34fdf
42,"10/27/2023, 19:09:11",13.1.85,2,lumi.158d0008f34fdf
41,"10/27/2023, 19:09:51",13.1.85,2,lumi.158d0008f34fdf
40,"10/27/2023, 19:10:04",13.1.85,2,lumi.158d0008f34fdf
39,"10/27/2023, 19:10:51",13.1.85,2,lumi.158d0008f34fdf
38,"10/27/2023, 19:13:11",13.1.85,2,lumi.158d0008f34fdf
37,"10/27/2023, 19:13:48",13.1.85,2,lumi.158d0008f34fdf
36,"10/27/2023, 19:15:41",13.1.85,2,lumi.158d0008f34fdf
35,"10/27/2023, 19:17:00",13.1.85,2,lumi.158d0008f34fdf
34,"10/27/2023, 19:18:00",13.1.85,2,lumi.158d0008f34fdf
33,"10/27/2023, 19:18:08",13.1.85,2,lumi.158d0008f34fdf
32,"10/27/2023, 19:18:11",13.1.85,2,lumi.158d0008f34fdf
31,"10/27/2023, 19:18:38",13.1.85,2,lumi.158d0008f34fdf
30,"10/27/2023, 19:18:39",13.1.85,1,lumi.158d0008f34fdf
29,"10/27/2023, 19:20:32",13.1.85,2,lumi.158d0008f34fdf
28,"10/27/2023, 19:21:24",13.1.85,2,lumi.158d0008f34fdf
27,"10/27/2023, 19:21:48",13.1.85,2,lumi.158d0008f34fdf
26,"10/27/2023, 19:23:18",13.1.85,2,lumi.158d0008f34fdf
25,"10/27/2023, 19:23:38",13.1.85,2,lumi.158d0008f34fdf
24,"10/27/2023, 19:26:37",13.1.85,2,lumi.158d0008f34fdf
23,"10/27/2023, 19:27:30",13.1.85,2,lumi.158d0008f34fdf
22,"10/27/2023, 19:27:40",13.1.85,2,lumi.158d0008f34fdf
21,"10/27/2023, 19:27:41",13.1.85,1,lumi.158d0008f34fdf
20,"10/27/2023, 19:28:28",13.1.85,2,lumi.158d0008f34fdf
19,"10/27/2023, 19:28:46",13.1.85,1,lumi.158d0008f34fdf
18,"10/27/2023, 19:28:47",13.1.85,2,lumi.158d0008f34fdf
17,"10/27/2023, 19:29:43",13.1.85,2,lumi.158d0008f34fdf
16,"10/27/2023, 19:39:36",13.1.85,2,lumi.158d0008f34fdf
15,"10/27/2023, 20:14:20",13.1.85,2,lumi.158d0008f34fdf
14,"10/27/2023, 20:18:03",13.1.85,1,lumi.158d0008f34fdf
13,"10/27/2023, 20:18:38",13.1.85,2,lumi.158d0008f34fdf
12,"10/27/2023, 21:24:07",13.1.85,1,lumi.158d0008f34fdf
11,"10/27/2023, 21:24:17",13.1.85,2,lumi.158d0008f34fdf
10,"10/28/2023, 11:11:03",13.1.85,2,lumi.158d0008f34fdf
9,"10/28/2023, 11:20:52",13.1.85,2,lumi.158d0008f34fdf
8,"10/28/2023, 11:21:03",13.1.85,2,lumi.158d0008f34fdf
7,"10/28/2023, 12:19:00",13.1.85,1,lumi.158d0008f34fdf
6,"10/28/2023, 12:22:18",13.1.85,2,lumi.158d0008f34fdf
5,"10/28/2023, 12:22:33",13.1.85,2,lumi.158d0008f34fdf
4,"10/28/2023, 12:27:24",13.1.85,1,lumi.158d0008f34fdf
3,"10/28/2023, 12:54:07",13.1.85,1,lumi.158d0008f34fdf
2,"10/28/2023, 12:54:09",13.1.85,2,lumi.158d0008f34fdf
1,"10/28/2023, 15:59:53",13.1.85,1,lumi.158d0008f34fdf
0,"10/28/2023, 20:45:43",13.1.85,1,lumi.158d0008f34fdf
