,timeStamp,resourceId,value,subjectId
16,"11/06/2023, 09:29:33",13.1.85,1,lumi.158d0008f34a8f
15,"11/06/2023, 09:29:42",13.1.85,2,lumi.158d0008f34a8f
14,"11/06/2023, 16:48:02",13.1.85,1,lumi.158d0008f34a8f
13,"11/06/2023, 19:21:29",13.1.85,1,lumi.158d0008f34a8f
12,"11/06/2023, 19:37:28",13.1.85,2,lumi.158d0008f34a8f
11,"11/06/2023, 19:37:29",13.1.85,1,lumi.158d0008f34a8f
10,"11/06/2023, 19:45:17",13.1.85,1,lumi.158d0008f34a8f
9,"11/06/2023, 20:09:48",13.1.85,1,lumi.158d0008f34a8f
8,"11/06/2023, 20:11:09",13.1.85,1,lumi.158d0008f34a8f
7,"11/07/2023, 18:57:51",13.1.85,1,lumi.158d0008f34a8f
6,"11/07/2023, 19:26:56",13.1.85,1,lumi.158d0008f34a8f
5,"11/07/2023, 19:35:36",13.1.85,1,lumi.158d0008f34a8f
4,"11/07/2023, 19:57:16",13.1.85,1,lumi.158d0008f34a8f
3,"11/07/2023, 20:26:10",13.1.85,1,lumi.158d0008f34a8f
2,"11/07/2023, 20:27:27",13.1.85,1,lumi.158d0008f34a8f
1,"11/07/2023, 20:47:27",13.1.85,1,lumi.158d0008f34a8f
0,"11/07/2023, 22:51:05",13.1.85,1,lumi.158d0008f34a8f
