,timeStamp,resourceId,value,subjectId
92,"11/14/2023, 00:09:17",0.3.85,134,lumi.54ef44100065d28b
91,"11/14/2023, 00:09:22",0.3.85,216,lumi.54ef44100065d28b
90,"11/14/2023, 00:09:37",0.3.85,164,lumi.54ef44100065d28b
89,"11/14/2023, 00:09:42",0.3.85,201,lumi.54ef44100065d28b
88,"11/14/2023, 00:13:51",0.3.85,163,lumi.54ef44100065d28b
87,"11/14/2023, 00:13:56",0.3.85,218,lumi.54ef44100065d28b
86,"11/14/2023, 00:14:31",0.3.85,162,lumi.54ef44100065d28b
85,"11/14/2023, 00:14:36",0.3.85,214,lumi.54ef44100065d28b
84,"11/14/2023, 00:35:11",0.3.85,167,lumi.54ef44100065d28b
83,"11/14/2023, 00:35:16",0.3.85,215,lumi.54ef44100065d28b
82,"11/14/2023, 00:51:37",0.3.85,223,lumi.54ef44100065d28b
81,"11/14/2023, 02:41:16",0.3.85,227,lumi.54ef44100065d28b
80,"11/14/2023, 03:36:06",0.3.85,225,lumi.54ef44100065d28b
79,"11/14/2023, 05:25:45",0.3.85,226,lumi.54ef44100065d28b
78,"11/14/2023, 06:02:04",0.3.85,0,lumi.54ef44100065d28b
77,"11/14/2023, 07:15:24",0.3.85,0,lumi.54ef44100065d28b
76,"11/14/2023, 07:23:49",0.3.85,24,lumi.54ef44100065d28b
75,"11/14/2023, 07:23:54",0.3.85,1,lumi.54ef44100065d28b
74,"11/14/2023, 08:07:25",0.3.85,8,lumi.54ef44100065d28b
73,"11/14/2023, 08:10:14",0.3.85,9,lumi.54ef44100065d28b
72,"11/14/2023, 08:28:22",0.3.85,15,lumi.54ef44100065d28b
71,"11/14/2023, 08:48:07",0.3.85,22,lumi.54ef44100065d28b
70,"11/14/2023, 09:00:10",0.3.85,29,lumi.54ef44100065d28b
69,"11/14/2023, 09:05:03",0.3.85,29,lumi.54ef44100065d28b
68,"11/14/2023, 09:19:47",0.3.85,37,lumi.54ef44100065d28b
67,"11/14/2023, 09:21:12",0.3.85,44,lumi.54ef44100065d28b
66,"11/14/2023, 09:25:11",0.3.85,60,lumi.54ef44100065d28b
65,"11/14/2023, 09:28:40",0.3.85,44,lumi.54ef44100065d28b
64,"11/14/2023, 09:29:05",0.3.85,53,lumi.54ef44100065d28b
63,"11/14/2023, 09:29:25",0.3.85,30,lumi.54ef44100065d28b
62,"11/14/2023, 09:29:35",0.3.85,23,lumi.54ef44100065d28b
61,"11/14/2023, 09:29:40",0.3.85,42,lumi.54ef44100065d28b
60,"11/14/2023, 09:29:45",0.3.85,26,lumi.54ef44100065d28b
59,"11/14/2023, 09:29:55",0.3.85,40,lumi.54ef44100065d28b
58,"11/14/2023, 09:30:00",0.3.85,21,lumi.54ef44100065d28b
57,"11/14/2023, 09:30:15",0.3.85,41,lumi.54ef44100065d28b
56,"11/14/2023, 09:30:25",0.3.85,50,lumi.54ef44100065d28b
55,"11/14/2023, 09:30:30",0.3.85,34,lumi.54ef44100065d28b
54,"11/14/2023, 09:30:40",0.3.85,23,lumi.54ef44100065d28b
53,"11/14/2023, 09:30:50",0.3.85,32,lumi.54ef44100065d28b
52,"11/14/2023, 09:30:55",0.3.85,42,lumi.54ef44100065d28b
51,"11/14/2023, 09:31:00",0.3.85,26,lumi.54ef44100065d28b
50,"11/14/2023, 09:31:10",0.3.85,19,lumi.54ef44100065d28b
49,"11/14/2023, 09:31:45",0.3.85,33,lumi.54ef44100065d28b
48,"11/14/2023, 09:31:50",0.3.85,40,lumi.54ef44100065d28b
47,"11/14/2023, 09:32:00",0.3.85,31,lumi.54ef44100065d28b
46,"11/14/2023, 09:32:14",0.3.85,47,lumi.54ef44100065d28b
45,"11/14/2023, 09:32:19",0.3.85,31,lumi.54ef44100065d28b
44,"11/14/2023, 09:32:29",0.3.85,41,lumi.54ef44100065d28b
43,"11/14/2023, 09:34:19",0.3.85,31,lumi.54ef44100065d28b
42,"11/14/2023, 09:34:29",0.3.85,23,lumi.54ef44100065d28b
41,"11/14/2023, 09:34:39",0.3.85,43,lumi.54ef44100065d28b
40,"11/14/2023, 09:34:44",0.3.85,27,lumi.54ef44100065d28b
39,"11/14/2023, 09:34:49",0.3.85,40,lumi.54ef44100065d28b
38,"11/14/2023, 09:34:54",0.3.85,29,lumi.54ef44100065d28b
37,"11/14/2023, 09:35:04",0.3.85,36,lumi.54ef44100065d28b
36,"11/14/2023, 09:35:19",0.3.85,44,lumi.54ef44100065d28b
35,"11/14/2023, 09:50:30",0.3.85,36,lumi.54ef44100065d28b
34,"11/14/2023, 09:51:00",0.3.85,43,lumi.54ef44100065d28b
33,"11/14/2023, 09:51:15",0.3.85,52,lumi.54ef44100065d28b
32,"11/14/2023, 09:51:25",0.3.85,43,lumi.54ef44100065d28b
31,"11/14/2023, 09:51:35",0.3.85,57,lumi.54ef44100065d28b
30,"11/14/2023, 09:58:09",0.3.85,49,lumi.54ef44100065d28b
29,"11/14/2023, 09:59:28",0.3.85,42,lumi.54ef44100065d28b
28,"11/14/2023, 09:59:53",0.3.85,40,lumi.54ef44100065d28b
27,"11/14/2023, 10:00:25",0.3.85,35,lumi.54ef44100065d28b
26,"11/14/2023, 10:03:15",0.3.85,43,lumi.54ef44100065d28b
25,"11/14/2023, 10:03:35",0.3.85,52,lumi.54ef44100065d28b
24,"11/14/2023, 10:05:59",0.3.85,62,lumi.54ef44100065d28b
23,"11/14/2023, 10:08:14",0.3.85,52,lumi.54ef44100065d28b
22,"11/14/2023, 10:08:58",0.3.85,64,lumi.54ef44100065d28b
21,"11/14/2023, 10:09:13",0.3.85,54,lumi.54ef44100065d28b
20,"11/14/2023, 10:14:32",0.3.85,47,lumi.54ef44100065d28b
19,"11/14/2023, 10:17:41",0.3.85,59,lumi.54ef44100065d28b
18,"11/14/2023, 10:54:43",0.3.85,65,lumi.54ef44100065d28b
17,"11/14/2023, 11:00:29",0.3.85,71,lumi.54ef44100065d28b
16,"11/14/2023, 11:02:18",0.3.85,59,lumi.54ef44100065d28b
15,"11/14/2023, 11:02:53",0.3.85,70,lumi.54ef44100065d28b
14,"11/14/2023, 11:17:05",0.3.85,83,lumi.54ef44100065d28b
13,"11/14/2023, 11:37:45",0.3.85,98,lumi.54ef44100065d28b
12,"11/14/2023, 11:38:05",0.3.85,119,lumi.54ef44100065d28b
11,"11/14/2023, 11:38:25",0.3.85,146,lumi.54ef44100065d28b
10,"11/14/2023, 11:38:45",0.3.85,178,lumi.54ef44100065d28b
9,"11/14/2023, 11:39:10",0.3.85,216,lumi.54ef44100065d28b
8,"11/14/2023, 11:39:40",0.3.85,258,lumi.54ef44100065d28b
7,"11/14/2023, 11:40:20",0.3.85,307,lumi.54ef44100065d28b
6,"11/14/2023, 11:41:00",0.3.85,369,lumi.54ef44100065d28b
5,"11/14/2023, 11:42:59",0.3.85,435,lumi.54ef44100065d28b
4,"11/14/2023, 11:44:14",0.3.85,503,lumi.54ef44100065d28b
3,"11/14/2023, 11:48:18",0.3.85,566,lumi.54ef44100065d28b
2,"11/14/2023, 11:49:33",0.3.85,588,lumi.54ef44100065d28b
1,"11/14/2023, 11:51:39",0.3.85,638,lumi.54ef44100065d28b
0,"11/14/2023, 11:55:38",0.3.85,722,lumi.54ef44100065d28b
