,timeStamp,resourceId,value,subjectId
204,"11/16/2023, 16:04:20",0.12.85,0.660000,lumi.54ef44100062b6b9
203,"11/16/2023, 16:04:20",0.13.85,650.460022,lumi.54ef44100062b6b9
202,"11/16/2023, 16:10:31",0.12.85,0.660000,lumi.54ef44100062b6b9
201,"11/16/2023, 16:10:31",0.13.85,650.530029,lumi.54ef44100062b6b9
200,"11/16/2023, 16:15:50",0.12.85,0.650000,lumi.54ef44100062b6b9
199,"11/16/2023, 16:15:50",0.13.85,650.580017,lumi.54ef44100062b6b9
198,"11/16/2023, 16:23:13",0.12.85,0.650000,lumi.54ef44100062b6b9
197,"11/16/2023, 16:23:13",0.13.85,650.659973,lumi.54ef44100062b6b9
196,"11/16/2023, 16:29:53",0.12.85,0.660000,lumi.54ef44100062b6b9
195,"11/16/2023, 16:29:53",0.13.85,650.729980,lumi.54ef44100062b6b9
194,"11/16/2023, 16:36:35",0.12.85,0.660000,lumi.54ef44100062b6b9
193,"11/16/2023, 16:36:35",0.13.85,650.799988,lumi.54ef44100062b6b9
192,"11/16/2023, 16:43:23",0.12.85,0.650000,lumi.54ef44100062b6b9
191,"11/16/2023, 16:43:23",0.13.85,650.869995,lumi.54ef44100062b6b9
190,"11/16/2023, 16:51:09",0.12.85,0.660000,lumi.54ef44100062b6b9
189,"11/16/2023, 16:51:09",0.13.85,650.960022,lumi.54ef44100062b6b9
188,"11/16/2023, 16:58:38",0.12.85,0.670000,lumi.54ef44100062b6b9
187,"11/16/2023, 16:58:38",0.13.85,651.030029,lumi.54ef44100062b6b9
186,"11/16/2023, 17:04:53",0.12.85,0.660000,lumi.54ef44100062b6b9
185,"11/16/2023, 17:04:53",0.13.85,651.099976,lumi.54ef44100062b6b9
184,"11/16/2023, 17:10:07",0.13.85,651.159973,lumi.54ef44100062b6b9
183,"11/16/2023, 17:16:32",0.12.85,0.660000,lumi.54ef44100062b6b9
182,"11/16/2023, 17:16:32",0.13.85,651.219971,lumi.54ef44100062b6b9
181,"11/16/2023, 17:23:09",0.12.85,0.670000,lumi.54ef44100062b6b9
