,timeStamp,resourceId,value,subjectId
35,"11/28/2023, 05:24:04",3.1.85,1,lumi.54ef44100051aff9
34,"11/28/2023, 09:57:51",3.1.85,1,lumi.54ef44100051aff9
33,"11/28/2023, 10:05:40",3.1.85,1,lumi.54ef44100051aff9
32,"11/28/2023, 10:06:55",3.1.85,1,lumi.54ef44100051aff9
31,"11/28/2023, 10:15:01",3.1.85,1,lumi.54ef44100051aff9
30,"11/28/2023, 12:25:00",3.1.85,1,lumi.54ef44100051aff9
29,"11/28/2023, 13:18:42",3.1.85,1,lumi.54ef44100051aff9
28,"11/28/2023, 13:47:33",3.1.85,1,lumi.54ef44100051aff9
27,"11/28/2023, 17:24:20",3.1.85,1,lumi.54ef44100051aff9
26,"11/28/2023, 17:26:09",3.1.85,1,lumi.54ef44100051aff9
25,"11/28/2023, 19:19:29",3.1.85,1,lumi.54ef44100051aff9
24,"11/28/2023, 19:20:34",3.1.85,1,lumi.54ef44100051aff9
23,"11/28/2023, 19:29:42",3.1.85,1,lumi.54ef44100051aff9
22,"11/28/2023, 19:33:35",3.1.85,1,lumi.54ef44100051aff9
21,"11/28/2023, 21:10:19",3.1.85,1,lumi.54ef44100051aff9
20,"11/28/2023, 21:12:44",3.1.85,1,lumi.54ef44100051aff9
19,"11/28/2023, 21:15:27",3.1.85,1,lumi.54ef44100051aff9
18,"11/29/2023, 00:10:58",3.1.85,1,lumi.54ef44100051aff9
17,"11/29/2023, 00:13:38",3.1.85,1,lumi.54ef44100051aff9
16,"11/29/2023, 00:18:23",3.1.85,1,lumi.54ef44100051aff9
15,"11/29/2023, 00:20:27",3.1.85,1,lumi.54ef44100051aff9
14,"11/29/2023, 03:30:15",3.1.85,1,lumi.54ef44100051aff9
13,"11/29/2023, 09:43:11",3.1.85,1,lumi.54ef44100051aff9
12,"11/29/2023, 10:06:09",3.1.85,1,lumi.54ef44100051aff9
11,"11/29/2023, 10:19:41",3.1.85,1,lumi.54ef44100051aff9
10,"11/29/2023, 16:11:36",3.1.85,1,lumi.54ef44100051aff9
9,"11/29/2023, 16:12:58",3.1.85,1,lumi.54ef44100051aff9
8,"11/29/2023, 17:12:11",3.1.85,1,lumi.54ef44100051aff9
7,"11/29/2023, 17:13:21",3.1.85,1,lumi.54ef44100051aff9
6,"11/29/2023, 19:58:32",3.1.85,1,lumi.54ef44100051aff9
5,"11/29/2023, 22:12:45",3.1.85,1,lumi.54ef44100051aff9
4,"11/29/2023, 22:26:07",3.1.85,1,lumi.54ef44100051aff9
3,"11/29/2023, 22:29:03",3.1.85,1,lumi.54ef44100051aff9
2,"11/29/2023, 22:55:33",3.1.85,1,lumi.54ef44100051aff9
1,"11/29/2023, 22:56:40",3.1.85,1,lumi.54ef44100051aff9
0,"11/29/2023, 22:58:04",3.1.85,1,lumi.54ef44100051aff9
