,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
122,,0.3.85,"08/22/2023, 01:00:00",0.0,lumi.54ef44100065d1e0,3,"08/22/2023, 00:30:00"
121,"08/22/2023, 00:50:56",0.3.85,"08/22/2023, 01:00:00",0.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 00:30:00"
120,"08/22/2023, 00:50:56",0.3.85,"08/22/2023, 01:00:00",0.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 00:30:00"
119,,0.3.85,"08/22/2023, 01:30:00",132.25,lumi.54ef44100065d1e0,3,"08/22/2023, 01:00:00"
118,"08/22/2023, 01:27:44",0.3.85,"08/22/2023, 01:30:00",241.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 01:00:00"
117,"08/22/2023, 01:26:59",0.3.85,"08/22/2023, 01:30:00",40.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 01:00:00"
116,,0.3.85,"08/22/2023, 02:00:00",121.5,lumi.54ef44100065d1e0,3,"08/22/2023, 01:30:00"
115,"08/22/2023, 01:45:45",0.3.85,"08/22/2023, 02:00:00",243.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 01:30:00"
114,"08/22/2023, 01:47:16",0.3.85,"08/22/2023, 02:00:00",0.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 01:30:00"
113,,0.3.85,"08/22/2023, 03:00:00",68.25,lumi.54ef44100065d1e0,3,"08/22/2023, 02:30:00"
112,"08/22/2023, 02:33:15",0.3.85,"08/22/2023, 03:00:00",105.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 02:30:00"
111,"08/22/2023, 02:37:04",0.3.85,"08/22/2023, 03:00:00",0.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 02:30:00"
110,,0.3.85,"08/22/2023, 05:30:00",0.0,lumi.54ef44100065d1e0,3,"08/22/2023, 05:00:00"
109,"08/22/2023, 05:24:59",0.3.85,"08/22/2023, 05:30:00",0.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 05:00:00"
108,"08/22/2023, 05:24:59",0.3.85,"08/22/2023, 05:30:00",0.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 05:00:00"
107,,0.3.85,"08/22/2023, 07:00:00",4.0,lumi.54ef44100065d1e0,3,"08/22/2023, 06:30:00"
106,"08/22/2023, 06:51:31",0.3.85,"08/22/2023, 07:00:00",8.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 06:30:00"
105,"08/22/2023, 06:51:41",0.3.85,"08/22/2023, 07:00:00",0.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 06:30:00"
104,,0.3.85,"08/22/2023, 08:30:00",6.0,lumi.54ef44100065d1e0,3,"08/22/2023, 08:00:00"
103,"08/22/2023, 08:07:45",0.3.85,"08/22/2023, 08:30:00",6.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 08:00:00"
102,"08/22/2023, 08:07:45",0.3.85,"08/22/2023, 08:30:00",6.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 08:00:00"
101,,0.3.85,"08/22/2023, 11:00:00",6.0,lumi.54ef44100065d1e0,3,"08/22/2023, 10:30:00"
100,"08/22/2023, 10:53:50",0.3.85,"08/22/2023, 11:00:00",6.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 10:30:00"
99,"08/22/2023, 10:53:50",0.3.85,"08/22/2023, 11:00:00",6.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 10:30:00"
98,,0.3.85,"08/22/2023, 11:30:00",23.166667,lumi.54ef44100065d1e0,3,"08/22/2023, 11:00:00"
97,"08/22/2023, 11:26:39",0.3.85,"08/22/2023, 11:30:00",60.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 11:00:00"
96,"08/22/2023, 11:22:26",0.3.85,"08/22/2023, 11:30:00",5.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 11:00:00"
95,,0.3.85,"08/22/2023, 12:00:00",11.75,lumi.54ef44100065d1e0,3,"08/22/2023, 11:30:00"
94,"08/22/2023, 11:48:39",0.3.85,"08/22/2023, 12:00:00",18.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 11:30:00"
93,"08/22/2023, 11:48:51",0.3.85,"08/22/2023, 12:00:00",4.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 11:30:00"
92,,0.3.85,"08/22/2023, 15:00:00",10.333333,lumi.54ef44100065d1e0,3,"08/22/2023, 14:30:00"
91,"08/22/2023, 14:58:56",0.3.85,"08/22/2023, 15:00:00",14.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 14:30:00"
90,"08/22/2023, 14:53:57",0.3.85,"08/22/2023, 15:00:00",5.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 14:30:00"
89,,0.3.85,"08/22/2023, 15:30:00",18.666667,lumi.54ef44100065d1e0,3,"08/22/2023, 15:00:00"
88,"08/22/2023, 15:04:15",0.3.85,"08/22/2023, 15:30:00",48.000000,lumi.54ef44100065d1e0,2,"08/22/2023, 15:00:00"
87,"08/22/2023, 15:03:45",0.3.85,"08/22/2023, 15:30:00",0.000000,lumi.54ef44100065d1e0,1,"08/22/2023, 15:00:00"
86,,0.3.85,"08/22/2023, 16:00:00",0.0,lumi.54ef44100065d1e0,3,"08/22/2023, 15:30:00"
