,timeStamp,resourceId,value,subjectId
11,"10/15/2023, 00:50:39",3.1.85,1,lumi.54ef4410003fe0df
10,"10/15/2023, 00:50:43",3.1.85,0,lumi.54ef4410003fe0df
9,"10/15/2023, 00:54:20",3.1.85,1,lumi.54ef4410003fe0df
8,"10/15/2023, 00:54:23",3.1.85,0,lumi.54ef4410003fe0df
7,"10/15/2023, 00:54:23",3.1.85,1,lumi.54ef4410003fe0df
6,"10/15/2023, 00:54:24",3.1.85,0,lumi.54ef4410003fe0df
5,"10/15/2023, 14:01:17",3.1.85,1,lumi.54ef4410003fe0df
4,"10/15/2023, 14:01:24",3.1.85,0,lumi.54ef4410003fe0df
3,"10/15/2023, 14:05:52",3.1.85,1,lumi.54ef4410003fe0df
2,"10/15/2023, 23:45:59",3.1.85,0,lumi.54ef4410003fe0df
1,"10/15/2023, 23:47:12",3.1.85,1,lumi.54ef4410003fe0df
0,"10/15/2023, 23:47:30",3.1.85,0,lumi.54ef4410003fe0df
