,timeStamp,resourceId,value,subjectId
226,"11/20/2023, 00:17:07",0.3.85,101920,lumi.54ef4410004b13b2
225,"11/20/2023, 00:46:11",0.1.85,2181,lumi.54ef4410004b13b2
224,"11/20/2023, 00:46:11",0.2.85,6640,lumi.54ef4410004b13b2
223,"11/20/2023, 00:46:11",0.3.85,101900,lumi.54ef4410004b13b2
222,"11/20/2023, 00:48:47",0.3.85,101950,lumi.54ef4410004b13b2
221,"11/20/2023, 01:41:04",0.1.85,2160,lumi.54ef4410004b13b2
220,"11/20/2023, 01:41:04",0.2.85,6678,lumi.54ef4410004b13b2
219,"11/20/2023, 01:41:04",0.3.85,101900,lumi.54ef4410004b13b2
218,"11/20/2023, 01:44:02",0.3.85,101980,lumi.54ef4410004b13b2
217,"11/20/2023, 02:35:57",0.1.85,2143,lumi.54ef4410004b13b2
216,"11/20/2023, 02:35:57",0.2.85,6543,lumi.54ef4410004b13b2
215,"11/20/2023, 02:35:57",0.3.85,101900,lumi.54ef4410004b13b2
214,"11/20/2023, 03:18:34",0.3.85,102010,lumi.54ef4410004b13b2
213,"11/20/2023, 03:30:49",0.1.85,2150,lumi.54ef4410004b13b2
212,"11/20/2023, 03:30:49",0.2.85,6556,lumi.54ef4410004b13b2
211,"11/20/2023, 03:30:49",0.3.85,102000,lumi.54ef4410004b13b2
210,"11/20/2023, 04:25:42",0.1.85,2160,lumi.54ef4410004b13b2
209,"11/20/2023, 04:25:42",0.2.85,6619,lumi.54ef4410004b13b2
208,"11/20/2023, 04:25:42",0.3.85,102000,lumi.54ef4410004b13b2
207,"11/20/2023, 04:41:38",0.3.85,102040,lumi.54ef4410004b13b2
206,"11/20/2023, 04:56:05",0.3.85,102070,lumi.54ef4410004b13b2
205,"11/20/2023, 05:07:03",0.3.85,102040,lumi.54ef4410004b13b2
204,"11/20/2023, 05:20:35",0.1.85,2160,lumi.54ef4410004b13b2
203,"11/20/2023, 05:20:35",0.2.85,6659,lumi.54ef4410004b13b2
