,timeStamp,resourceId,value,subjectId
26,"12/02/2023, 13:51:58",13.1.85,1,lumi.158d0008f34328
25,"12/02/2023, 13:52:00",13.1.85,2,lumi.158d0008f34328
24,"12/02/2023, 14:06:39",13.1.85,2,lumi.158d0008f34328
23,"12/02/2023, 14:08:24",13.1.85,2,lumi.158d0008f34328
22,"12/02/2023, 14:28:00",13.1.85,1,lumi.158d0008f34328
21,"12/03/2023, 00:14:50",13.1.85,2,lumi.158d0008f34328
20,"12/03/2023, 00:15:06",13.1.85,1,lumi.158d0008f34328
19,"12/03/2023, 00:16:53",13.1.85,2,lumi.158d0008f34328
18,"12/03/2023, 00:20:58",13.1.85,2,lumi.158d0008f34328
17,"12/03/2023, 00:22:49",13.1.85,2,lumi.158d0008f34328
16,"12/03/2023, 00:25:07",13.1.85,2,lumi.158d0008f34328
15,"12/03/2023, 00:26:46",13.1.85,2,lumi.158d0008f34328
14,"12/03/2023, 00:32:54",13.1.85,2,lumi.158d0008f34328
13,"12/03/2023, 00:34:18",13.1.85,2,lumi.158d0008f34328
12,"12/03/2023, 00:44:26",13.1.85,2,lumi.158d0008f34328
11,"12/03/2023, 00:44:39",13.1.85,2,lumi.158d0008f34328
10,"12/03/2023, 00:46:15",13.1.85,2,lumi.158d0008f34328
9,"12/03/2023, 00:50:00",13.1.85,2,lumi.158d0008f34328
8,"12/03/2023, 00:51:04",13.1.85,2,lumi.158d0008f34328
7,"12/03/2023, 00:51:57",13.1.85,2,lumi.158d0008f34328
6,"12/03/2023, 00:55:03",13.1.85,2,lumi.158d0008f34328
5,"12/03/2023, 00:56:34",13.1.85,2,lumi.158d0008f34328
4,"12/03/2023, 15:20:11",13.1.85,1,lumi.158d0008f34328
3,"12/03/2023, 15:21:18",13.1.85,1,lumi.158d0008f34328
2,"12/03/2023, 15:27:43",13.1.85,1,lumi.158d0008f34328
1,"12/03/2023, 15:33:50",13.1.85,1,lumi.158d0008f34328
0,"12/03/2023, 23:53:48",13.1.85,2,lumi.158d0008f34328
