,timeStamp,resourceId,value,subjectId
89,"12/28/2023, 12:06:20",0.3.85,49,lumi.54ef44100065d1e0
88,"12/28/2023, 12:06:25",0.3.85,95,lumi.54ef44100065d1e0
87,"12/28/2023, 12:06:45",0.3.85,112,lumi.54ef44100065d1e0
86,"12/28/2023, 12:06:55",0.3.85,66,lumi.54ef44100065d1e0
85,"12/28/2023, 12:09:49",0.3.85,90,lumi.54ef44100065d1e0
84,"12/28/2023, 12:09:54",0.3.85,76,lumi.54ef44100065d1e0
83,"12/28/2023, 12:09:59",0.3.85,103,lumi.54ef44100065d1e0
82,"12/28/2023, 12:10:19",0.3.85,65,lumi.54ef44100065d1e0
81,"12/28/2023, 12:19:57",0.3.85,50,lumi.54ef44100065d1e0
80,"12/28/2023, 12:20:07",0.3.85,66,lumi.54ef44100065d1e0
79,"12/28/2023, 12:21:36",0.3.85,60,lumi.54ef44100065d1e0
78,"12/28/2023, 12:35:40",0.3.85,41,lumi.54ef44100065d1e0
77,"12/28/2023, 12:35:50",0.3.85,55,lumi.54ef44100065d1e0
76,"12/28/2023, 12:36:05",0.3.85,66,lumi.54ef44100065d1e0
75,"12/28/2023, 12:36:29",0.3.85,97,lumi.54ef44100065d1e0
74,"12/28/2023, 12:36:54",0.3.85,118,lumi.54ef44100065d1e0
73,"12/28/2023, 12:37:14",0.3.85,76,lumi.54ef44100065d1e0
72,"12/28/2023, 13:07:27",0.3.85,107,lumi.54ef44100065d1e0
71,"12/28/2023, 13:07:56",0.3.85,70,lumi.54ef44100065d1e0
70,"12/28/2023, 13:08:16",0.3.85,49,lumi.54ef44100065d1e0
69,"12/28/2023, 13:08:21",0.3.85,28,lumi.54ef44100065d1e0
68,"12/28/2023, 13:08:26",0.3.85,57,lumi.54ef44100065d1e0
67,"12/28/2023, 13:16:24",0.3.85,62,lumi.54ef44100065d1e0
66,"12/28/2023, 14:11:12",0.3.85,62,lumi.54ef44100065d1e0
65,"12/28/2023, 14:56:32",0.3.85,69,lumi.54ef44100065d1e0
64,"12/28/2023, 14:56:37",0.3.85,56,lumi.54ef44100065d1e0
63,"12/28/2023, 15:06:00",0.3.85,60,lumi.54ef44100065d1e0
62,"12/28/2023, 15:14:25",0.3.85,67,lumi.54ef44100065d1e0
61,"12/28/2023, 15:15:49",0.3.85,218,lumi.54ef44100065d1e0
60,"12/28/2023, 15:20:08",0.3.85,108,lumi.54ef44100065d1e0
59,"12/28/2023, 15:20:13",0.3.85,215,lumi.54ef44100065d1e0
58,"12/28/2023, 15:32:05",0.3.85,86,lumi.54ef44100065d1e0
57,"12/28/2023, 15:32:10",0.3.85,186,lumi.54ef44100065d1e0
56,"12/28/2023, 15:36:54",0.3.85,222,lumi.54ef44100065d1e0
55,"12/28/2023, 15:36:59",0.3.85,91,lumi.54ef44100065d1e0
54,"12/28/2023, 15:37:04",0.3.85,190,lumi.54ef44100065d1e0
53,"12/28/2023, 15:37:09",0.3.85,103,lumi.54ef44100065d1e0
52,"12/28/2023, 15:37:19",0.3.85,76,lumi.54ef44100065d1e0
51,"12/28/2023, 15:37:24",0.3.85,152,lumi.54ef44100065d1e0
50,"12/28/2023, 15:37:29",0.3.85,206,lumi.54ef44100065d1e0
49,"12/28/2023, 15:39:18",0.3.85,83,lumi.54ef44100065d1e0
48,"12/28/2023, 15:39:23",0.3.85,209,lumi.54ef44100065d1e0
47,"12/28/2023, 15:39:28",0.3.85,65,lumi.54ef44100065d1e0
46,"12/28/2023, 15:39:33",0.3.85,198,lumi.54ef44100065d1e0
45,"12/28/2023, 15:41:08",0.3.85,131,lumi.54ef44100065d1e0
44,"12/28/2023, 15:41:13",0.3.85,159,lumi.54ef44100065d1e0
43,"12/28/2023, 15:41:18",0.3.85,86,lumi.54ef44100065d1e0
42,"12/28/2023, 15:41:23",0.3.85,67,lumi.54ef44100065d1e0
41,"12/28/2023, 15:41:28",0.3.85,193,lumi.54ef44100065d1e0
40,"12/28/2023, 15:42:33",0.3.85,160,lumi.54ef44100065d1e0
39,"12/28/2023, 15:42:38",0.3.85,0,lumi.54ef44100065d1e0
38,"12/28/2023, 15:42:52",0.3.85,65,lumi.54ef44100065d1e0
37,"12/28/2023, 15:42:57",0.3.85,54,lumi.54ef44100065d1e0
36,"12/28/2023, 15:43:22",0.3.85,0,lumi.54ef44100065d1e0
35,"12/28/2023, 16:00:48",0.3.85,0,lumi.54ef44100065d1e0
34,"12/28/2023, 16:55:36",0.3.85,0,lumi.54ef44100065d1e0
33,"12/28/2023, 17:50:23",0.3.85,0,lumi.54ef44100065d1e0
32,"12/28/2023, 18:45:11",0.3.85,0,lumi.54ef44100065d1e0
31,"12/28/2023, 19:39:58",0.3.85,0,lumi.54ef44100065d1e0
30,"12/28/2023, 20:34:46",0.3.85,0,lumi.54ef44100065d1e0
29,"12/28/2023, 21:29:33",0.3.85,0,lumi.54ef44100065d1e0
28,"12/28/2023, 21:47:21",0.3.85,52,lumi.54ef44100065d1e0
27,"12/28/2023, 21:47:25",0.3.85,45,lumi.54ef44100065d1e0
26,"12/28/2023, 21:47:35",0.3.85,36,lumi.54ef44100065d1e0
25,"12/28/2023, 21:47:40",0.3.85,47,lumi.54ef44100065d1e0
24,"12/28/2023, 21:48:05",0.3.85,56,lumi.54ef44100065d1e0
23,"12/28/2023, 21:49:10",0.3.85,48,lumi.54ef44100065d1e0
22,"12/28/2023, 21:49:15",0.3.85,35,lumi.54ef44100065d1e0
21,"12/28/2023, 21:49:20",0.3.85,54,lumi.54ef44100065d1e0
20,"12/28/2023, 21:50:20",0.3.85,64,lumi.54ef44100065d1e0
19,"12/28/2023, 21:50:59",0.3.85,36,lumi.54ef44100065d1e0
18,"12/28/2023, 21:51:09",0.3.85,60,lumi.54ef44100065d1e0
17,"12/28/2023, 21:52:04",0.3.85,13,lumi.54ef44100065d1e0
16,"12/28/2023, 21:52:09",0.3.85,61,lumi.54ef44100065d1e0
15,"12/28/2023, 21:53:14",0.3.85,44,lumi.54ef44100065d1e0
14,"12/28/2023, 21:53:19",0.3.85,63,lumi.54ef44100065d1e0
13,"12/28/2023, 22:24:21",0.3.85,63,lumi.54ef44100065d1e0
12,"12/28/2023, 22:53:30",0.3.85,41,lumi.54ef44100065d1e0
11,"12/28/2023, 22:53:40",0.3.85,57,lumi.54ef44100065d1e0
10,"12/28/2023, 22:54:45",0.3.85,100,lumi.54ef44100065d1e0
9,"12/28/2023, 22:55:20",0.3.85,68,lumi.54ef44100065d1e0
8,"12/28/2023, 22:58:09",0.3.85,98,lumi.54ef44100065d1e0
7,"12/28/2023, 22:58:39",0.3.85,67,lumi.54ef44100065d1e0
6,"12/28/2023, 23:02:28",0.3.85,55,lumi.54ef44100065d1e0
5,"12/28/2023, 23:02:33",0.3.85,46,lumi.54ef44100065d1e0
4,"12/28/2023, 23:03:03",0.3.85,55,lumi.54ef44100065d1e0
3,"12/28/2023, 23:03:08",0.3.85,0,lumi.54ef44100065d1e0
2,"12/28/2023, 23:05:42",0.3.85,54,lumi.54ef44100065d1e0
1,"12/28/2023, 23:05:57",0.3.85,0,lumi.54ef44100065d1e0
0,"12/28/2023, 23:19:09",0.3.85,0,lumi.54ef44100065d1e0
