,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
29,,0.2.85,"08/21/2023, 22:00:00",3996.75,lumi.54ef4410004b0fdb,3,"08/21/2023, 21:30:00"
28,,0.3.85,"08/21/2023, 22:00:00",100500.0,lumi.54ef4410004b0fdb,3,"08/21/2023, 21:30:00"
27,,0.1.85,"08/21/2023, 22:00:00",2793.0,lumi.54ef4410004b0fdb,3,"08/21/2023, 21:30:00"
26,"08/21/2023, 21:49:53",0.3.85,"08/21/2023, 22:00:00",100500.000000,lumi.54ef4410004b0fdb,2,"08/21/2023, 21:30:00"
25,"08/21/2023, 21:49:53",0.1.85,"08/21/2023, 22:00:00",2793.000000,lumi.54ef4410004b0fdb,2,"08/21/2023, 21:30:00"
24,"08/21/2023, 21:49:53",0.2.85,"08/21/2023, 22:00:00",4223.000000,lumi.54ef4410004b0fdb,2,"08/21/2023, 21:30:00"
23,"08/21/2023, 21:50:08",0.2.85,"08/21/2023, 22:00:00",3318.000000,lumi.54ef4410004b0fdb,1,"08/21/2023, 21:30:00"
22,"08/21/2023, 21:49:53",0.3.85,"08/21/2023, 22:00:00",100500.000000,lumi.54ef4410004b0fdb,1,"08/21/2023, 21:30:00"
21,"08/21/2023, 21:49:53",0.1.85,"08/21/2023, 22:00:00",2793.000000,lumi.54ef4410004b0fdb,1,"08/21/2023, 21:30:00"
20,,0.1.85,"08/21/2023, 22:30:00",2730.0,lumi.54ef4410004b0fdb,3,"08/21/2023, 22:00:00"
19,"08/21/2023, 22:04:39",0.1.85,"08/21/2023, 22:30:00",2730.000000,lumi.54ef4410004b0fdb,2,"08/21/2023, 22:00:00"
18,"08/21/2023, 22:04:39",0.1.85,"08/21/2023, 22:30:00",2730.000000,lumi.54ef4410004b0fdb,1,"08/21/2023, 22:00:00"
17,,0.2.85,"08/21/2023, 23:00:00",3738.0,lumi.54ef4410004b0fdb,3,"08/21/2023, 22:30:00"
16,,0.3.85,"08/21/2023, 23:00:00",100500.0,lumi.54ef4410004b0fdb,3,"08/21/2023, 22:30:00"
15,,0.1.85,"08/21/2023, 23:00:00",2763.0,lumi.54ef4410004b0fdb,3,"08/21/2023, 22:30:00"
14,"08/21/2023, 22:44:52",0.3.85,"08/21/2023, 23:00:00",100500.000000,lumi.54ef4410004b0fdb,2,"08/21/2023, 22:30:00"
13,"08/21/2023, 22:44:52",0.1.85,"08/21/2023, 23:00:00",2763.000000,lumi.54ef4410004b0fdb,2,"08/21/2023, 22:30:00"
12,"08/21/2023, 22:44:52",0.2.85,"08/21/2023, 23:00:00",3738.000000,lumi.54ef4410004b0fdb,2,"08/21/2023, 22:30:00"
11,"08/21/2023, 22:44:52",0.2.85,"08/21/2023, 23:00:00",3738.000000,lumi.54ef4410004b0fdb,1,"08/21/2023, 22:30:00"
10,"08/21/2023, 22:44:52",0.3.85,"08/21/2023, 23:00:00",100500.000000,lumi.54ef4410004b0fdb,1,"08/21/2023, 22:30:00"
9,"08/21/2023, 22:44:52",0.1.85,"08/21/2023, 23:00:00",2763.000000,lumi.54ef4410004b0fdb,1,"08/21/2023, 22:30:00"
8,,0.2.85,"08/22/2023, 00:00:00",3175.0,lumi.54ef4410004b0fdb,3,"08/21/2023, 23:30:00"
7,,0.3.85,"08/22/2023, 00:00:00",100535.0,lumi.54ef4410004b0fdb,3,"08/21/2023, 23:30:00"
6,,0.1.85,"08/22/2023, 00:00:00",2708.0,lumi.54ef4410004b0fdb,3,"08/21/2023, 23:30:00"
5,"08/21/2023, 23:55:53",0.3.85,"08/22/2023, 00:00:00",100570.000000,lumi.54ef4410004b0fdb,2,"08/21/2023, 23:30:00"
4,"08/21/2023, 23:39:45",0.1.85,"08/22/2023, 00:00:00",2708.000000,lumi.54ef4410004b0fdb,2,"08/21/2023, 23:30:00"
3,"08/21/2023, 23:39:45",0.2.85,"08/22/2023, 00:00:00",3175.000000,lumi.54ef4410004b0fdb,2,"08/21/2023, 23:30:00"
2,"08/21/2023, 23:39:45",0.2.85,"08/22/2023, 00:00:00",3175.000000,lumi.54ef4410004b0fdb,1,"08/21/2023, 23:30:00"
1,"08/21/2023, 23:39:45",0.3.85,"08/22/2023, 00:00:00",100500.000000,lumi.54ef4410004b0fdb,1,"08/21/2023, 23:30:00"
0,"08/21/2023, 23:39:45",0.1.85,"08/22/2023, 00:00:00",2708.000000,lumi.54ef4410004b0fdb,1,"08/21/2023, 23:30:00"
