,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
281,,0.3.85,"09/25/2023, 01:00:00",266.0,lumi.54ef44100065d5b3,3,"09/25/2023, 00:30:00"
280,"09/25/2023, 00:33:37",0.3.85,"09/25/2023, 01:00:00",266.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 00:30:00"
279,"09/25/2023, 00:33:37",0.3.85,"09/25/2023, 01:00:00",266.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 00:30:00"
278,,0.3.85,"09/25/2023, 02:00:00",28.333333,lumi.54ef44100065d5b3,3,"09/25/2023, 01:30:00"
277,"09/25/2023, 01:51:06",0.3.85,"09/25/2023, 02:00:00",52.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 01:30:00"
276,"09/25/2023, 01:53:11",0.3.85,"09/25/2023, 02:00:00",0.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 01:30:00"
275,,0.3.85,"09/25/2023, 03:30:00",18.5,lumi.54ef44100065d5b3,3,"09/25/2023, 03:00:00"
274,"09/25/2023, 03:05:17",0.3.85,"09/25/2023, 03:30:00",37.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 03:00:00"
273,"09/25/2023, 03:07:37",0.3.85,"09/25/2023, 03:30:00",0.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 03:00:00"
272,,0.3.85,"09/25/2023, 05:30:00",0.0,lumi.54ef44100065d5b3,3,"09/25/2023, 05:00:00"
271,"09/25/2023, 05:08:26",0.3.85,"09/25/2023, 05:30:00",0.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 05:00:00"
270,"09/25/2023, 05:08:26",0.3.85,"09/25/2023, 05:30:00",0.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 05:00:00"
269,,0.3.85,"09/25/2023, 07:00:00",11.333333,lumi.54ef44100065d5b3,3,"09/25/2023, 06:30:00"
268,"09/25/2023, 06:58:22",0.3.85,"09/25/2023, 07:00:00",15.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 06:30:00"
267,"09/25/2023, 06:45:58",0.3.85,"09/25/2023, 07:00:00",6.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 06:30:00"
266,,0.3.85,"09/25/2023, 07:30:00",34.0,lumi.54ef44100065d5b3,3,"09/25/2023, 07:00:00"
265,"09/25/2023, 07:15:32",0.3.85,"09/25/2023, 07:30:00",48.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 07:00:00"
264,"09/25/2023, 07:05:53",0.3.85,"09/25/2023, 07:30:00",20.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 07:00:00"
263,,0.3.85,"09/25/2023, 08:00:00",54.333333,lumi.54ef44100065d5b3,3,"09/25/2023, 07:30:00"
262,"09/25/2023, 07:36:35",0.3.85,"09/25/2023, 08:00:00",57.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 07:30:00"
261,"09/25/2023, 07:56:56",0.3.85,"09/25/2023, 08:00:00",49.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 07:30:00"
260,,0.3.85,"09/25/2023, 08:30:00",69.666667,lumi.54ef44100065d5b3,3,"09/25/2023, 08:00:00"
259,"09/25/2023, 08:29:38",0.3.85,"09/25/2023, 08:30:00",82.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 08:00:00"
258,"09/25/2023, 08:14:59",0.3.85,"09/25/2023, 08:30:00",58.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 08:00:00"
257,,0.3.85,"09/25/2023, 09:00:00",96.666667,lumi.54ef44100065d5b3,3,"09/25/2023, 08:30:00"
256,"09/25/2023, 08:58:58",0.3.85,"09/25/2023, 09:00:00",115.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 08:30:00"
255,"09/25/2023, 08:48:17",0.3.85,"09/25/2023, 09:00:00",78.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 08:30:00"
254,,0.3.85,"09/25/2023, 09:30:00",177.75,lumi.54ef44100065d5b3,3,"09/25/2023, 09:00:00"
253,"09/25/2023, 09:15:27",0.3.85,"09/25/2023, 09:30:00",224.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 09:00:00"
252,"09/25/2023, 09:03:33",0.3.85,"09/25/2023, 09:30:00",136.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 09:00:00"
251,,0.3.85,"09/25/2023, 10:00:00",283.666667,lumi.54ef44100065d5b3,3,"09/25/2023, 09:30:00"
250,"09/25/2023, 09:50:26",0.3.85,"09/25/2023, 10:00:00",312.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 09:30:00"
249,"09/25/2023, 09:38:55",0.3.85,"09/25/2023, 10:00:00",265.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 09:30:00"
248,,0.3.85,"09/25/2023, 10:30:00",357.625,lumi.54ef44100065d5b3,3,"09/25/2023, 10:00:00"
247,"09/25/2023, 10:05:05",0.3.85,"09/25/2023, 10:30:00",410.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 10:00:00"
246,"09/25/2023, 10:07:10",0.3.85,"09/25/2023, 10:30:00",322.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 10:00:00"
245,,0.3.85,"09/25/2023, 11:30:00",276.0,lumi.54ef44100065d5b3,3,"09/25/2023, 11:00:00"
244,"09/25/2023, 11:25:20",0.3.85,"09/25/2023, 11:30:00",276.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 11:00:00"
243,"09/25/2023, 11:25:20",0.3.85,"09/25/2023, 11:30:00",276.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 11:00:00"
242,,0.3.85,"09/25/2023, 12:00:00",257.428571,lumi.54ef44100065d5b3,3,"09/25/2023, 11:30:00"
241,"09/25/2023, 11:33:10",0.3.85,"09/25/2023, 12:00:00",320.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 11:30:00"
240,"09/25/2023, 11:48:06",0.3.85,"09/25/2023, 12:00:00",207.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 11:30:00"
239,,0.3.85,"09/25/2023, 12:30:00",175.6,lumi.54ef44100065d5b3,3,"09/25/2023, 12:00:00"
238,"09/25/2023, 12:28:08",0.3.85,"09/25/2023, 12:30:00",199.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 12:00:00"
237,"09/25/2023, 12:07:39",0.3.85,"09/25/2023, 12:30:00",145.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 12:00:00"
236,,0.3.85,"09/25/2023, 13:00:00",218.0,lumi.54ef44100065d5b3,3,"09/25/2023, 12:30:00"
235,"09/25/2023, 12:42:23",0.3.85,"09/25/2023, 13:00:00",267.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 12:30:00"
234,"09/25/2023, 12:44:13",0.3.85,"09/25/2023, 13:00:00",180.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 12:30:00"
233,,0.3.85,"09/25/2023, 13:30:00",266.214286,lumi.54ef44100065d5b3,3,"09/25/2023, 13:00:00"
232,"09/25/2023, 13:20:45",0.3.85,"09/25/2023, 13:30:00",317.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 13:00:00"
231,"09/25/2023, 13:17:11",0.3.85,"09/25/2023, 13:30:00",225.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 13:00:00"
230,,0.3.85,"09/25/2023, 14:00:00",291.0,lumi.54ef44100065d5b3,3,"09/25/2023, 13:30:00"
229,"09/25/2023, 13:58:25",0.3.85,"09/25/2023, 14:00:00",359.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 13:30:00"
228,"09/25/2023, 13:37:56",0.3.85,"09/25/2023, 14:00:00",235.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 13:30:00"
227,,0.3.85,"09/25/2023, 14:30:00",290.285714,lumi.54ef44100065d5b3,3,"09/25/2023, 14:00:00"
226,"09/25/2023, 14:18:03",0.3.85,"09/25/2023, 14:30:00",359.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 14:00:00"
225,"09/25/2023, 14:26:45",0.3.85,"09/25/2023, 14:30:00",187.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 14:00:00"
224,,0.3.85,"09/25/2023, 15:00:00",158.0,lumi.54ef44100065d5b3,3,"09/25/2023, 14:30:00"
223,"09/25/2023, 14:58:52",0.3.85,"09/25/2023, 15:00:00",158.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 14:30:00"
222,"09/25/2023, 14:58:52",0.3.85,"09/25/2023, 15:00:00",158.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 14:30:00"
221,,0.3.85,"09/25/2023, 15:30:00",130.666667,lumi.54ef44100065d5b3,3,"09/25/2023, 15:00:00"
220,"09/25/2023, 15:13:01",0.3.85,"09/25/2023, 15:30:00",145.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 15:00:00"
219,"09/25/2023, 15:21:23",0.3.85,"09/25/2023, 15:30:00",113.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 15:00:00"
218,,0.3.85,"09/25/2023, 16:00:00",87.5,lumi.54ef44100065d5b3,3,"09/25/2023, 15:30:00"
217,"09/25/2023, 15:30:32",0.3.85,"09/25/2023, 16:00:00",95.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 15:30:00"
216,"09/25/2023, 15:39:57",0.3.85,"09/25/2023, 16:00:00",80.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 15:30:00"
215,,0.3.85,"09/25/2023, 16:30:00",81.0,lumi.54ef44100065d5b3,3,"09/25/2023, 16:00:00"
214,"09/25/2023, 16:08:00",0.3.85,"09/25/2023, 16:30:00",81.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 16:00:00"
213,"09/25/2023, 16:08:00",0.3.85,"09/25/2023, 16:30:00",81.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 16:00:00"
212,,0.3.85,"09/25/2023, 17:00:00",53.5,lumi.54ef44100065d5b3,3,"09/25/2023, 16:30:00"
211,"09/25/2023, 16:32:40",0.3.85,"09/25/2023, 17:00:00",67.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 16:30:00"
210,"09/25/2023, 16:42:54",0.3.85,"09/25/2023, 17:00:00",42.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 16:30:00"
209,,0.3.85,"09/25/2023, 17:30:00",31.5,lumi.54ef44100065d5b3,3,"09/25/2023, 17:00:00"
208,"09/25/2023, 17:02:58",0.3.85,"09/25/2023, 17:30:00",42.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 17:00:00"
207,"09/25/2023, 17:28:23",0.3.85,"09/25/2023, 17:30:00",21.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 17:00:00"
206,,0.3.85,"09/25/2023, 18:00:00",10.0,lumi.54ef44100065d5b3,3,"09/25/2023, 17:30:00"
205,"09/25/2023, 17:41:02",0.3.85,"09/25/2023, 18:00:00",14.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 17:30:00"
204,"09/25/2023, 17:59:03",0.3.85,"09/25/2023, 18:00:00",7.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 17:30:00"
203,,0.3.85,"09/25/2023, 19:30:00",126.5,lumi.54ef44100065d5b3,3,"09/25/2023, 19:00:00"
202,"09/25/2023, 19:26:38",0.3.85,"09/25/2023, 19:30:00",228.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 19:00:00"
201,"09/25/2023, 19:26:33",0.3.85,"09/25/2023, 19:30:00",25.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 19:00:00"
200,,0.3.85,"09/25/2023, 20:00:00",207.666667,lumi.54ef44100065d5b3,3,"09/25/2023, 19:30:00"
199,"09/25/2023, 19:47:52",0.3.85,"09/25/2023, 20:00:00",239.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 19:30:00"
198,"09/25/2023, 19:30:38",0.3.85,"09/25/2023, 20:00:00",170.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 19:30:00"
197,,0.3.85,"09/25/2023, 21:00:00",191.0,lumi.54ef44100065d5b3,3,"09/25/2023, 20:30:00"
196,"09/25/2023, 20:58:00",0.3.85,"09/25/2023, 21:00:00",235.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 20:30:00"
195,"09/25/2023, 20:51:36",0.3.85,"09/25/2023, 21:00:00",100.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 20:30:00"
194,,0.3.85,"09/25/2023, 21:30:00",141.0,lumi.54ef44100065d5b3,3,"09/25/2023, 21:00:00"
193,"09/25/2023, 21:01:40",0.3.85,"09/25/2023, 21:30:00",214.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 21:00:00"
192,"09/25/2023, 21:01:35",0.3.85,"09/25/2023, 21:30:00",68.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 21:00:00"
191,,0.3.85,"09/25/2023, 22:00:00",234.0,lumi.54ef44100065d5b3,3,"09/25/2023, 21:30:00"
190,"09/25/2023, 21:37:47",0.3.85,"09/25/2023, 22:00:00",234.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 21:30:00"
189,"09/25/2023, 21:37:47",0.3.85,"09/25/2023, 22:00:00",234.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 21:30:00"
188,,0.3.85,"09/25/2023, 23:00:00",210.0,lumi.54ef44100065d5b3,3,"09/25/2023, 22:30:00"
187,"09/25/2023, 22:32:45",0.3.85,"09/25/2023, 23:00:00",237.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 22:30:00"
186,"09/25/2023, 22:39:56",0.3.85,"09/25/2023, 23:00:00",176.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 22:30:00"
185,,0.3.85,"09/25/2023, 23:30:00",229.0,lumi.54ef44100065d5b3,3,"09/25/2023, 23:00:00"
184,"09/25/2023, 23:27:43",0.3.85,"09/25/2023, 23:30:00",229.000000,lumi.54ef44100065d5b3,2,"09/25/2023, 23:00:00"
183,"09/25/2023, 23:27:43",0.3.85,"09/25/2023, 23:30:00",229.000000,lumi.54ef44100065d5b3,1,"09/25/2023, 23:00:00"
182,,0.3.85,"09/26/2023, 01:30:00",236.0,lumi.54ef44100065d5b3,3,"09/26/2023, 01:00:00"
181,"09/26/2023, 01:17:39",0.3.85,"09/26/2023, 01:30:00",236.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 01:00:00"
180,"09/26/2023, 01:17:39",0.3.85,"09/26/2023, 01:30:00",236.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 01:00:00"
179,,0.3.85,"09/26/2023, 02:30:00",238.0,lumi.54ef44100065d5b3,3,"09/26/2023, 02:00:00"
178,"09/26/2023, 02:12:37",0.3.85,"09/26/2023, 02:30:00",238.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 02:00:00"
177,"09/26/2023, 02:12:37",0.3.85,"09/26/2023, 02:30:00",238.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 02:00:00"
176,,0.3.85,"09/26/2023, 03:00:00",86.5,lumi.54ef44100065d5b3,3,"09/26/2023, 02:30:00"
175,"09/26/2023, 02:30:42",0.3.85,"09/26/2023, 03:00:00",264.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 02:30:00"
174,"09/26/2023, 02:32:12",0.3.85,"09/26/2023, 03:00:00",0.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 02:30:00"
173,,0.3.85,"09/26/2023, 05:00:00",0.0,lumi.54ef44100065d5b3,3,"09/26/2023, 04:30:00"
172,"09/26/2023, 04:57:29",0.3.85,"09/26/2023, 05:00:00",0.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 04:30:00"
171,"09/26/2023, 04:57:29",0.3.85,"09/26/2023, 05:00:00",0.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 04:30:00"
170,,0.3.85,"09/26/2023, 07:00:00",4.0,lumi.54ef44100065d5b3,3,"09/26/2023, 06:30:00"
169,"09/26/2023, 06:47:24",0.3.85,"09/26/2023, 07:00:00",4.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 06:30:00"
168,"09/26/2023, 06:47:24",0.3.85,"09/26/2023, 07:00:00",4.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 06:30:00"
167,,0.3.85,"09/26/2023, 07:30:00",6.0,lumi.54ef44100065d5b3,3,"09/26/2023, 07:00:00"
166,"09/26/2023, 07:05:05",0.3.85,"09/26/2023, 07:30:00",6.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 07:00:00"
165,"09/26/2023, 07:05:05",0.3.85,"09/26/2023, 07:30:00",6.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 07:00:00"
164,,0.3.85,"09/26/2023, 08:00:00",11.5,lumi.54ef44100065d5b3,3,"09/26/2023, 07:30:00"
163,"09/26/2023, 07:54:13",0.3.85,"09/26/2023, 08:00:00",13.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 07:30:00"
162,"09/26/2023, 07:42:22",0.3.85,"09/26/2023, 08:00:00",10.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 07:30:00"
161,,0.3.85,"09/26/2023, 08:30:00",20.0,lumi.54ef44100065d5b3,3,"09/26/2023, 08:00:00"
160,"09/26/2023, 08:01:12",0.3.85,"09/26/2023, 08:30:00",20.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 08:00:00"
159,"09/26/2023, 08:01:12",0.3.85,"09/26/2023, 08:30:00",20.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 08:00:00"
158,,0.3.85,"09/26/2023, 09:30:00",27.0,lumi.54ef44100065d5b3,3,"09/26/2023, 09:00:00"
157,"09/26/2023, 09:17:53",0.3.85,"09/26/2023, 09:30:00",27.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 09:00:00"
156,"09/26/2023, 09:17:53",0.3.85,"09/26/2023, 09:30:00",27.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 09:00:00"
155,,0.3.85,"09/26/2023, 10:00:00",40.142857,lumi.54ef44100065d5b3,3,"09/26/2023, 09:30:00"
154,"09/26/2023, 09:34:19",0.3.85,"09/26/2023, 10:00:00",48.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 09:30:00"
153,"09/26/2023, 09:30:52",0.3.85,"09/26/2023, 10:00:00",34.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 09:30:00"
152,,0.3.85,"09/26/2023, 10:30:00",34.0,lumi.54ef44100065d5b3,3,"09/26/2023, 10:00:00"
151,"09/26/2023, 10:10:31",0.3.85,"09/26/2023, 10:30:00",34.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 10:00:00"
150,"09/26/2023, 10:10:31",0.3.85,"09/26/2023, 10:30:00",34.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 10:00:00"
149,,0.3.85,"09/26/2023, 11:00:00",37.5,lumi.54ef44100065d5b3,3,"09/26/2023, 10:30:00"
148,"09/26/2023, 10:58:54",0.3.85,"09/26/2023, 11:00:00",48.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 10:30:00"
147,"09/26/2023, 10:42:15",0.3.85,"09/26/2023, 11:00:00",27.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 10:30:00"
146,,0.3.85,"09/26/2023, 11:30:00",32.454545,lumi.54ef44100065d5b3,3,"09/26/2023, 11:00:00"
145,"09/26/2023, 11:28:28",0.3.85,"09/26/2023, 11:30:00",48.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 11:00:00"
144,"09/26/2023, 11:19:47",0.3.85,"09/26/2023, 11:30:00",20.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 11:00:00"
143,,0.3.85,"09/26/2023, 12:00:00",54.571429,lumi.54ef44100065d5b3,3,"09/26/2023, 11:30:00"
142,"09/26/2023, 11:52:22",0.3.85,"09/26/2023, 12:00:00",69.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 11:30:00"
141,"09/26/2023, 11:40:33",0.3.85,"09/26/2023, 12:00:00",42.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 11:30:00"
140,,0.3.85,"09/26/2023, 12:30:00",54.0,lumi.54ef44100065d5b3,3,"09/26/2023, 12:00:00"
139,"09/26/2023, 12:21:41",0.3.85,"09/26/2023, 12:30:00",58.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 12:00:00"
138,"09/26/2023, 12:12:30",0.3.85,"09/26/2023, 12:30:00",49.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 12:00:00"
137,,0.3.85,"09/26/2023, 13:00:00",90.75,lumi.54ef44100065d5b3,3,"09/26/2023, 12:30:00"
136,"09/26/2023, 12:54:59",0.3.85,"09/26/2023, 13:00:00",115.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 12:30:00"
135,"09/26/2023, 12:30:55",0.3.85,"09/26/2023, 13:00:00",69.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 12:30:00"
134,,0.3.85,"09/26/2023, 13:30:00",74.166667,lumi.54ef44100065d5b3,3,"09/26/2023, 13:00:00"
133,"09/26/2023, 13:09:22",0.3.85,"09/26/2023, 13:30:00",97.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 13:00:00"
132,"09/26/2023, 13:12:29",0.3.85,"09/26/2023, 13:30:00",61.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 13:00:00"
131,,0.3.85,"09/26/2023, 14:00:00",48.555556,lumi.54ef44100065d5b3,3,"09/26/2023, 13:30:00"
130,"09/26/2023, 13:58:16",0.3.85,"09/26/2023, 14:00:00",70.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 13:30:00"
129,"09/26/2023, 13:50:01",0.3.85,"09/26/2023, 14:00:00",30.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 13:30:00"
128,,0.3.85,"09/26/2023, 14:30:00",71.0,lumi.54ef44100065d5b3,3,"09/26/2023, 14:00:00"
127,"09/26/2023, 14:14:41",0.3.85,"09/26/2023, 14:30:00",83.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 14:00:00"
126,"09/26/2023, 14:09:27",0.3.85,"09/26/2023, 14:30:00",59.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 14:00:00"
125,,0.3.85,"09/26/2023, 15:00:00",95.6,lumi.54ef44100065d5b3,3,"09/26/2023, 14:30:00"
124,"09/26/2023, 14:44:19",0.3.85,"09/26/2023, 15:00:00",116.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 14:30:00"
123,"09/26/2023, 14:35:00",0.3.85,"09/26/2023, 15:00:00",83.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 14:30:00"
122,,0.3.85,"09/26/2023, 15:30:00",82.75,lumi.54ef44100065d5b3,3,"09/26/2023, 15:00:00"
121,"09/26/2023, 15:02:03",0.3.85,"09/26/2023, 15:30:00",101.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 15:00:00"
120,"09/26/2023, 15:16:33",0.3.85,"09/26/2023, 15:30:00",59.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 15:00:00"
119,,0.3.85,"09/26/2023, 16:00:00",82.571429,lumi.54ef44100065d5b3,3,"09/26/2023, 15:30:00"
118,"09/26/2023, 15:30:52",0.3.85,"09/26/2023, 16:00:00",116.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 15:30:00"
117,"09/26/2023, 15:42:41",0.3.85,"09/26/2023, 16:00:00",59.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 15:30:00"
116,,0.3.85,"09/26/2023, 16:30:00",38.75,lumi.54ef44100065d5b3,3,"09/26/2023, 16:00:00"
115,"09/26/2023, 16:00:52",0.3.85,"09/26/2023, 16:30:00",58.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 16:00:00"
114,"09/26/2023, 16:23:35",0.3.85,"09/26/2023, 16:30:00",21.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 16:00:00"
113,,0.3.85,"09/26/2023, 17:00:00",17.5,lumi.54ef44100065d5b3,3,"09/26/2023, 16:30:00"
112,"09/26/2023, 16:51:58",0.3.85,"09/26/2023, 17:00:00",21.000000,lumi.54ef44100065d5b3,2,"09/26/2023, 16:30:00"
111,"09/26/2023, 16:59:19",0.3.85,"09/26/2023, 17:00:00",14.000000,lumi.54ef44100065d5b3,1,"09/26/2023, 16:30:00"
110,,0.3.85,"09/26/2023, 18:00:00",7.0,lumi.54ef44100065d5b3,3,"09/26/2023, 17:30:00"
