,timeStamp,resourceId,value,subjectId
86,"09/27/2023, 12:06:10",0.3.85,127,lumi.54ef44100065d5b3
85,"09/27/2023, 12:07:47",0.3.85,122,lumi.54ef44100065d5b3
84,"09/27/2023, 12:11:12",0.3.85,103,lumi.54ef44100065d5b3
83,"09/27/2023, 12:14:36",0.3.85,123,lumi.54ef44100065d5b3
82,"09/27/2023, 12:16:31",0.3.85,145,lumi.54ef44100065d5b3
81,"09/27/2023, 12:22:51",0.3.85,171,lumi.54ef44100065d5b3
80,"09/27/2023, 12:29:50",0.3.85,202,lumi.54ef44100065d5b3
79,"09/27/2023, 12:32:10",0.3.85,238,lumi.54ef44100065d5b3
78,"09/27/2023, 13:01:08",0.3.85,212,lumi.54ef44100065d5b3
77,"09/27/2023, 13:06:40",0.3.85,202,lumi.54ef44100065d5b3
76,"09/27/2023, 13:35:47",0.3.85,171,lumi.54ef44100065d5b3
75,"09/27/2023, 13:53:51",0.3.85,145,lumi.54ef44100065d5b3
74,"09/27/2023, 13:56:06",0.3.85,142,lumi.54ef44100065d5b3
73,"09/27/2023, 14:03:12",0.3.85,123,lumi.54ef44100065d5b3
72,"09/27/2023, 14:15:22",0.3.85,104,lumi.54ef44100065d5b3
71,"09/27/2023, 14:17:21",0.3.85,88,lumi.54ef44100065d5b3
70,"09/27/2023, 14:20:06",0.3.85,74,lumi.54ef44100065d5b3
69,"09/27/2023, 14:24:36",0.3.85,62,lumi.54ef44100065d5b3
68,"09/27/2023, 14:28:41",0.3.85,52,lumi.54ef44100065d5b3
67,"09/27/2023, 14:36:20",0.3.85,62,lumi.54ef44100065d5b3
66,"09/27/2023, 14:40:55",0.3.85,74,lumi.54ef44100065d5b3
65,"09/27/2023, 14:43:15",0.3.85,88,lumi.54ef44100065d5b3
64,"09/27/2023, 14:47:14",0.3.85,104,lumi.54ef44100065d5b3
63,"09/27/2023, 14:51:04",0.3.85,114,lumi.54ef44100065d5b3
62,"09/27/2023, 15:14:25",0.3.85,88,lumi.54ef44100065d5b3
61,"09/27/2023, 15:16:54",0.3.85,74,lumi.54ef44100065d5b3
60,"09/27/2023, 15:46:02",0.3.85,75,lumi.54ef44100065d5b3
59,"09/27/2023, 15:49:09",0.3.85,88,lumi.54ef44100065d5b3
58,"09/27/2023, 15:51:24",0.3.85,104,lumi.54ef44100065d5b3
57,"09/27/2023, 15:52:49",0.3.85,124,lumi.54ef44100065d5b3
56,"09/27/2023, 15:53:29",0.3.85,150,lumi.54ef44100065d5b3
55,"09/27/2023, 15:55:58",0.3.85,193,lumi.54ef44100065d5b3
54,"09/27/2023, 15:57:38",0.3.85,244,lumi.54ef44100065d5b3
53,"09/27/2023, 15:58:08",0.3.85,304,lumi.54ef44100065d5b3
52,"09/27/2023, 15:58:28",0.3.85,245,lumi.54ef44100065d5b3
51,"09/27/2023, 15:58:43",0.3.85,313,lumi.54ef44100065d5b3
50,"09/27/2023, 15:59:53",0.3.85,236,lumi.54ef44100065d5b3
49,"09/27/2023, 16:00:53",0.3.85,199,lumi.54ef44100065d5b3
48,"09/27/2023, 16:02:48",0.3.85,272,lumi.54ef44100065d5b3
47,"09/27/2023, 16:03:13",0.3.85,228,lumi.54ef44100065d5b3
46,"09/27/2023, 16:03:38",0.3.85,285,lumi.54ef44100065d5b3
45,"09/27/2023, 16:03:48",0.3.85,338,lumi.54ef44100065d5b3
44,"09/27/2023, 16:04:03",0.3.85,255,lumi.54ef44100065d5b3
43,"09/27/2023, 16:04:08",0.3.85,213,lumi.54ef44100065d5b3
42,"09/27/2023, 16:04:48",0.3.85,267,lumi.54ef44100065d5b3
41,"09/27/2023, 16:04:58",0.3.85,317,lumi.54ef44100065d5b3
40,"09/27/2023, 16:05:13",0.3.85,262,lumi.54ef44100065d5b3
39,"09/27/2023, 16:05:28",0.3.85,209,lumi.54ef44100065d5b3
38,"09/27/2023, 16:05:38",0.3.85,250,lumi.54ef44100065d5b3
37,"09/27/2023, 16:06:03",0.3.85,201,lumi.54ef44100065d5b3
36,"09/27/2023, 16:07:43",0.3.85,253,lumi.54ef44100065d5b3
35,"09/27/2023, 16:07:53",0.3.85,214,lumi.54ef44100065d5b3
34,"09/27/2023, 16:09:47",0.3.85,278,lumi.54ef44100065d5b3
33,"09/27/2023, 16:09:58",0.3.85,332,lumi.54ef44100065d5b3
32,"09/27/2023, 16:11:22",0.3.85,277,lumi.54ef44100065d5b3
31,"09/27/2023, 16:11:37",0.3.85,223,lumi.54ef44100065d5b3
30,"09/27/2023, 16:11:47",0.3.85,274,lumi.54ef44100065d5b3
29,"09/27/2023, 16:12:17",0.3.85,219,lumi.54ef44100065d5b3
28,"09/27/2023, 16:12:52",0.3.85,267,lumi.54ef44100065d5b3
27,"09/27/2023, 16:13:17",0.3.85,335,lumi.54ef44100065d5b3
26,"09/27/2023, 16:13:32",0.3.85,257,lumi.54ef44100065d5b3
25,"09/27/2023, 16:13:37",0.3.85,204,lumi.54ef44100065d5b3
24,"09/27/2023, 16:15:02",0.3.85,167,lumi.54ef44100065d5b3
23,"09/27/2023, 16:16:42",0.3.85,140,lumi.54ef44100065d5b3
22,"09/27/2023, 16:18:12",0.3.85,118,lumi.54ef44100065d5b3
21,"09/27/2023, 16:30:21",0.3.85,100,lumi.54ef44100065d5b3
20,"09/27/2023, 16:35:06",0.3.85,84,lumi.54ef44100065d5b3
19,"09/27/2023, 16:40:30",0.3.85,71,lumi.54ef44100065d5b3
18,"09/27/2023, 16:41:00",0.3.85,71,lumi.54ef44100065d5b3
17,"09/27/2023, 16:43:27",0.3.85,60,lumi.54ef44100065d5b3
16,"09/27/2023, 16:45:32",0.3.85,50,lumi.54ef44100065d5b3
15,"09/27/2023, 16:55:41",0.3.85,43,lumi.54ef44100065d5b3
14,"09/27/2023, 16:58:21",0.3.85,36,lumi.54ef44100065d5b3
13,"09/27/2023, 17:02:06",0.3.85,29,lumi.54ef44100065d5b3
12,"09/27/2023, 17:23:25",0.3.85,22,lumi.54ef44100065d5b3
11,"09/27/2023, 17:30:55",0.3.85,15,lumi.54ef44100065d5b3
10,"09/27/2023, 17:35:59",0.3.85,12,lumi.54ef44100065d5b3
9,"09/27/2023, 17:42:36",0.3.85,8,lumi.54ef44100065d5b3
8,"09/27/2023, 18:21:38",0.3.85,1,lumi.54ef44100065d5b3
7,"09/27/2023, 18:30:57",0.3.85,0,lumi.54ef44100065d5b3
6,"09/27/2023, 19:14:06",0.3.85,219,lumi.54ef44100065d5b3
5,"09/27/2023, 19:25:55",0.3.85,240,lumi.54ef44100065d5b3
4,"09/27/2023, 20:20:53",0.3.85,236,lumi.54ef44100065d5b3
3,"09/27/2023, 20:21:05",0.3.85,177,lumi.54ef44100065d5b3
2,"09/27/2023, 20:21:10",0.3.85,215,lumi.54ef44100065d5b3
1,"09/27/2023, 21:15:51",0.3.85,235,lumi.54ef44100065d5b3
0,"09/27/2023, 23:05:47",0.3.85,239,lumi.54ef44100065d5b3
