,timeStamp,resourceId,value,subjectId
299,"09/29/2023, 15:51:13",3.1.85,1,lumi.54ef44100051b2bd
298,"09/29/2023, 15:52:13",3.1.85,1,lumi.54ef44100051b2bd
297,"09/29/2023, 15:53:17",3.1.85,1,lumi.54ef44100051b2bd
296,"09/29/2023, 15:55:06",3.1.85,1,lumi.54ef44100051b2bd
295,"09/29/2023, 15:58:30",3.1.85,1,lumi.54ef44100051b2bd
294,"09/29/2023, 15:59:33",3.1.85,1,lumi.54ef44100051b2bd
293,"09/29/2023, 16:00:31",3.1.85,1,lumi.54ef44100051b2bd
292,"09/29/2023, 16:01:35",3.1.85,1,lumi.54ef44100051b2bd
291,"09/29/2023, 16:03:36",3.1.85,1,lumi.54ef44100051b2bd
290,"09/29/2023, 16:05:38",3.1.85,1,lumi.54ef44100051b2bd
289,"09/29/2023, 16:11:46",3.1.85,1,lumi.54ef44100051b2bd
288,"09/29/2023, 16:15:39",3.1.85,1,lumi.54ef44100051b2bd
287,"09/29/2023, 16:16:59",3.1.85,1,lumi.54ef44100051b2bd
286,"09/29/2023, 16:18:32",3.1.85,1,lumi.54ef44100051b2bd
285,"09/29/2023, 16:20:14",3.1.85,1,lumi.54ef44100051b2bd
284,"09/29/2023, 16:21:54",3.1.85,1,lumi.54ef44100051b2bd
283,"09/29/2023, 16:26:32",3.1.85,1,lumi.54ef44100051b2bd
282,"09/29/2023, 16:28:32",3.1.85,1,lumi.54ef44100051b2bd
281,"09/29/2023, 16:29:30",3.1.85,1,lumi.54ef44100051b2bd
280,"09/29/2023, 16:30:34",3.1.85,1,lumi.54ef44100051b2bd
279,"09/29/2023, 16:31:47",3.1.85,1,lumi.54ef44100051b2bd
278,"09/29/2023, 16:34:47",3.1.85,1,lumi.54ef44100051b2bd
277,"09/29/2023, 16:35:45",3.1.85,1,lumi.54ef44100051b2bd
276,"09/29/2023, 16:36:50",3.1.85,1,lumi.54ef44100051b2bd
275,"09/29/2023, 16:37:53",3.1.85,1,lumi.54ef44100051b2bd
274,"09/29/2023, 16:39:25",3.1.85,1,lumi.54ef44100051b2bd
273,"09/29/2023, 16:40:32",3.1.85,1,lumi.54ef44100051b2bd
272,"09/29/2023, 16:43:35",3.1.85,1,lumi.54ef44100051b2bd
271,"09/29/2023, 16:45:21",3.1.85,1,lumi.54ef44100051b2bd
270,"09/29/2023, 16:48:45",3.1.85,1,lumi.54ef44100051b2bd
269,"09/29/2023, 16:59:35",3.1.85,1,lumi.54ef44100051b2bd
268,"09/29/2023, 17:04:12",3.1.85,1,lumi.54ef44100051b2bd
267,"09/29/2023, 17:05:11",3.1.85,1,lumi.54ef44100051b2bd
266,"09/29/2023, 17:06:11",3.1.85,1,lumi.54ef44100051b2bd
265,"09/29/2023, 17:07:10",3.1.85,1,lumi.54ef44100051b2bd
264,"09/29/2023, 17:09:12",3.1.85,1,lumi.54ef44100051b2bd
263,"09/29/2023, 17:10:30",3.1.85,1,lumi.54ef44100051b2bd
262,"09/29/2023, 17:13:38",3.1.85,1,lumi.54ef44100051b2bd
261,"09/29/2023, 17:15:07",3.1.85,1,lumi.54ef44100051b2bd
260,"09/29/2023, 17:16:41",3.1.85,1,lumi.54ef44100051b2bd
259,"09/29/2023, 17:18:20",3.1.85,1,lumi.54ef44100051b2bd
258,"09/29/2023, 17:19:26",3.1.85,1,lumi.54ef44100051b2bd
257,"09/29/2023, 17:20:35",3.1.85,1,lumi.54ef44100051b2bd
256,"09/29/2023, 17:21:57",3.1.85,1,lumi.54ef44100051b2bd
255,"09/29/2023, 17:23:07",3.1.85,1,lumi.54ef44100051b2bd
254,"09/29/2023, 17:24:05",3.1.85,1,lumi.54ef44100051b2bd
253,"09/29/2023, 17:25:04",3.1.85,1,lumi.54ef44100051b2bd
252,"09/29/2023, 17:26:28",3.1.85,1,lumi.54ef44100051b2bd
251,"09/29/2023, 17:27:40",3.1.85,1,lumi.54ef44100051b2bd
250,"09/29/2023, 17:28:45",3.1.85,1,lumi.54ef44100051b2bd
249,"09/29/2023, 17:29:43",3.1.85,1,lumi.54ef44100051b2bd
248,"09/29/2023, 17:30:43",3.1.85,1,lumi.54ef44100051b2bd
247,"09/29/2023, 17:31:41",3.1.85,1,lumi.54ef44100051b2bd
246,"09/29/2023, 17:32:48",3.1.85,1,lumi.54ef44100051b2bd
245,"09/29/2023, 17:33:58",3.1.85,1,lumi.54ef44100051b2bd
244,"09/29/2023, 17:36:15",3.1.85,1,lumi.54ef44100051b2bd
243,"09/29/2023, 17:37:14",3.1.85,1,lumi.54ef44100051b2bd
