,timeStamp,resourceId,value,subjectId
11,"11/02/2023, 03:03:28",3.1.85,1,lumi.54ef4410003fe1c9
10,"11/02/2023, 03:03:32",3.1.85,0,lumi.54ef4410003fe1c9
9,"11/02/2023, 18:47:11",3.1.85,1,lumi.54ef4410003fe1c9
8,"11/02/2023, 18:47:14",3.1.85,0,lumi.54ef4410003fe1c9
7,"11/02/2023, 19:33:29",3.1.85,1,lumi.54ef4410003fe1c9
6,"11/02/2023, 19:33:36",3.1.85,0,lumi.54ef4410003fe1c9
5,"11/02/2023, 22:05:43",3.1.85,1,lumi.54ef4410003fe1c9
4,"11/02/2023, 22:05:45",3.1.85,0,lumi.54ef4410003fe1c9
3,"11/03/2023, 14:18:45",3.1.85,1,lumi.54ef4410003fe1c9
2,"11/03/2023, 14:18:51",3.1.85,0,lumi.54ef4410003fe1c9
1,"11/03/2023, 18:01:57",3.1.85,1,lumi.54ef4410003fe1c9
0,"11/03/2023, 18:02:00",3.1.85,0,lumi.54ef4410003fe1c9
