,timeStamp,resourceId,value,subjectId
16,"12/22/2023, 01:27:59",13.1.85,1,lumi.158d0008f34290
15,"12/22/2023, 05:10:23",13.1.85,1,lumi.158d0008f34290
14,"12/22/2023, 09:34:01",13.1.85,1,lumi.158d0008f34290
13,"12/22/2023, 11:22:14",13.1.85,1,lumi.158d0008f34290
12,"12/22/2023, 12:59:00",13.1.85,1,lumi.158d0008f34290
11,"12/22/2023, 15:38:42",13.1.85,1,lumi.158d0008f34290
10,"12/23/2023, 01:26:54",13.1.85,1,lumi.158d0008f34290
9,"12/23/2023, 01:33:21",13.1.85,1,lumi.158d0008f34290
8,"12/23/2023, 01:52:30",13.1.85,1,lumi.158d0008f34290
7,"12/23/2023, 03:00:22",13.1.85,1,lumi.158d0008f34290
6,"12/23/2023, 09:29:49",13.1.85,1,lumi.158d0008f34290
5,"12/23/2023, 09:38:50",13.1.85,1,lumi.158d0008f34290
4,"12/23/2023, 17:05:46",13.1.85,1,lumi.158d0008f34290
3,"12/23/2023, 20:35:29",13.1.85,1,lumi.158d0008f34290
2,"12/23/2023, 21:30:02",13.1.85,1,lumi.158d0008f34290
1,"12/23/2023, 23:20:03",13.1.85,1,lumi.158d0008f34290
0,"12/23/2023, 23:48:16",13.1.85,1,lumi.158d0008f34290
