,timeStamp,resourceId,value,subjectId
9,"12/26/2023, 00:03:00",3.1.85,1,lumi.54ef4410003fe55a
8,"12/26/2023, 00:03:02",3.1.85,0,lumi.54ef4410003fe55a
7,"12/26/2023, 00:13:32",3.1.85,1,lumi.54ef4410003fe55a
6,"12/26/2023, 00:13:34",3.1.85,0,lumi.54ef4410003fe55a
5,"12/26/2023, 13:43:31",3.1.85,1,lumi.54ef4410003fe55a
4,"12/26/2023, 13:43:33",3.1.85,0,lumi.54ef4410003fe55a
3,"12/26/2023, 13:45:59",3.1.85,1,lumi.54ef4410003fe55a
2,"12/26/2023, 13:46:04",3.1.85,0,lumi.54ef4410003fe55a
1,"12/26/2023, 13:46:04",3.1.85,1,lumi.54ef4410003fe55a
0,"12/26/2023, 13:46:04",3.1.85,0,lumi.54ef4410003fe55a
