,timeStamp,resourceId,value,subjectId
257,"01/07/2024, 00:17:02",0.1.85,2111,lumi.54ef4410004b0fdb
256,"01/07/2024, 00:17:02",0.2.85,3181,lumi.54ef4410004b0fdb
255,"01/07/2024, 00:17:02",0.3.85,102200,lumi.54ef4410004b0fdb
254,"01/07/2024, 00:19:48",0.3.85,102250,lumi.54ef4410004b0fdb
253,"01/07/2024, 01:11:54",0.1.85,2102,lumi.54ef4410004b0fdb
252,"01/07/2024, 01:11:54",0.2.85,3137,lumi.54ef4410004b0fdb
251,"01/07/2024, 01:11:54",0.3.85,102200,lumi.54ef4410004b0fdb
250,"01/07/2024, 01:34:46",0.3.85,102280,lumi.54ef4410004b0fdb
249,"01/07/2024, 02:06:45",0.1.85,2117,lumi.54ef4410004b0fdb
248,"01/07/2024, 02:06:45",0.2.85,3112,lumi.54ef4410004b0fdb
247,"01/07/2024, 02:06:45",0.3.85,102200,lumi.54ef4410004b0fdb
246,"01/07/2024, 02:16:18",0.3.85,102310,lumi.54ef4410004b0fdb
245,"01/07/2024, 02:54:51",0.3.85,102340,lumi.54ef4410004b0fdb
244,"01/07/2024, 03:01:37",0.1.85,2117,lumi.54ef4410004b0fdb
243,"01/07/2024, 03:01:37",0.2.85,3093,lumi.54ef4410004b0fdb
242,"01/07/2024, 03:01:37",0.3.85,102300,lumi.54ef4410004b0fdb
241,"01/07/2024, 03:56:29",0.1.85,2108,lumi.54ef4410004b0fdb
240,"01/07/2024, 03:56:29",0.2.85,3059,lumi.54ef4410004b0fdb
239,"01/07/2024, 03:56:29",0.3.85,102300,lumi.54ef4410004b0fdb
238,"01/07/2024, 04:51:21",0.1.85,2098,lumi.54ef4410004b0fdb
237,"01/07/2024, 04:51:21",0.2.85,3029,lumi.54ef4410004b0fdb
236,"01/07/2024, 04:51:21",0.3.85,102300,lumi.54ef4410004b0fdb
235,"01/07/2024, 05:46:12",0.1.85,2117,lumi.54ef4410004b0fdb
234,"01/07/2024, 05:46:12",0.2.85,3006,lumi.54ef4410004b0fdb
233,"01/07/2024, 05:46:12",0.3.85,102300,lumi.54ef4410004b0fdb
232,"01/07/2024, 06:05:59",0.3.85,102370,lumi.54ef4410004b0fdb
231,"01/07/2024, 06:35:57",0.3.85,102400,lumi.54ef4410004b0fdb
230,"01/07/2024, 06:41:04",0.1.85,2114,lumi.54ef4410004b0fdb
229,"01/07/2024, 06:41:04",0.2.85,2980,lumi.54ef4410004b0fdb
228,"01/07/2024, 06:41:04",0.3.85,102400,lumi.54ef4410004b0fdb
227,"01/07/2024, 06:48:14",0.3.85,102430,lumi.54ef4410004b0fdb
226,"01/07/2024, 07:10:43",0.3.85,102460,lumi.54ef4410004b0fdb
225,"01/07/2024, 07:35:56",0.1.85,2099,lumi.54ef4410004b0fdb
224,"01/07/2024, 07:35:56",0.2.85,2944,lumi.54ef4410004b0fdb
223,"01/07/2024, 07:35:56",0.3.85,102400,lumi.54ef4410004b0fdb
222,"01/07/2024, 07:37:48",0.3.85,102490,lumi.54ef4410004b0fdb
221,"01/07/2024, 08:02:28",0.3.85,102520,lumi.54ef4410004b0fdb
220,"01/07/2024, 08:12:31",0.3.85,102550,lumi.54ef4410004b0fdb
219,"01/07/2024, 08:25:30",0.3.85,102580,lumi.54ef4410004b0fdb
218,"01/07/2024, 08:30:48",0.1.85,2108,lumi.54ef4410004b0fdb
217,"01/07/2024, 08:30:48",0.2.85,2930,lumi.54ef4410004b0fdb
216,"01/07/2024, 08:30:48",0.3.85,102500,lumi.54ef4410004b0fdb
215,"01/07/2024, 08:40:09",0.3.85,102610,lumi.54ef4410004b0fdb
214,"01/07/2024, 08:49:39",0.3.85,102640,lumi.54ef4410004b0fdb
213,"01/07/2024, 09:08:50",0.3.85,102670,lumi.54ef4410004b0fdb
212,"01/07/2024, 09:25:39",0.1.85,2111,lumi.54ef4410004b0fdb
211,"01/07/2024, 09:25:39",0.2.85,2864,lumi.54ef4410004b0fdb
210,"01/07/2024, 09:25:39",0.3.85,102600,lumi.54ef4410004b0fdb
209,"01/07/2024, 09:36:28",0.3.85,102700,lumi.54ef4410004b0fdb
208,"01/07/2024, 10:20:31",0.1.85,2145,lumi.54ef4410004b0fdb
207,"01/07/2024, 10:20:31",0.2.85,2825,lumi.54ef4410004b0fdb
206,"01/07/2024, 10:20:31",0.3.85,102700,lumi.54ef4410004b0fdb
205,"01/07/2024, 11:15:23",0.1.85,2142,lumi.54ef4410004b0fdb
204,"01/07/2024, 11:15:23",0.2.85,2772,lumi.54ef4410004b0fdb
203,"01/07/2024, 11:15:23",0.3.85,102600,lumi.54ef4410004b0fdb
202,"01/07/2024, 11:25:17",0.3.85,102670,lumi.54ef4410004b0fdb
201,"01/07/2024, 11:44:50",0.3.85,102640,lumi.54ef4410004b0fdb
200,"01/07/2024, 12:01:39",0.3.85,102610,lumi.54ef4410004b0fdb
199,"01/07/2024, 12:06:57",0.3.85,102640,lumi.54ef4410004b0fdb
198,"01/07/2024, 12:10:15",0.1.85,2126,lumi.54ef4410004b0fdb
197,"01/07/2024, 12:10:15",0.2.85,2736,lumi.54ef4410004b0fdb
196,"01/07/2024, 12:10:15",0.3.85,102600,lumi.54ef4410004b0fdb
195,"01/07/2024, 12:17:46",0.3.85,102610,lumi.54ef4410004b0fdb
194,"01/07/2024, 12:30:01",0.2.85,2698,lumi.54ef4410004b0fdb
193,"01/07/2024, 12:48:18",0.3.85,102580,lumi.54ef4410004b0fdb
192,"01/07/2024, 13:05:07",0.1.85,2138,lumi.54ef4410004b0fdb
191,"01/07/2024, 13:05:07",0.2.85,2703,lumi.54ef4410004b0fdb
190,"01/07/2024, 13:05:07",0.3.85,102500,lumi.54ef4410004b0fdb
189,"01/07/2024, 13:08:38",0.3.85,102550,lumi.54ef4410004b0fdb
188,"01/07/2024, 13:42:37",0.3.85,102520,lumi.54ef4410004b0fdb
187,"01/07/2024, 13:45:00",0.3.85,102550,lumi.54ef4410004b0fdb
186,"01/07/2024, 13:59:59",0.1.85,2126,lumi.54ef4410004b0fdb
185,"01/07/2024, 13:59:59",0.2.85,2680,lumi.54ef4410004b0fdb
184,"01/07/2024, 13:59:59",0.3.85,102500,lumi.54ef4410004b0fdb
183,"01/07/2024, 14:11:21",0.3.85,102520,lumi.54ef4410004b0fdb
182,"01/07/2024, 14:15:44",0.3.85,102550,lumi.54ef4410004b0fdb
181,"01/07/2024, 14:54:51",0.1.85,2098,lumi.54ef4410004b0fdb
180,"01/07/2024, 14:54:51",0.2.85,2626,lumi.54ef4410004b0fdb
179,"01/07/2024, 14:54:51",0.3.85,102500,lumi.54ef4410004b0fdb
178,"01/07/2024, 15:48:59",0.3.85,102580,lumi.54ef4410004b0fdb
177,"01/07/2024, 15:49:43",0.1.85,2112,lumi.54ef4410004b0fdb
176,"01/07/2024, 15:49:43",0.2.85,2619,lumi.54ef4410004b0fdb
175,"01/07/2024, 15:49:43",0.3.85,102500,lumi.54ef4410004b0fdb
174,"01/07/2024, 16:42:23",0.3.85,102610,lumi.54ef4410004b0fdb
173,"01/07/2024, 16:44:34",0.1.85,2146,lumi.54ef4410004b0fdb
172,"01/07/2024, 16:44:34",0.2.85,2646,lumi.54ef4410004b0fdb
171,"01/07/2024, 16:44:34",0.3.85,102500,lumi.54ef4410004b0fdb
170,"01/07/2024, 17:03:15",0.3.85,102580,lumi.54ef4410004b0fdb
169,"01/07/2024, 17:07:05",0.3.85,102610,lumi.54ef4410004b0fdb
168,"01/07/2024, 17:39:26",0.1.85,2150,lumi.54ef4410004b0fdb
167,"01/07/2024, 17:39:26",0.2.85,2711,lumi.54ef4410004b0fdb
166,"01/07/2024, 17:39:26",0.3.85,102600,lumi.54ef4410004b0fdb
165,"01/07/2024, 17:45:41",0.3.85,102640,lumi.54ef4410004b0fdb
164,"01/07/2024, 18:04:09",0.3.85,102670,lumi.54ef4410004b0fdb
163,"01/07/2024, 18:34:18",0.1.85,2146,lumi.54ef4410004b0fdb
162,"01/07/2024, 18:34:18",0.2.85,2743,lumi.54ef4410004b0fdb
161,"01/07/2024, 18:34:18",0.3.85,102600,lumi.54ef4410004b0fdb
160,"01/07/2024, 18:35:15",0.3.85,102700,lumi.54ef4410004b0fdb
159,"01/07/2024, 19:05:14",0.2.85,3397,lumi.54ef4410004b0fdb
158,"01/07/2024, 19:07:14",0.1.85,2189,lumi.54ef4410004b0fdb
157,"01/07/2024, 19:15:06",0.3.85,102730,lumi.54ef4410004b0fdb
156,"01/07/2024, 19:29:10",0.1.85,2142,lumi.54ef4410004b0fdb
155,"01/07/2024, 19:29:10",0.2.85,3367,lumi.54ef4410004b0fdb
154,"01/07/2024, 19:29:10",0.3.85,102700,lumi.54ef4410004b0fdb
153,"01/07/2024, 19:30:40",0.1.85,2138,lumi.54ef4410004b0fdb
152,"01/07/2024, 20:03:01",0.3.85,102760,lumi.54ef4410004b0fdb
151,"01/07/2024, 20:20:56",0.3.85,102730,lumi.54ef4410004b0fdb
150,"01/07/2024, 20:21:50",0.3.85,102760,lumi.54ef4410004b0fdb
149,"01/07/2024, 20:24:02",0.1.85,2115,lumi.54ef4410004b0fdb
148,"01/07/2024, 20:24:02",0.2.85,3136,lumi.54ef4410004b0fdb
147,"01/07/2024, 20:24:02",0.3.85,102700,lumi.54ef4410004b0fdb
146,"01/07/2024, 21:14:20",0.3.85,102790,lumi.54ef4410004b0fdb
145,"01/07/2024, 21:18:54",0.1.85,2120,lumi.54ef4410004b0fdb
144,"01/07/2024, 21:18:54",0.2.85,3537,lumi.54ef4410004b0fdb
143,"01/07/2024, 21:18:54",0.3.85,102700,lumi.54ef4410004b0fdb
142,"01/07/2024, 21:28:26",0.3.85,102820,lumi.54ef4410004b0fdb
141,"01/07/2024, 21:46:43",0.3.85,102790,lumi.54ef4410004b0fdb
140,"01/07/2024, 22:13:46",0.1.85,2125,lumi.54ef4410004b0fdb
139,"01/07/2024, 22:13:46",0.2.85,3785,lumi.54ef4410004b0fdb
138,"01/07/2024, 22:13:46",0.3.85,102700,lumi.54ef4410004b0fdb
137,"01/07/2024, 22:37:33",0.3.85,102760,lumi.54ef4410004b0fdb
136,"01/07/2024, 22:43:46",0.3.85,102790,lumi.54ef4410004b0fdb
135,"01/07/2024, 23:08:38",0.1.85,2106,lumi.54ef4410004b0fdb
134,"01/07/2024, 23:08:38",0.2.85,3881,lumi.54ef4410004b0fdb
133,"01/07/2024, 23:08:38",0.3.85,102700,lumi.54ef4410004b0fdb
132,"01/07/2024, 23:28:13",0.2.85,4013,lumi.54ef4410004b0fdb
131,"01/08/2024, 00:03:30",0.1.85,2112,lumi.54ef4410004b0fdb
130,"01/08/2024, 00:03:30",0.2.85,3809,lumi.54ef4410004b0fdb
129,"01/08/2024, 00:03:30",0.3.85,102800,lumi.54ef4410004b0fdb
128,"01/08/2024, 00:30:13",0.3.85,102820,lumi.54ef4410004b0fdb
127,"01/08/2024, 00:32:02",0.3.85,102790,lumi.54ef4410004b0fdb
126,"01/08/2024, 00:58:21",0.1.85,2111,lumi.54ef4410004b0fdb
125,"01/08/2024, 00:58:21",0.2.85,3655,lumi.54ef4410004b0fdb
124,"01/08/2024, 00:58:21",0.3.85,102800,lumi.54ef4410004b0fdb
123,"01/08/2024, 01:47:01",0.3.85,102820,lumi.54ef4410004b0fdb
122,"01/08/2024, 01:53:13",0.1.85,2117,lumi.54ef4410004b0fdb
121,"01/08/2024, 01:53:13",0.2.85,3441,lumi.54ef4410004b0fdb
120,"01/08/2024, 01:53:13",0.3.85,102800,lumi.54ef4410004b0fdb
119,"01/08/2024, 01:58:22",0.2.85,3409,lumi.54ef4410004b0fdb
118,"01/08/2024, 02:14:49",0.3.85,102850,lumi.54ef4410004b0fdb
117,"01/08/2024, 02:48:05",0.1.85,2104,lumi.54ef4410004b0fdb
116,"01/08/2024, 02:48:05",0.2.85,3235,lumi.54ef4410004b0fdb
115,"01/08/2024, 02:48:05",0.3.85,102800,lumi.54ef4410004b0fdb
114,"01/08/2024, 03:07:18",0.3.85,102820,lumi.54ef4410004b0fdb
113,"01/08/2024, 03:15:32",0.3.85,102850,lumi.54ef4410004b0fdb
112,"01/08/2024, 03:21:12",0.3.85,102820,lumi.54ef4410004b0fdb
111,"01/08/2024, 03:42:02",0.3.85,102790,lumi.54ef4410004b0fdb
110,"01/08/2024, 03:42:57",0.1.85,2104,lumi.54ef4410004b0fdb
109,"01/08/2024, 03:42:57",0.2.85,3109,lumi.54ef4410004b0fdb
108,"01/08/2024, 03:42:57",0.3.85,102800,lumi.54ef4410004b0fdb
107,"01/08/2024, 04:37:49",0.1.85,2122,lumi.54ef4410004b0fdb
