,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,0.13.85,"08/10/2023, 03:00:00",58.24,lumi.54ef44100062b5af,0,"08/10/2023, 00:00:00"
13,,0.13.85,"08/10/2023, 08:00:00",3.08,lumi.54ef44100062b5af,0,"08/10/2023, 03:30:00"
12,,0.13.85,"08/10/2023, 13:00:00",3.0999999999999996,lumi.54ef44100062b5af,0,"08/10/2023, 08:30:00"
11,,0.13.85,"08/10/2023, 18:00:00",3.14,lumi.54ef44100062b5af,0,"08/10/2023, 13:30:00"
10,,0.13.85,"08/10/2023, 23:00:00",3.2,lumi.54ef44100062b5af,0,"08/10/2023, 18:30:00"
9,,0.13.85,"08/11/2023, 04:00:00",3.1999999999999997,lumi.54ef44100062b5af,0,"08/10/2023, 23:30:00"
8,,0.13.85,"08/11/2023, 09:00:00",3.2,lumi.54ef44100062b5af,0,"08/11/2023, 04:30:00"
7,,0.13.85,"08/11/2023, 14:00:00",3.1,lumi.54ef44100062b5af,0,"08/11/2023, 09:30:00"
6,,0.13.85,"08/11/2023, 19:00:00",3.14,lumi.54ef44100062b5af,0,"08/11/2023, 14:30:00"
5,,0.13.85,"08/12/2023, 00:00:00",3.21,lumi.54ef44100062b5af,0,"08/11/2023, 19:30:00"
4,,0.13.85,"08/12/2023, 05:00:00",3.1300000000000003,lumi.54ef44100062b5af,0,"08/12/2023, 00:30:00"
3,,0.13.85,"08/12/2023, 10:00:00",3.1199999999999997,lumi.54ef44100062b5af,0,"08/12/2023, 05:30:00"
2,,0.13.85,"08/12/2023, 15:00:00",3.0900000000000003,lumi.54ef44100062b5af,0,"08/12/2023, 10:30:00"
1,,0.13.85,"08/12/2023, 20:00:00",3.18,lumi.54ef44100062b5af,0,"08/12/2023, 15:30:00"
0,,0.13.85,"08/13/2023, 00:00:00",2.61,lumi.54ef44100062b5af,0,"08/12/2023, 20:30:00"
