,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
14,,13.1.85,"08/28/2023, 01:00:00","{""1"":1,""2"":1}",lumi.158d0008f3a544,4,"08/28/2023, 00:30:00"
13,,13.1.85,"08/28/2023, 01:30:00","{""1"":1,""2"":1}",lumi.158d0008f3a544,4,"08/28/2023, 01:00:00"
12,,13.1.85,"08/28/2023, 02:00:00","{""1"":1}",lumi.158d0008f3a544,4,"08/28/2023, 01:30:00"
11,,13.1.85,"08/28/2023, 12:00:00","{""1"":2}",lumi.158d0008f3a544,4,"08/28/2023, 11:30:00"
10,,13.1.85,"08/28/2023, 19:30:00","{""1"":1}",lumi.158d0008f3a544,4,"08/28/2023, 19:00:00"
9,,13.1.85,"08/28/2023, 20:00:00","{""1"":1,""2"":1}",lumi.158d0008f3a544,4,"08/28/2023, 19:30:00"
8,,13.1.85,"08/28/2023, 20:30:00","{""1"":1}",lumi.158d0008f3a544,4,"08/28/2023, 20:00:00"
7,,13.1.85,"08/28/2023, 21:00:00","{""1"":4,""2"":1}",lumi.158d0008f3a544,4,"08/28/2023, 20:30:00"
6,,13.1.85,"08/29/2023, 10:30:00","{""1"":1}",lumi.158d0008f3a544,4,"08/29/2023, 10:00:00"
5,,13.1.85,"08/29/2023, 17:00:00","{""1"":3,""2"":1}",lumi.158d0008f3a544,4,"08/29/2023, 16:30:00"
4,,13.1.85,"08/29/2023, 21:00:00","{""1"":3}",lumi.158d0008f3a544,4,"08/29/2023, 20:30:00"
3,,13.1.85,"08/29/2023, 22:30:00","{""1"":1}",lumi.158d0008f3a544,4,"08/29/2023, 22:00:00"
2,,13.1.85,"08/29/2023, 23:00:00","{""1"":1}",lumi.158d0008f3a544,4,"08/29/2023, 22:30:00"
1,,13.1.85,"08/30/2023, 19:00:00","{""1"":2,""2"":1}",lumi.158d0008f3a544,4,"08/30/2023, 18:30:00"
0,,13.1.85,"08/30/2023, 23:00:00","{""1"":1,""2"":1}",lumi.158d0008f3a544,4,"08/30/2023, 22:30:00"
