,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
167,,0.3.85,"09/07/2023, 00:30:00",234.0,lumi.54ef44100065d189,3,"09/07/2023, 00:00:00"
166,"09/07/2023, 00:14:01",0.3.85,"09/07/2023, 00:30:00",294.000000,lumi.54ef44100065d189,2,"09/07/2023, 00:00:00"
165,"09/07/2023, 00:13:56",0.3.85,"09/07/2023, 00:30:00",121.000000,lumi.54ef44100065d189,1,"09/07/2023, 00:00:00"
164,,0.3.85,"09/07/2023, 01:00:00",212.833333,lumi.54ef44100065d189,3,"09/07/2023, 00:30:00"
163,"09/07/2023, 00:33:43",0.3.85,"09/07/2023, 01:00:00",334.000000,lumi.54ef44100065d189,2,"09/07/2023, 00:30:00"
162,"09/07/2023, 00:46:50",0.3.85,"09/07/2023, 01:00:00",57.000000,lumi.54ef44100065d189,1,"09/07/2023, 00:30:00"
161,,0.3.85,"09/07/2023, 01:30:00",292.666667,lumi.54ef44100065d189,3,"09/07/2023, 01:00:00"
160,"09/07/2023, 01:00:30",0.3.85,"09/07/2023, 01:30:00",324.000000,lumi.54ef44100065d189,2,"09/07/2023, 01:00:00"
159,"09/07/2023, 01:00:00",0.3.85,"09/07/2023, 01:30:00",275.000000,lumi.54ef44100065d189,1,"09/07/2023, 01:00:00"
158,,0.3.85,"09/07/2023, 02:00:00",258.0,lumi.54ef44100065d189,3,"09/07/2023, 01:30:00"
157,"09/07/2023, 01:39:07",0.3.85,"09/07/2023, 02:00:00",317.000000,lumi.54ef44100065d189,2,"09/07/2023, 01:30:00"
156,"09/07/2023, 01:38:52",0.3.85,"09/07/2023, 02:00:00",172.000000,lumi.54ef44100065d189,1,"09/07/2023, 01:30:00"
155,,0.3.85,"09/07/2023, 02:30:00",105.461538,lumi.54ef44100065d189,3,"09/07/2023, 02:00:00"
154,"09/07/2023, 02:24:02",0.3.85,"09/07/2023, 02:30:00",319.000000,lumi.54ef44100065d189,2,"09/07/2023, 02:00:00"
153,"09/07/2023, 02:23:00",0.3.85,"09/07/2023, 02:30:00",0.000000,lumi.54ef44100065d189,1,"09/07/2023, 02:00:00"
152,,0.3.85,"09/07/2023, 03:30:00",17.5,lumi.54ef44100065d189,3,"09/07/2023, 03:00:00"
151,"09/07/2023, 03:00:13",0.3.85,"09/07/2023, 03:30:00",32.000000,lumi.54ef44100065d189,2,"09/07/2023, 03:00:00"
150,"09/07/2023, 03:03:37",0.3.85,"09/07/2023, 03:30:00",0.000000,lumi.54ef44100065d189,1,"09/07/2023, 03:00:00"
149,,0.3.85,"09/07/2023, 04:00:00",23.0,lumi.54ef44100065d189,3,"09/07/2023, 03:30:00"
148,"09/07/2023, 03:55:58",0.3.85,"09/07/2023, 04:00:00",39.000000,lumi.54ef44100065d189,2,"09/07/2023, 03:30:00"
147,"09/07/2023, 03:54:44",0.3.85,"09/07/2023, 04:00:00",6.000000,lumi.54ef44100065d189,1,"09/07/2023, 03:30:00"
146,,0.3.85,"09/07/2023, 04:30:00",8.8,lumi.54ef44100065d189,3,"09/07/2023, 04:00:00"
145,"09/07/2023, 04:00:32",0.3.85,"09/07/2023, 04:30:00",31.000000,lumi.54ef44100065d189,2,"09/07/2023, 04:00:00"
144,"09/07/2023, 04:06:10",0.3.85,"09/07/2023, 04:30:00",0.000000,lumi.54ef44100065d189,1,"09/07/2023, 04:00:00"
143,,0.3.85,"09/07/2023, 05:00:00",102.75,lumi.54ef44100065d189,3,"09/07/2023, 04:30:00"
142,"09/07/2023, 04:34:51",0.3.85,"09/07/2023, 05:00:00",319.000000,lumi.54ef44100065d189,2,"09/07/2023, 04:30:00"
141,"09/07/2023, 04:36:55",0.3.85,"09/07/2023, 05:00:00",0.000000,lumi.54ef44100065d189,1,"09/07/2023, 04:30:00"
140,,0.3.85,"09/07/2023, 07:00:00",0.0,lumi.54ef44100065d189,3,"09/07/2023, 06:30:00"
139,"09/07/2023, 06:56:30",0.3.85,"09/07/2023, 07:00:00",0.000000,lumi.54ef44100065d189,2,"09/07/2023, 06:30:00"
138,"09/07/2023, 06:56:30",0.3.85,"09/07/2023, 07:00:00",0.000000,lumi.54ef44100065d189,1,"09/07/2023, 06:30:00"
137,,0.3.85,"09/07/2023, 10:00:00",8.0,lumi.54ef44100065d189,3,"09/07/2023, 09:30:00"
136,"09/07/2023, 09:30:28",0.3.85,"09/07/2023, 10:00:00",8.000000,lumi.54ef44100065d189,2,"09/07/2023, 09:30:00"
135,"09/07/2023, 09:30:28",0.3.85,"09/07/2023, 10:00:00",8.000000,lumi.54ef44100065d189,1,"09/07/2023, 09:30:00"
134,,0.3.85,"09/07/2023, 10:30:00",34.75,lumi.54ef44100065d189,3,"09/07/2023, 10:00:00"
133,"09/07/2023, 10:28:53",0.3.85,"09/07/2023, 10:30:00",45.000000,lumi.54ef44100065d189,2,"09/07/2023, 10:00:00"
132,"09/07/2023, 10:28:58",0.3.85,"09/07/2023, 10:30:00",17.000000,lumi.54ef44100065d189,1,"09/07/2023, 10:00:00"
131,,0.3.85,"09/07/2023, 11:00:00",21.75,lumi.54ef44100065d189,3,"09/07/2023, 10:30:00"
130,"09/07/2023, 10:30:18",0.3.85,"09/07/2023, 11:00:00",37.000000,lumi.54ef44100065d189,2,"09/07/2023, 10:30:00"
129,"09/07/2023, 10:32:12",0.3.85,"09/07/2023, 11:00:00",5.000000,lumi.54ef44100065d189,1,"09/07/2023, 10:30:00"
128,,0.3.85,"09/07/2023, 11:30:00",15.0,lumi.54ef44100065d189,3,"09/07/2023, 11:00:00"
127,"09/07/2023, 11:29:57",0.3.85,"09/07/2023, 11:30:00",18.000000,lumi.54ef44100065d189,2,"09/07/2023, 11:00:00"
