,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
299,,0.1.85,"09/23/2023, 23:30:00",2243.5,lumi.54ef4410004b0ef6,3,"09/23/2023, 23:00:00"
298,,0.2.85,"09/23/2023, 23:30:00",4147.0,lumi.54ef4410004b0ef6,3,"09/23/2023, 23:00:00"
297,,0.3.85,"09/23/2023, 23:30:00",101930.0,lumi.54ef4410004b0ef6,3,"09/23/2023, 23:00:00"
296,"09/23/2023, 23:27:19",0.2.85,"09/23/2023, 23:30:00",4147.000000,lumi.54ef4410004b0ef6,2,"09/23/2023, 23:00:00"
295,"09/23/2023, 23:12:44",0.3.85,"09/23/2023, 23:30:00",101960.000000,lumi.54ef4410004b0ef6,2,"09/23/2023, 23:00:00"
294,"09/23/2023, 23:26:57",0.1.85,"09/23/2023, 23:30:00",2244.000000,lumi.54ef4410004b0ef6,2,"09/23/2023, 23:00:00"
293,"09/23/2023, 23:27:19",0.1.85,"09/23/2023, 23:30:00",2243.000000,lumi.54ef4410004b0ef6,1,"09/23/2023, 23:00:00"
292,"09/23/2023, 23:27:19",0.3.85,"09/23/2023, 23:30:00",101900.000000,lumi.54ef4410004b0ef6,1,"09/23/2023, 23:00:00"
291,"09/23/2023, 23:27:19",0.2.85,"09/23/2023, 23:30:00",4147.000000,lumi.54ef4410004b0ef6,1,"09/23/2023, 23:00:00"
290,,0.3.85,"09/24/2023, 00:00:00",101930.0,lumi.54ef4410004b0ef6,3,"09/23/2023, 23:30:00"
289,"09/23/2023, 23:41:02",0.3.85,"09/24/2023, 00:00:00",101930.000000,lumi.54ef4410004b0ef6,2,"09/23/2023, 23:30:00"
288,"09/23/2023, 23:41:02",0.3.85,"09/24/2023, 00:00:00",101930.000000,lumi.54ef4410004b0ef6,1,"09/23/2023, 23:30:00"
287,,0.1.85,"09/24/2023, 00:30:00",2189.5,lumi.54ef4410004b0ef6,3,"09/24/2023, 00:00:00"
286,,0.2.85,"09/24/2023, 00:30:00",4627.5,lumi.54ef4410004b0ef6,3,"09/24/2023, 00:00:00"
285,,0.3.85,"09/24/2023, 00:30:00",101930.0,lumi.54ef4410004b0ef6,3,"09/24/2023, 00:00:00"
284,"09/24/2023, 00:25:45",0.2.85,"09/24/2023, 00:30:00",4928.000000,lumi.54ef4410004b0ef6,2,"09/24/2023, 00:00:00"
283,"09/24/2023, 00:02:33",0.3.85,"09/24/2023, 00:30:00",101960.000000,lumi.54ef4410004b0ef6,2,"09/24/2023, 00:00:00"
282,"09/24/2023, 00:14:03",0.1.85,"09/24/2023, 00:30:00",2192.000000,lumi.54ef4410004b0ef6,2,"09/24/2023, 00:00:00"
281,"09/24/2023, 00:22:04",0.1.85,"09/24/2023, 00:30:00",2187.000000,lumi.54ef4410004b0ef6,1,"09/24/2023, 00:00:00"
280,"09/24/2023, 00:22:04",0.3.85,"09/24/2023, 00:30:00",101900.000000,lumi.54ef4410004b0ef6,1,"09/24/2023, 00:00:00"
279,"09/24/2023, 00:22:04",0.2.85,"09/24/2023, 00:30:00",4327.000000,lumi.54ef4410004b0ef6,1,"09/24/2023, 00:00:00"
278,,0.2.85,"09/24/2023, 01:00:00",4637.25,lumi.54ef4410004b0ef6,3,"09/24/2023, 00:30:00"
277,,0.3.85,"09/24/2023, 01:00:00",101930.0,lumi.54ef4410004b0ef6,3,"09/24/2023, 00:30:00"
276,"09/24/2023, 00:45:05",0.2.85,"09/24/2023, 01:00:00",4945.000000,lumi.54ef4410004b0ef6,2,"09/24/2023, 00:30:00"
275,"09/24/2023, 00:38:42",0.3.85,"09/24/2023, 01:00:00",101930.000000,lumi.54ef4410004b0ef6,2,"09/24/2023, 00:30:00"
274,"09/24/2023, 00:38:42",0.3.85,"09/24/2023, 01:00:00",101930.000000,lumi.54ef4410004b0ef6,1,"09/24/2023, 00:30:00"
273,"09/24/2023, 00:31:02",0.2.85,"09/24/2023, 01:00:00",4323.000000,lumi.54ef4410004b0ef6,1,"09/24/2023, 00:30:00"
