,timeStamp,resourceId,value,subjectId
74,"10/29/2023, 00:02:24",0.12.85,0.65,lumi.54ef44100062b5af
73,"10/29/2023, 00:02:24",0.13.85,4003.39,lumi.54ef44100062b5af
72,"10/29/2023, 00:08:20",0.12.85,0.81,lumi.54ef44100062b5af
71,"10/29/2023, 00:14:47",0.12.85,0.69,lumi.54ef44100062b5af
70,"10/29/2023, 00:14:47",0.13.85,4003.39,lumi.54ef44100062b5af
69,"10/29/2023, 00:22:21",0.12.85,0.57,lumi.54ef44100062b5af
68,"10/29/2023, 00:22:21",0.13.85,4003.42,lumi.54ef44100062b5af
67,"10/29/2023, 00:29:18",0.12.85,0.61,lumi.54ef44100062b5af
66,"10/29/2023, 00:29:18",0.13.85,4003.43,lumi.54ef44100062b5af
65,"10/29/2023, 00:34:26",0.12.85,0.65,lumi.54ef44100062b5af
64,"10/29/2023, 00:34:26",0.13.85,4003.46,lumi.54ef44100062b5af
63,"10/29/2023, 00:40:41",0.12.85,0.69,lumi.54ef44100062b5af
62,"10/29/2023, 00:40:41",0.13.85,4003.51,lumi.54ef44100062b5af
61,"10/29/2023, 00:45:56",0.12.85,0.55,lumi.54ef44100062b5af
60,"10/29/2023, 00:45:56",0.13.85,4003.51,lumi.54ef44100062b5af
59,"10/29/2023, 00:51:10",0.12.85,0.48,lumi.54ef44100062b5af
58,"10/29/2023, 00:51:10",0.13.85,4003.52,lumi.54ef44100062b5af
57,"10/29/2023, 00:58:38",0.12.85,0.76,lumi.54ef44100062b5af
56,"10/29/2023, 00:58:38",0.13.85,4003.57,lumi.54ef44100062b5af
55,"10/29/2023, 01:06:14",0.12.85,1.80,lumi.54ef44100062b5af
54,"10/29/2023, 01:06:14",0.13.85,4003.61,lumi.54ef44100062b5af
53,"10/29/2023, 01:11:47",0.12.85,0.58,lumi.54ef44100062b5af
52,"10/29/2023, 01:11:47",0.13.85,4003.63,lumi.54ef44100062b5af
51,"10/29/2023, 01:18:56",0.12.85,0.53,lumi.54ef44100062b5af
50,"10/29/2023, 01:18:56",0.13.85,4003.63,lumi.54ef44100062b5af
49,"10/29/2023, 01:25:53",0.12.85,0.51,lumi.54ef44100062b5af
48,"10/29/2023, 01:25:53",0.13.85,4003.65,lumi.54ef44100062b5af
47,"10/29/2023, 01:31:13",0.12.85,0.61,lumi.54ef44100062b5af
46,"10/29/2023, 01:31:13",0.13.85,4003.66,lumi.54ef44100062b5af
45,"10/29/2023, 01:36:44",0.12.85,0.74,lumi.54ef44100062b5af
44,"10/29/2023, 01:36:44",0.13.85,4003.69,lumi.54ef44100062b5af
43,"10/29/2023, 01:42:22",0.12.85,0.68,lumi.54ef44100062b5af
42,"10/29/2023, 01:42:22",0.13.85,4003.74,lumi.54ef44100062b5af
41,"10/29/2023, 01:49:27",0.12.85,0.82,lumi.54ef44100062b5af
40,"10/29/2023, 01:49:27",0.13.85,4003.77,lumi.54ef44100062b5af
39,"10/29/2023, 01:54:49",0.12.85,0.68,lumi.54ef44100062b5af
38,"10/29/2023, 01:54:49",0.13.85,4003.78,lumi.54ef44100062b5af
37,"10/29/2023, 02:00:05",0.12.85,0.63,lumi.54ef44100062b5af
36,"10/29/2023, 02:00:05",0.13.85,4003.78,lumi.54ef44100062b5af
35,"10/29/2023, 02:05:17",0.12.85,0.76,lumi.54ef44100062b5af
34,"10/29/2023, 02:05:17",0.13.85,4003.82,lumi.54ef44100062b5af
33,"10/29/2023, 02:11:13",0.12.85,0.67,lumi.54ef44100062b5af
32,"10/29/2023, 02:11:13",0.13.85,4003.84,lumi.54ef44100062b5af
31,"10/29/2023, 02:16:36",0.12.85,0.60,lumi.54ef44100062b5af
30,"10/29/2023, 02:16:36",0.13.85,4003.92,lumi.54ef44100062b5af
29,"10/29/2023, 02:22:55",0.12.85,0.70,lumi.54ef44100062b5af
28,"10/29/2023, 02:22:55",0.13.85,4003.93,lumi.54ef44100062b5af
27,"10/29/2023, 02:28:13",0.12.85,0.75,lumi.54ef44100062b5af
26,"10/29/2023, 02:28:13",0.13.85,4003.98,lumi.54ef44100062b5af
25,"10/29/2023, 02:34:07",0.12.85,0.63,lumi.54ef44100062b5af
24,"10/29/2023, 02:34:07",0.13.85,4004.02,lumi.54ef44100062b5af
23,"10/29/2023, 02:40:11",0.12.85,0.86,lumi.54ef44100062b5af
22,"10/29/2023, 02:40:11",0.13.85,4004.04,lumi.54ef44100062b5af
21,"10/29/2023, 02:47:39",0.12.85,1.07,lumi.54ef44100062b5af
20,"10/29/2023, 02:47:39",0.13.85,4004.10,lumi.54ef44100062b5af
19,"10/29/2023, 02:54:51",0.12.85,0.93,lumi.54ef44100062b5af
18,"10/29/2023, 02:54:51",0.13.85,4004.13,lumi.54ef44100062b5af
17,"10/29/2023, 03:01:57",0.12.85,0.62,lumi.54ef44100062b5af
16,"10/29/2023, 03:01:57",0.13.85,4004.14,lumi.54ef44100062b5af
15,"10/29/2023, 03:09:37",0.12.85,0.46,lumi.54ef44100062b5af
14,"10/29/2023, 03:09:37",0.13.85,4004.17,lumi.54ef44100062b5af
13,"10/29/2023, 03:15:24",0.12.85,0.77,lumi.54ef44100062b5af
12,"10/29/2023, 03:15:24",0.13.85,4004.17,lumi.54ef44100062b5af
11,"10/29/2023, 03:23:23",0.12.85,0.53,lumi.54ef44100062b5af
10,"10/29/2023, 03:23:23",0.13.85,4004.20,lumi.54ef44100062b5af
9,"10/29/2023, 03:30:13",0.12.85,0.70,lumi.54ef44100062b5af
