,timeStamp,resourceId,value,subjectId
37,"11/02/2023, 02:57:45",3.1.85,1,lumi.54ef4410003fd665
36,"11/02/2023, 02:57:49",3.1.85,0,lumi.54ef4410003fd665
35,"11/02/2023, 10:25:09",3.1.85,1,lumi.54ef4410003fd665
34,"11/02/2023, 10:25:18",3.1.85,0,lumi.54ef4410003fd665
33,"11/02/2023, 10:26:11",3.1.85,1,lumi.54ef4410003fd665
32,"11/02/2023, 10:26:14",3.1.85,0,lumi.54ef4410003fd665
31,"11/02/2023, 11:49:23",3.1.85,1,lumi.54ef4410003fd665
30,"11/02/2023, 11:49:28",3.1.85,0,lumi.54ef4410003fd665
29,"11/02/2023, 12:12:20",3.1.85,1,lumi.54ef4410003fd665
28,"11/02/2023, 12:12:23",3.1.85,0,lumi.54ef4410003fd665
27,"11/02/2023, 13:37:49",3.1.85,1,lumi.54ef4410003fd665
26,"11/02/2023, 13:37:53",3.1.85,0,lumi.54ef4410003fd665
25,"11/02/2023, 18:41:13",3.1.85,1,lumi.54ef4410003fd665
24,"11/02/2023, 18:41:17",3.1.85,0,lumi.54ef4410003fd665
23,"11/02/2023, 22:21:05",3.1.85,1,lumi.54ef4410003fd665
22,"11/02/2023, 22:21:09",3.1.85,0,lumi.54ef4410003fd665
21,"11/03/2023, 14:21:55",3.1.85,1,lumi.54ef4410003fd665
20,"11/03/2023, 14:22:00",3.1.85,0,lumi.54ef4410003fd665
19,"11/03/2023, 14:22:45",3.1.85,1,lumi.54ef4410003fd665
18,"11/03/2023, 14:22:49",3.1.85,0,lumi.54ef4410003fd665
17,"11/03/2023, 14:23:40",3.1.85,1,lumi.54ef4410003fd665
16,"11/03/2023, 14:23:50",3.1.85,0,lumi.54ef4410003fd665
15,"11/03/2023, 14:25:59",3.1.85,1,lumi.54ef4410003fd665
14,"11/03/2023, 14:26:02",3.1.85,0,lumi.54ef4410003fd665
13,"11/03/2023, 14:34:21",3.1.85,1,lumi.54ef4410003fd665
12,"11/03/2023, 14:34:25",3.1.85,0,lumi.54ef4410003fd665
11,"11/03/2023, 17:58:47",3.1.85,1,lumi.54ef4410003fd665
10,"11/03/2023, 17:58:52",3.1.85,0,lumi.54ef4410003fd665
9,"11/03/2023, 18:50:32",3.1.85,1,lumi.54ef4410003fd665
8,"11/03/2023, 18:50:35",3.1.85,0,lumi.54ef4410003fd665
7,"11/03/2023, 20:07:00",3.1.85,1,lumi.54ef4410003fd665
6,"11/03/2023, 20:07:04",3.1.85,0,lumi.54ef4410003fd665
5,"11/03/2023, 21:13:19",3.1.85,1,lumi.54ef4410003fd665
4,"11/03/2023, 21:13:23",3.1.85,0,lumi.54ef4410003fd665
3,"11/03/2023, 21:52:11",3.1.85,1,lumi.54ef4410003fd665
2,"11/03/2023, 21:52:25",3.1.85,0,lumi.54ef4410003fd665
1,"11/03/2023, 21:52:37",3.1.85,1,lumi.54ef4410003fd665
0,"11/03/2023, 21:53:33",3.1.85,0,lumi.54ef4410003fd665
