,timeStamp,resourceId,value,subjectId
291,"11/16/2023, 00:10:34",0.3.85,102500,lumi.54ef4410004b0ef6
290,"11/16/2023, 00:19:31",0.3.85,102530,lumi.54ef4410004b0ef6
289,"11/16/2023, 00:32:06",0.1.85,2392,lumi.54ef4410004b0ef6
288,"11/16/2023, 00:32:06",0.2.85,5295,lumi.54ef4410004b0ef6
287,"11/16/2023, 00:32:06",0.3.85,102500,lumi.54ef4410004b0ef6
286,"11/16/2023, 00:36:41",0.3.85,102500,lumi.54ef4410004b0ef6
285,"11/16/2023, 01:06:47",0.3.85,102470,lumi.54ef4410004b0ef6
284,"11/16/2023, 01:11:53",0.3.85,102440,lumi.54ef4410004b0ef6
283,"11/16/2023, 01:21:33",0.3.85,102470,lumi.54ef4410004b0ef6
282,"11/16/2023, 01:26:51",0.1.85,2399,lumi.54ef4410004b0ef6
281,"11/16/2023, 01:26:51",0.2.85,5774,lumi.54ef4410004b0ef6
280,"11/16/2023, 01:26:51",0.3.85,102400,lumi.54ef4410004b0ef6
279,"11/16/2023, 01:47:19",0.3.85,102500,lumi.54ef4410004b0ef6
278,"11/16/2023, 01:54:58",0.3.85,102470,lumi.54ef4410004b0ef6
277,"11/16/2023, 02:03:22",0.3.85,102500,lumi.54ef4410004b0ef6
276,"11/16/2023, 02:13:34",0.3.85,102470,lumi.54ef4410004b0ef6
275,"11/16/2023, 02:14:51",0.3.85,102440,lumi.54ef4410004b0ef6
274,"11/16/2023, 02:21:36",0.1.85,2386,lumi.54ef4410004b0ef6
273,"11/16/2023, 02:21:36",0.2.85,5752,lumi.54ef4410004b0ef6
272,"11/16/2023, 02:21:36",0.3.85,102400,lumi.54ef4410004b0ef6
271,"11/16/2023, 02:24:22",0.3.85,102470,lumi.54ef4410004b0ef6
270,"11/16/2023, 02:27:06",0.3.85,102500,lumi.54ef4410004b0ef6
269,"11/16/2023, 03:08:52",0.3.85,102470,lumi.54ef4410004b0ef6
268,"11/16/2023, 03:13:26",0.3.85,102440,lumi.54ef4410004b0ef6
267,"11/16/2023, 03:16:21",0.1.85,2383,lumi.54ef4410004b0ef6
266,"11/16/2023, 03:16:21",0.2.85,5723,lumi.54ef4410004b0ef6
265,"11/16/2023, 03:16:21",0.3.85,102400,lumi.54ef4410004b0ef6
264,"11/16/2023, 03:36:27",0.3.85,102410,lumi.54ef4410004b0ef6
263,"11/16/2023, 03:51:57",0.3.85,102380,lumi.54ef4410004b0ef6
262,"11/16/2023, 03:56:42",0.3.85,102350,lumi.54ef4410004b0ef6
261,"11/16/2023, 04:06:54",0.3.85,102380,lumi.54ef4410004b0ef6
260,"11/16/2023, 04:11:06",0.1.85,2379,lumi.54ef4410004b0ef6
259,"11/16/2023, 04:11:06",0.2.85,5738,lumi.54ef4410004b0ef6
258,"11/16/2023, 04:11:06",0.3.85,102400,lumi.54ef4410004b0ef6
257,"11/16/2023, 04:22:27",0.3.85,102350,lumi.54ef4410004b0ef6
256,"11/16/2023, 04:42:52",0.3.85,102320,lumi.54ef4410004b0ef6
255,"11/16/2023, 04:48:31",0.3.85,102350,lumi.54ef4410004b0ef6
254,"11/16/2023, 04:57:39",0.3.85,102320,lumi.54ef4410004b0ef6
253,"11/16/2023, 05:05:51",0.1.85,2394,lumi.54ef4410004b0ef6
252,"11/16/2023, 05:05:51",0.2.85,5741,lumi.54ef4410004b0ef6
251,"11/16/2023, 05:05:51",0.3.85,102300,lumi.54ef4410004b0ef6
250,"11/16/2023, 05:13:22",0.3.85,102350,lumi.54ef4410004b0ef6
249,"11/16/2023, 05:19:56",0.3.85,102320,lumi.54ef4410004b0ef6
248,"11/16/2023, 05:39:38",0.3.85,102290,lumi.54ef4410004b0ef6
247,"11/16/2023, 05:45:06",0.3.85,102260,lumi.54ef4410004b0ef6
246,"11/16/2023, 06:00:36",0.1.85,2394,lumi.54ef4410004b0ef6
245,"11/16/2023, 06:00:36",0.2.85,5732,lumi.54ef4410004b0ef6
244,"11/16/2023, 06:00:36",0.3.85,102200,lumi.54ef4410004b0ef6
243,"11/16/2023, 06:09:13",0.3.85,102230,lumi.54ef4410004b0ef6
242,"11/16/2023, 06:12:19",0.3.85,102200,lumi.54ef4410004b0ef6
241,"11/16/2023, 06:28:00",0.3.85,102170,lumi.54ef4410004b0ef6
240,"11/16/2023, 06:36:01",0.3.85,102140,lumi.54ef4410004b0ef6
