,timeStamp,resourceId,value,subjectId
10,"12/21/2023, 00:05:16",13.1.85,1,lumi.158d0008f3a544
9,"12/21/2023, 00:05:18",13.1.85,2,lumi.158d0008f3a544
8,"12/21/2023, 02:22:55",13.1.85,1,lumi.158d0008f3a544
7,"12/21/2023, 02:29:45",13.1.85,1,lumi.158d0008f3a544
6,"12/21/2023, 02:30:46",13.1.85,1,lumi.158d0008f3a544
5,"12/21/2023, 02:34:15",13.1.85,1,lumi.158d0008f3a544
4,"12/21/2023, 13:33:07",13.1.85,1,lumi.158d0008f3a544
3,"12/21/2023, 13:33:08",13.1.85,2,lumi.158d0008f3a544
2,"12/21/2023, 22:18:41",13.1.85,1,lumi.158d0008f3a544
1,"12/21/2023, 23:45:17",13.1.85,1,lumi.158d0008f3a544
0,"12/21/2023, 23:46:43",13.1.85,1,lumi.158d0008f3a544
