,timeStamp,resourceId,value,subjectId
13,"01/01/2024, 00:35:41",0.3.85,0,lumi.54ef44100065d189
12,"01/01/2024, 01:30:21",0.3.85,0,lumi.54ef44100065d189
11,"01/01/2024, 02:25:01",0.3.85,0,lumi.54ef44100065d189
10,"01/01/2024, 03:19:41",0.3.85,0,lumi.54ef44100065d189
9,"01/01/2024, 04:14:21",0.3.85,0,lumi.54ef44100065d189
8,"01/01/2024, 05:09:01",0.3.85,0,lumi.54ef44100065d189
7,"01/01/2024, 06:03:41",0.3.85,0,lumi.54ef44100065d189
6,"01/01/2024, 06:58:21",0.3.85,0,lumi.54ef44100065d189
5,"01/01/2024, 07:53:01",0.3.85,0,lumi.54ef44100065d189
4,"01/01/2024, 08:47:41",0.3.85,0,lumi.54ef44100065d189
3,"01/01/2024, 09:42:21",0.3.85,0,lumi.54ef44100065d189
2,"01/01/2024, 10:37:02",0.3.85,0,lumi.54ef44100065d189
1,"01/01/2024, 11:31:42",0.3.85,2,lumi.54ef44100065d189
0,"01/01/2024, 11:52:10",0.3.85,6,lumi.54ef44100065d189
