,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
272,,0.3.85,"08/22/2023, 01:30:00",0.0,lumi.54ef44100065cf4d,3,"08/22/2023, 01:00:00"
271,"08/22/2023, 01:10:30",0.3.85,"08/22/2023, 01:30:00",0.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 01:00:00"
270,"08/22/2023, 01:10:30",0.3.85,"08/22/2023, 01:30:00",0.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 01:00:00"
269,,0.3.85,"08/22/2023, 04:00:00",0.0,lumi.54ef44100065cf4d,3,"08/22/2023, 03:30:00"
268,"08/22/2023, 03:53:57",0.3.85,"08/22/2023, 04:00:00",0.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 03:30:00"
267,"08/22/2023, 03:53:57",0.3.85,"08/22/2023, 04:00:00",0.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 03:30:00"
266,,0.3.85,"08/22/2023, 06:00:00",0.0,lumi.54ef44100065cf4d,3,"08/22/2023, 05:30:00"
265,"08/22/2023, 05:42:54",0.3.85,"08/22/2023, 06:00:00",0.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 05:30:00"
264,"08/22/2023, 05:42:54",0.3.85,"08/22/2023, 06:00:00",0.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 05:30:00"
263,,0.3.85,"08/22/2023, 06:30:00",15.0,lumi.54ef44100065cf4d,3,"08/22/2023, 06:00:00"
262,"08/22/2023, 06:23:56",0.3.85,"08/22/2023, 06:30:00",22.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 06:00:00"
261,"08/22/2023, 06:04:43",0.3.85,"08/22/2023, 06:30:00",8.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 06:00:00"
260,,0.3.85,"08/22/2023, 07:00:00",38.8,lumi.54ef44100065cf4d,3,"08/22/2023, 06:30:00"
259,"08/22/2023, 06:53:35",0.3.85,"08/22/2023, 07:00:00",51.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 06:30:00"
258,"08/22/2023, 06:30:32",0.3.85,"08/22/2023, 07:00:00",29.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 06:30:00"
257,,0.3.85,"08/22/2023, 07:30:00",87.6,lumi.54ef44100065cf4d,3,"08/22/2023, 07:00:00"
256,"08/22/2023, 07:19:14",0.3.85,"08/22/2023, 07:30:00",119.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 07:00:00"
255,"08/22/2023, 07:05:47",0.3.85,"08/22/2023, 07:30:00",61.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 07:00:00"
254,,0.3.85,"08/22/2023, 08:00:00",139.0,lumi.54ef44100065cf4d,3,"08/22/2023, 07:30:00"
253,"08/22/2023, 07:31:52",0.3.85,"08/22/2023, 08:00:00",139.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 07:30:00"
252,"08/22/2023, 07:31:52",0.3.85,"08/22/2023, 08:00:00",139.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 07:30:00"
251,,0.3.85,"08/22/2023, 08:30:00",111.75,lumi.54ef44100065cf4d,3,"08/22/2023, 08:00:00"
250,"08/22/2023, 08:28:16",0.3.85,"08/22/2023, 08:30:00",119.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 08:00:00"
249,"08/22/2023, 08:27:07",0.3.85,"08/22/2023, 08:30:00",100.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 08:00:00"
248,,0.3.85,"08/22/2023, 09:00:00",141.0,lumi.54ef44100065cf4d,3,"08/22/2023, 08:30:00"
247,"08/22/2023, 08:59:32",0.3.85,"08/22/2023, 09:00:00",141.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 08:30:00"
246,"08/22/2023, 08:59:32",0.3.85,"08/22/2023, 09:00:00",141.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 08:30:00"
245,,0.3.85,"08/22/2023, 09:30:00",168.0,lumi.54ef44100065cf4d,3,"08/22/2023, 09:00:00"
244,"08/22/2023, 09:14:38",0.3.85,"08/22/2023, 09:30:00",168.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 09:00:00"
243,"08/22/2023, 09:14:38",0.3.85,"08/22/2023, 09:30:00",168.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 09:00:00"
242,,0.3.85,"08/22/2023, 10:00:00",155.0,lumi.54ef44100065cf4d,3,"08/22/2023, 09:30:00"
241,"08/22/2023, 09:53:17",0.3.85,"08/22/2023, 10:00:00",168.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 09:30:00"
240,"08/22/2023, 09:38:31",0.3.85,"08/22/2023, 10:00:00",142.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 09:30:00"
239,,0.3.85,"08/22/2023, 10:30:00",143.833333,lumi.54ef44100065cf4d,3,"08/22/2023, 10:00:00"
238,"08/22/2023, 10:11:40",0.3.85,"08/22/2023, 10:30:00",168.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 10:00:00"
237,"08/22/2023, 10:22:41",0.3.85,"08/22/2023, 10:30:00",120.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 10:00:00"
236,,0.3.85,"08/22/2023, 11:00:00",157.2,lumi.54ef44100065cf4d,3,"08/22/2023, 10:30:00"
235,"08/22/2023, 10:31:16",0.3.85,"08/22/2023, 11:00:00",168.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 10:30:00"
234,"08/22/2023, 10:56:40",0.3.85,"08/22/2023, 11:00:00",141.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 10:30:00"
233,,0.3.85,"08/22/2023, 11:30:00",174.3,lumi.54ef44100065cf4d,3,"08/22/2023, 11:00:00"
232,"08/22/2023, 11:18:54",0.3.85,"08/22/2023, 11:30:00",213.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 11:00:00"
231,"08/22/2023, 11:02:17",0.3.85,"08/22/2023, 11:30:00",139.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 11:00:00"
230,,0.3.85,"08/22/2023, 12:00:00",154.833333,lumi.54ef44100065cf4d,3,"08/22/2023, 11:30:00"
229,"08/22/2023, 11:31:31",0.3.85,"08/22/2023, 12:00:00",205.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 11:30:00"
228,"08/22/2023, 11:38:32",0.3.85,"08/22/2023, 12:00:00",105.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 11:30:00"
227,,0.3.85,"08/22/2023, 12:30:00",164.230769,lumi.54ef44100065cf4d,3,"08/22/2023, 12:00:00"
226,"08/22/2023, 12:20:28",0.3.85,"08/22/2023, 12:30:00",213.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 12:00:00"
225,"08/22/2023, 12:00:29",0.3.85,"08/22/2023, 12:30:00",124.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 12:00:00"
224,,0.3.85,"08/22/2023, 13:00:00",153.307692,lumi.54ef44100065cf4d,3,"08/22/2023, 12:30:00"
223,"08/22/2023, 12:34:10",0.3.85,"08/22/2023, 13:00:00",193.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 12:30:00"
222,"08/22/2023, 12:53:24",0.3.85,"08/22/2023, 13:00:00",118.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 12:30:00"
221,,0.3.85,"08/22/2023, 13:30:00",153.666667,lumi.54ef44100065cf4d,3,"08/22/2023, 13:00:00"
220,"08/22/2023, 13:03:05",0.3.85,"08/22/2023, 13:30:00",202.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 13:00:00"
219,"08/22/2023, 13:28:59",0.3.85,"08/22/2023, 13:30:00",96.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 13:00:00"
218,,0.3.85,"08/22/2023, 14:00:00",123.8125,lumi.54ef44100065cf4d,3,"08/22/2023, 13:30:00"
217,"08/22/2023, 13:56:25",0.3.85,"08/22/2023, 14:00:00",159.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 13:30:00"
216,"08/22/2023, 13:41:51",0.3.85,"08/22/2023, 14:00:00",91.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 13:30:00"
215,,0.3.85,"08/22/2023, 14:30:00",137.941176,lumi.54ef44100065cf4d,3,"08/22/2023, 14:00:00"
214,"08/22/2023, 14:06:53",0.3.85,"08/22/2023, 14:30:00",169.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 14:00:00"
213,"08/22/2023, 14:27:11",0.3.85,"08/22/2023, 14:30:00",90.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 14:00:00"
212,,0.3.85,"08/22/2023, 15:00:00",107.058824,lumi.54ef44100065cf4d,3,"08/22/2023, 14:30:00"
211,"08/22/2023, 14:36:01",0.3.85,"08/22/2023, 15:00:00",140.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 14:30:00"
210,"08/22/2023, 14:56:45",0.3.85,"08/22/2023, 15:00:00",76.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 14:30:00"
209,,0.3.85,"08/22/2023, 15:30:00",102.217391,lumi.54ef44100065cf4d,3,"08/22/2023, 15:00:00"
208,"08/22/2023, 15:24:43",0.3.85,"08/22/2023, 15:30:00",127.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 15:00:00"
207,"08/22/2023, 15:06:05",0.3.85,"08/22/2023, 15:30:00",78.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 15:00:00"
206,,0.3.85,"08/22/2023, 16:00:00",76.909091,lumi.54ef44100065cf4d,3,"08/22/2023, 15:30:00"
205,"08/22/2023, 15:42:13",0.3.85,"08/22/2023, 16:00:00",121.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 15:30:00"
204,"08/22/2023, 15:58:30",0.3.85,"08/22/2023, 16:00:00",33.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 15:30:00"
203,,0.3.85,"08/22/2023, 16:30:00",28.8,lumi.54ef44100065cf4d,3,"08/22/2023, 16:00:00"
202,"08/22/2023, 16:26:43",0.3.85,"08/22/2023, 16:30:00",40.000000,lumi.54ef44100065cf4d,2,"08/22/2023, 16:00:00"
201,"08/22/2023, 16:07:29",0.3.85,"08/22/2023, 16:30:00",19.000000,lumi.54ef44100065cf4d,1,"08/22/2023, 16:00:00"
200,,0.3.85,"08/22/2023, 17:00:00",66.0,lumi.54ef44100065cf4d,3,"08/22/2023, 16:30:00"
