,timeStamp,resourceId,endTimeZone,value,subjectId,aggrType,startTimeZone
35,,13.1.85,"09/16/2023, 00:30:00","{""1"":4,""2"":1}",lumi.158d0008f34c71,4,"09/16/2023, 00:00:00"
34,,13.1.85,"09/16/2023, 01:00:00","{""1"":1,""2"":1}",lumi.158d0008f34c71,4,"09/16/2023, 00:30:00"
33,,13.1.85,"09/16/2023, 01:30:00","{""1"":2,""2"":2}",lumi.158d0008f34c71,4,"09/16/2023, 01:00:00"
32,,13.1.85,"09/16/2023, 02:00:00","{""1"":5,""2"":3}",lumi.158d0008f34c71,4,"09/16/2023, 01:30:00"
31,,13.1.85,"09/16/2023, 02:30:00","{""1"":7,""2"":7}",lumi.158d0008f34c71,4,"09/16/2023, 02:00:00"
30,,13.1.85,"09/16/2023, 03:00:00","{""1"":3,""2"":3}",lumi.158d0008f34c71,4,"09/16/2023, 02:30:00"
29,,13.1.85,"09/16/2023, 03:30:00","{""1"":2,""2"":2}",lumi.158d0008f34c71,4,"09/16/2023, 03:00:00"
28,,13.1.85,"09/16/2023, 04:00:00","{""1"":4}",lumi.158d0008f34c71,4,"09/16/2023, 03:30:00"
27,,13.1.85,"09/16/2023, 04:30:00","{""1"":3,""2"":3}",lumi.158d0008f34c71,4,"09/16/2023, 04:00:00"
26,,13.1.85,"09/16/2023, 05:00:00","{""1"":1,""2"":1}",lumi.158d0008f34c71,4,"09/16/2023, 04:30:00"
25,,13.1.85,"09/16/2023, 05:30:00","{""1"":5,""2"":2}",lumi.158d0008f34c71,4,"09/16/2023, 05:00:00"
24,,13.1.85,"09/16/2023, 06:00:00","{""1"":7,""2"":5}",lumi.158d0008f34c71,4,"09/16/2023, 05:30:00"
23,,13.1.85,"09/16/2023, 06:30:00","{""1"":3,""2"":5}",lumi.158d0008f34c71,4,"09/16/2023, 06:00:00"
22,,13.1.85,"09/16/2023, 07:00:00","{""1"":4,""2"":3}",lumi.158d0008f34c71,4,"09/16/2023, 06:30:00"
21,,13.1.85,"09/16/2023, 08:00:00","{""1"":2}",lumi.158d0008f34c71,4,"09/16/2023, 07:30:00"
20,,13.1.85,"09/17/2023, 00:30:00","{""1"":6,""2"":5}",lumi.158d0008f34c71,4,"09/17/2023, 00:00:00"
19,,13.1.85,"09/17/2023, 01:00:00","{""1"":2,""2"":5}",lumi.158d0008f34c71,4,"09/17/2023, 00:30:00"
18,,13.1.85,"09/17/2023, 01:30:00","{""1"":8,""2"":4}",lumi.158d0008f34c71,4,"09/17/2023, 01:00:00"
17,,13.1.85,"09/17/2023, 02:00:00","{""1"":5,""2"":5}",lumi.158d0008f34c71,4,"09/17/2023, 01:30:00"
16,,13.1.85,"09/17/2023, 02:30:00","{""1"":6,""2"":4}",lumi.158d0008f34c71,4,"09/17/2023, 02:00:00"
15,,13.1.85,"09/17/2023, 03:00:00","{""1"":4,""2"":4}",lumi.158d0008f34c71,4,"09/17/2023, 02:30:00"
14,,13.1.85,"09/17/2023, 05:00:00","{""1"":2,""2"":2}",lumi.158d0008f34c71,4,"09/17/2023, 04:30:00"
13,,13.1.85,"09/17/2023, 05:30:00","{""1"":2}",lumi.158d0008f34c71,4,"09/17/2023, 05:00:00"
12,,13.1.85,"09/17/2023, 06:00:00","{""1"":7,""2"":2}",lumi.158d0008f34c71,4,"09/17/2023, 05:30:00"
11,,13.1.85,"09/17/2023, 06:30:00","{""1"":2,""2"":1}",lumi.158d0008f34c71,4,"09/17/2023, 06:00:00"
10,,13.1.85,"09/17/2023, 07:00:00","{""1"":1,""2"":1}",lumi.158d0008f34c71,4,"09/17/2023, 06:30:00"
9,,13.1.85,"09/17/2023, 07:30:00","{""1"":2}",lumi.158d0008f34c71,4,"09/17/2023, 07:00:00"
8,,13.1.85,"09/17/2023, 08:00:00","{""1"":2,""2"":1}",lumi.158d0008f34c71,4,"09/17/2023, 07:30:00"
7,,13.1.85,"09/17/2023, 21:00:00","{""1"":2,""2"":1}",lumi.158d0008f34c71,4,"09/17/2023, 20:30:00"
6,,13.1.85,"09/17/2023, 21:30:00","{""1"":8}",lumi.158d0008f34c71,4,"09/17/2023, 21:00:00"
5,,13.1.85,"09/18/2023, 07:00:00","{""1"":4,""2"":1}",lumi.158d0008f34c71,4,"09/18/2023, 06:30:00"
4,,13.1.85,"09/18/2023, 07:30:00","{""1"":5,""2"":2}",lumi.158d0008f34c71,4,"09/18/2023, 07:00:00"
3,,13.1.85,"09/18/2023, 08:00:00","{""1"":4,""2"":1}",lumi.158d0008f34c71,4,"09/18/2023, 07:30:00"
2,,13.1.85,"09/18/2023, 08:30:00","{""1"":5}",lumi.158d0008f34c71,4,"09/18/2023, 08:00:00"
1,,13.1.85,"09/18/2023, 09:00:00","{""1"":3}",lumi.158d0008f34c71,4,"09/18/2023, 08:30:00"
0,,13.1.85,"09/18/2023, 09:30:00","{""1"":1}",lumi.158d0008f34c71,4,"09/18/2023, 09:00:00"
