,timeStamp,resourceId,value,subjectId
42,"10/25/2023, 07:48:04",13.1.85,1,lumi.158d0008f34c71
41,"10/25/2023, 07:48:08",13.1.85,2,lumi.158d0008f34c71
40,"10/25/2023, 08:06:03",13.1.85,2,lumi.158d0008f34c71
39,"10/25/2023, 08:19:15",13.1.85,2,lumi.158d0008f34c71
38,"10/25/2023, 08:30:22",13.1.85,1,lumi.158d0008f34c71
37,"10/25/2023, 08:37:43",13.1.85,2,lumi.158d0008f34c71
36,"10/25/2023, 08:39:31",13.1.85,1,lumi.158d0008f34c71
35,"10/25/2023, 08:39:37",13.1.85,2,lumi.158d0008f34c71
34,"10/25/2023, 08:40:46",13.1.85,2,lumi.158d0008f34c71
33,"10/25/2023, 08:43:09",13.1.85,2,lumi.158d0008f34c71
32,"10/25/2023, 08:50:48",13.1.85,1,lumi.158d0008f34c71
31,"10/25/2023, 08:50:50",13.1.85,2,lumi.158d0008f34c71
30,"10/25/2023, 08:57:59",13.1.85,1,lumi.158d0008f34c71
29,"10/25/2023, 09:08:25",13.1.85,2,lumi.158d0008f34c71
28,"10/25/2023, 09:08:27",13.1.85,1,lumi.158d0008f34c71
27,"10/25/2023, 09:08:42",13.1.85,2,lumi.158d0008f34c71
26,"10/25/2023, 09:09:27",13.1.85,1,lumi.158d0008f34c71
25,"10/25/2023, 09:20:06",13.1.85,2,lumi.158d0008f34c71
24,"10/25/2023, 09:39:34",13.1.85,1,lumi.158d0008f34c71
23,"10/25/2023, 10:03:42",13.1.85,2,lumi.158d0008f34c71
22,"10/26/2023, 03:16:37",13.1.85,1,lumi.158d0008f34c71
21,"10/26/2023, 03:33:21",13.1.85,1,lumi.158d0008f34c71
20,"10/26/2023, 03:35:21",13.1.85,1,lumi.158d0008f34c71
19,"10/26/2023, 03:38:23",13.1.85,1,lumi.158d0008f34c71
18,"10/26/2023, 04:23:10",13.1.85,1,lumi.158d0008f34c71
17,"10/26/2023, 04:52:02",13.1.85,1,lumi.158d0008f34c71
16,"10/26/2023, 04:52:22",13.1.85,2,lumi.158d0008f34c71
15,"10/26/2023, 04:54:44",13.1.85,2,lumi.158d0008f34c71
14,"10/26/2023, 05:08:50",13.1.85,1,lumi.158d0008f34c71
13,"10/26/2023, 05:14:10",13.1.85,1,lumi.158d0008f34c71
12,"10/26/2023, 05:30:18",13.1.85,2,lumi.158d0008f34c71
11,"10/26/2023, 05:31:20",13.1.85,1,lumi.158d0008f34c71
10,"10/26/2023, 05:43:18",13.1.85,1,lumi.158d0008f34c71
9,"10/26/2023, 06:14:02",13.1.85,1,lumi.158d0008f34c71
8,"10/26/2023, 06:17:00",13.1.85,2,lumi.158d0008f34c71
7,"10/26/2023, 06:19:31",13.1.85,1,lumi.158d0008f34c71
6,"10/26/2023, 06:36:44",13.1.85,2,lumi.158d0008f34c71
5,"10/26/2023, 06:37:28",13.1.85,1,lumi.158d0008f34c71
4,"10/26/2023, 07:01:11",13.1.85,1,lumi.158d0008f34c71
3,"10/26/2023, 07:02:45",13.1.85,2,lumi.158d0008f34c71
2,"10/26/2023, 07:03:15",13.1.85,1,lumi.158d0008f34c71
1,"10/26/2023, 07:12:51",13.1.85,2,lumi.158d0008f34c71
0,"10/26/2023, 07:16:55",13.1.85,1,lumi.158d0008f34c71
