,timeStamp,resourceId,value,subjectId
34,"11/22/2023, 00:00:46",0.3.85,14,lumi.54ef44100065cf4d
33,"11/22/2023, 00:00:51",0.3.85,22,lumi.54ef44100065cf4d
32,"11/22/2023, 00:01:31",0.3.85,15,lumi.54ef44100065cf4d
31,"11/22/2023, 00:01:45",0.3.85,22,lumi.54ef44100065cf4d
30,"11/22/2023, 00:02:40",0.3.85,34,lumi.54ef44100065cf4d
29,"11/22/2023, 00:03:34",0.3.85,27,lumi.54ef44100065cf4d
28,"11/22/2023, 00:28:19",0.3.85,39,lumi.54ef44100065cf4d
27,"11/22/2023, 00:28:44",0.3.85,46,lumi.54ef44100065cf4d
26,"11/22/2023, 00:28:59",0.3.85,27,lumi.54ef44100065cf4d
25,"11/22/2023, 00:29:29",0.3.85,25,lumi.54ef44100065cf4d
24,"11/22/2023, 00:30:20",0.3.85,45,lumi.54ef44100065cf4d
23,"11/22/2023, 00:30:50",0.3.85,29,lumi.54ef44100065cf4d
22,"11/22/2023, 00:32:29",0.3.85,22,lumi.54ef44100065cf4d
21,"11/22/2023, 01:07:17",0.3.85,29,lumi.54ef44100065cf4d
20,"11/22/2023, 01:07:27",0.3.85,22,lumi.54ef44100065cf4d
19,"11/22/2023, 01:10:45",0.3.85,0,lumi.54ef44100065cf4d
18,"11/22/2023, 02:18:26",0.3.85,0,lumi.54ef44100065cf4d
17,"11/22/2023, 03:12:55",0.3.85,0,lumi.54ef44100065cf4d
16,"11/22/2023, 04:07:25",0.3.85,0,lumi.54ef44100065cf4d
15,"11/22/2023, 05:01:29",0.3.85,7,lumi.54ef44100065cf4d
14,"11/22/2023, 05:01:39",0.3.85,0,lumi.54ef44100065cf4d
13,"11/22/2023, 06:50:52",0.3.85,0,lumi.54ef44100065cf4d
12,"11/22/2023, 07:26:13",0.3.85,6,lumi.54ef44100065cf4d
11,"11/22/2023, 07:44:22",0.3.85,13,lumi.54ef44100065cf4d
10,"11/22/2023, 07:45:21",0.3.85,14,lumi.54ef44100065cf4d
9,"11/22/2023, 08:03:37",0.3.85,20,lumi.54ef44100065cf4d
8,"11/22/2023, 08:09:49",0.3.85,27,lumi.54ef44100065cf4d
7,"11/22/2023, 08:33:39",0.3.85,34,lumi.54ef44100065cf4d
6,"11/22/2023, 08:39:50",0.3.85,35,lumi.54ef44100065cf4d
5,"11/22/2023, 09:25:55",0.3.85,41,lumi.54ef44100065cf4d
4,"11/22/2023, 09:34:19",0.3.85,43,lumi.54ef44100065cf4d
3,"11/22/2023, 10:16:36",0.3.85,48,lumi.54ef44100065cf4d
2,"11/22/2023, 10:28:48",0.3.85,52,lumi.54ef44100065cf4d
1,"11/22/2023, 10:53:25",0.3.85,57,lumi.54ef44100065cf4d
0,"11/22/2023, 11:23:17",0.3.85,63,lumi.54ef44100065cf4d
