,timeStamp,resourceId,value,subjectId
70,"12/24/2023, 02:15:28",3.1.85,1,lumi.54ef44100051ac1c
69,"12/24/2023, 02:58:50",3.1.85,1,lumi.54ef44100051ac1c
68,"12/24/2023, 03:01:48",3.1.85,1,lumi.54ef44100051ac1c
67,"12/24/2023, 03:16:43",3.1.85,1,lumi.54ef44100051ac1c
66,"12/24/2023, 03:38:32",3.1.85,1,lumi.54ef44100051ac1c
65,"12/24/2023, 03:40:07",3.1.85,1,lumi.54ef44100051ac1c
64,"12/24/2023, 03:56:12",3.1.85,1,lumi.54ef44100051ac1c
63,"12/24/2023, 04:21:49",3.1.85,1,lumi.54ef44100051ac1c
62,"12/24/2023, 05:54:01",3.1.85,1,lumi.54ef44100051ac1c
61,"12/24/2023, 20:07:41",3.1.85,1,lumi.54ef44100051ac1c
60,"12/24/2023, 20:38:24",3.1.85,1,lumi.54ef44100051ac1c
59,"12/24/2023, 20:39:32",3.1.85,1,lumi.54ef44100051ac1c
58,"12/24/2023, 20:42:01",3.1.85,1,lumi.54ef44100051ac1c
57,"12/24/2023, 21:04:58",3.1.85,1,lumi.54ef44100051ac1c
56,"12/24/2023, 21:07:57",3.1.85,1,lumi.54ef44100051ac1c
55,"12/24/2023, 21:11:00",3.1.85,1,lumi.54ef44100051ac1c
54,"12/24/2023, 21:12:28",3.1.85,1,lumi.54ef44100051ac1c
53,"12/24/2023, 21:14:24",3.1.85,1,lumi.54ef44100051ac1c
52,"12/24/2023, 21:15:53",3.1.85,1,lumi.54ef44100051ac1c
51,"12/24/2023, 21:21:24",3.1.85,1,lumi.54ef44100051ac1c
50,"12/24/2023, 21:22:23",3.1.85,1,lumi.54ef44100051ac1c
49,"12/24/2023, 21:25:09",3.1.85,1,lumi.54ef44100051ac1c
48,"12/24/2023, 21:47:25",3.1.85,1,lumi.54ef44100051ac1c
47,"12/24/2023, 21:49:35",3.1.85,1,lumi.54ef44100051ac1c
46,"12/24/2023, 21:54:30",3.1.85,1,lumi.54ef44100051ac1c
45,"12/24/2023, 21:57:46",3.1.85,1,lumi.54ef44100051ac1c
44,"12/24/2023, 22:02:12",3.1.85,1,lumi.54ef44100051ac1c
43,"12/24/2023, 22:05:04",3.1.85,1,lumi.54ef44100051ac1c
42,"12/24/2023, 22:06:37",3.1.85,1,lumi.54ef44100051ac1c
41,"12/24/2023, 22:07:37",3.1.85,1,lumi.54ef44100051ac1c
40,"12/24/2023, 22:12:15",3.1.85,1,lumi.54ef44100051ac1c
39,"12/24/2023, 22:39:19",3.1.85,1,lumi.54ef44100051ac1c
38,"12/24/2023, 22:53:37",3.1.85,1,lumi.54ef44100051ac1c
37,"12/24/2023, 23:05:46",3.1.85,1,lumi.54ef44100051ac1c
36,"12/24/2023, 23:07:10",3.1.85,1,lumi.54ef44100051ac1c
35,"12/24/2023, 23:30:20",3.1.85,1,lumi.54ef44100051ac1c
34,"12/25/2023, 00:09:18",3.1.85,1,lumi.54ef44100051ac1c
33,"12/25/2023, 00:11:48",3.1.85,1,lumi.54ef44100051ac1c
32,"12/25/2023, 15:00:49",3.1.85,1,lumi.54ef44100051ac1c
31,"12/25/2023, 15:02:35",3.1.85,1,lumi.54ef44100051ac1c
30,"12/25/2023, 15:03:42",3.1.85,1,lumi.54ef44100051ac1c
