,timeStamp,resourceId,value,subjectId
30,"01/08/2024, 02:32:58",3.1.85,0,lumi.54ef4410003fe7b5
29,"01/08/2024, 02:36:00",3.1.85,1,lumi.54ef4410003fe7b5
28,"01/08/2024, 02:36:07",3.1.85,0,lumi.54ef4410003fe7b5
27,"01/08/2024, 02:40:11",3.1.85,1,lumi.54ef4410003fe7b5
26,"01/08/2024, 02:40:13",3.1.85,0,lumi.54ef4410003fe7b5
25,"01/08/2024, 02:40:13",3.1.85,1,lumi.54ef4410003fe7b5
24,"01/08/2024, 02:40:25",3.1.85,0,lumi.54ef4410003fe7b5
23,"01/08/2024, 02:41:55",3.1.85,1,lumi.54ef4410003fe7b5
22,"01/08/2024, 02:41:57",3.1.85,0,lumi.54ef4410003fe7b5
21,"01/08/2024, 02:43:16",3.1.85,1,lumi.54ef4410003fe7b5
20,"01/08/2024, 02:43:20",3.1.85,0,lumi.54ef4410003fe7b5
19,"01/08/2024, 02:47:27",3.1.85,1,lumi.54ef4410003fe7b5
18,"01/08/2024, 02:47:38",3.1.85,0,lumi.54ef4410003fe7b5
17,"01/08/2024, 02:52:31",3.1.85,1,lumi.54ef4410003fe7b5
16,"01/08/2024, 02:53:26",3.1.85,0,lumi.54ef4410003fe7b5
15,"01/08/2024, 22:55:46",3.1.85,1,lumi.54ef4410003fe7b5
14,"01/08/2024, 22:55:54",3.1.85,0,lumi.54ef4410003fe7b5
13,"01/08/2024, 22:58:32",3.1.85,1,lumi.54ef4410003fe7b5
12,"01/08/2024, 22:58:37",3.1.85,0,lumi.54ef4410003fe7b5
11,"01/08/2024, 23:02:08",3.1.85,1,lumi.54ef4410003fe7b5
10,"01/08/2024, 23:02:10",3.1.85,0,lumi.54ef4410003fe7b5
9,"01/08/2024, 23:03:47",3.1.85,1,lumi.54ef4410003fe7b5
8,"01/08/2024, 23:03:50",3.1.85,0,lumi.54ef4410003fe7b5
7,"01/08/2024, 23:07:05",3.1.85,1,lumi.54ef4410003fe7b5
6,"01/08/2024, 23:07:16",3.1.85,0,lumi.54ef4410003fe7b5
5,"01/08/2024, 23:09:28",3.1.85,1,lumi.54ef4410003fe7b5
4,"01/08/2024, 23:09:33",3.1.85,0,lumi.54ef4410003fe7b5
3,"01/08/2024, 23:14:08",3.1.85,1,lumi.54ef4410003fe7b5
2,"01/08/2024, 23:14:14",3.1.85,0,lumi.54ef4410003fe7b5
1,"01/08/2024, 23:15:30",3.1.85,1,lumi.54ef4410003fe7b5
0,"01/08/2024, 23:15:35",3.1.85,0,lumi.54ef4410003fe7b5
