,timeStamp,resourceId,value,subjectId
12,"10/23/2023, 18:21:13",13.1.85,1,lumi.158d0008f34adb
11,"10/23/2023, 18:25:21",13.1.85,1,lumi.158d0008f34adb
10,"10/23/2023, 18:26:40",13.1.85,1,lumi.158d0008f34adb
9,"10/23/2023, 18:31:14",13.1.85,1,lumi.158d0008f34adb
8,"10/23/2023, 20:06:46",13.1.85,1,lumi.158d0008f34adb
7,"10/23/2023, 20:07:24",13.1.85,2,lumi.158d0008f34adb
6,"10/23/2023, 20:10:00",13.1.85,1,lumi.158d0008f34adb
5,"10/23/2023, 21:13:47",13.1.85,1,lumi.158d0008f34adb
4,"10/23/2023, 21:50:19",13.1.85,1,lumi.158d0008f34adb
3,"10/24/2023, 20:51:58",13.1.85,1,lumi.158d0008f34adb
2,"10/24/2023, 21:04:24",13.1.85,1,lumi.158d0008f34adb
1,"10/24/2023, 21:04:27",13.1.85,2,lumi.158d0008f34adb
0,"10/24/2023, 21:42:25",13.1.85,1,lumi.158d0008f34adb
