,timeStamp,resourceId,value,subjectId
11,"10/25/2023, 06:58:35",3.1.85,1,lumi.54ef4410003fd71e
10,"10/25/2023, 06:58:39",3.1.85,0,lumi.54ef4410003fd71e
9,"10/25/2023, 08:21:46",3.1.85,1,lumi.54ef4410003fd71e
8,"10/25/2023, 08:21:50",3.1.85,0,lumi.54ef4410003fd71e
7,"10/25/2023, 08:27:41",3.1.85,1,lumi.54ef4410003fd71e
6,"10/25/2023, 08:27:45",3.1.85,0,lumi.54ef4410003fd71e
5,"10/26/2023, 00:11:14",3.1.85,1,lumi.54ef4410003fd71e
4,"10/26/2023, 00:11:18",3.1.85,0,lumi.54ef4410003fd71e
3,"10/26/2023, 11:09:11",3.1.85,1,lumi.54ef4410003fd71e
2,"10/26/2023, 11:09:15",3.1.85,0,lumi.54ef4410003fd71e
1,"10/26/2023, 22:44:58",3.1.85,1,lumi.54ef4410003fd71e
0,"10/26/2023, 22:45:02",3.1.85,0,lumi.54ef4410003fd71e
