,timeStamp,resourceId,value,subjectId
63,"11/04/2023, 23:52:56",13.1.85,1,lumi.158d0008f3a422
62,"11/05/2023, 00:12:36",13.1.85,1,lumi.158d0008f3a422
61,"11/05/2023, 00:18:06",13.1.85,2,lumi.158d0008f3a422
60,"11/05/2023, 00:25:31",13.1.85,1,lumi.158d0008f3a422
59,"11/05/2023, 00:33:08",13.1.85,2,lumi.158d0008f3a422
58,"11/05/2023, 00:41:32",13.1.85,2,lumi.158d0008f3a422
57,"11/05/2023, 00:44:36",13.1.85,1,lumi.158d0008f3a422
56,"11/05/2023, 00:55:59",13.1.85,2,lumi.158d0008f3a422
55,"11/05/2023, 01:09:02",13.1.85,2,lumi.158d0008f3a422
54,"11/05/2023, 01:27:38",13.1.85,2,lumi.158d0008f3a422
53,"11/05/2023, 01:32:07",13.1.85,1,lumi.158d0008f3a422
52,"11/05/2023, 01:36:06",13.1.85,2,lumi.158d0008f3a422
51,"11/05/2023, 01:39:37",13.1.85,1,lumi.158d0008f3a422
50,"11/05/2023, 01:41:21",13.1.85,2,lumi.158d0008f3a422
49,"11/05/2023, 10:15:17",13.1.85,1,lumi.158d0008f3a422
48,"11/05/2023, 10:15:52",13.1.85,2,lumi.158d0008f3a422
47,"11/05/2023, 10:16:20",13.1.85,1,lumi.158d0008f3a422
46,"11/05/2023, 10:17:07",13.1.85,2,lumi.158d0008f3a422
45,"11/05/2023, 10:17:27",13.1.85,1,lumi.158d0008f3a422
44,"11/05/2023, 10:36:39",13.1.85,1,lumi.158d0008f3a422
43,"11/05/2023, 10:37:52",13.1.85,1,lumi.158d0008f3a422
42,"11/05/2023, 10:42:38",13.1.85,1,lumi.158d0008f3a422
41,"11/05/2023, 10:45:57",13.1.85,1,lumi.158d0008f3a422
40,"11/05/2023, 10:53:45",13.1.85,1,lumi.158d0008f3a422
39,"11/05/2023, 10:53:47",13.1.85,2,lumi.158d0008f3a422
38,"11/05/2023, 10:57:58",13.1.85,1,lumi.158d0008f3a422
37,"11/05/2023, 11:05:35",13.1.85,1,lumi.158d0008f3a422
36,"11/05/2023, 11:12:54",13.1.85,1,lumi.158d0008f3a422
35,"11/05/2023, 11:18:50",13.1.85,1,lumi.158d0008f3a422
34,"11/05/2023, 11:18:51",13.1.85,2,lumi.158d0008f3a422
33,"11/05/2023, 11:30:36",13.1.85,1,lumi.158d0008f3a422
32,"11/05/2023, 12:11:21",13.1.85,1,lumi.158d0008f3a422
31,"11/05/2023, 16:14:02",13.1.85,1,lumi.158d0008f3a422
30,"11/05/2023, 16:16:31",13.1.85,1,lumi.158d0008f3a422
29,"11/05/2023, 16:25:41",13.1.85,1,lumi.158d0008f3a422
28,"11/05/2023, 16:39:45",13.1.85,1,lumi.158d0008f3a422
27,"11/05/2023, 16:42:15",13.1.85,1,lumi.158d0008f3a422
26,"11/05/2023, 16:51:35",13.1.85,1,lumi.158d0008f3a422
25,"11/05/2023, 16:57:36",13.1.85,2,lumi.158d0008f3a422
24,"11/05/2023, 16:57:37",13.1.85,1,lumi.158d0008f3a422
23,"11/05/2023, 17:01:00",13.1.85,1,lumi.158d0008f3a422
22,"11/05/2023, 18:22:47",13.1.85,1,lumi.158d0008f3a422
21,"11/05/2023, 18:24:48",13.1.85,1,lumi.158d0008f3a422
20,"11/05/2023, 18:26:11",13.1.85,2,lumi.158d0008f3a422
19,"11/05/2023, 18:39:59",13.1.85,1,lumi.158d0008f3a422
18,"11/05/2023, 18:40:00",13.1.85,2,lumi.158d0008f3a422
17,"11/05/2023, 18:42:27",13.1.85,1,lumi.158d0008f3a422
16,"11/05/2023, 18:51:22",13.1.85,1,lumi.158d0008f3a422
15,"11/05/2023, 18:57:03",13.1.85,1,lumi.158d0008f3a422
14,"11/05/2023, 19:03:56",13.1.85,2,lumi.158d0008f3a422
13,"11/05/2023, 19:04:27",13.1.85,1,lumi.158d0008f3a422
12,"11/05/2023, 19:14:02",13.1.85,2,lumi.158d0008f3a422
11,"11/05/2023, 19:16:16",13.1.85,1,lumi.158d0008f3a422
10,"11/05/2023, 19:30:25",13.1.85,1,lumi.158d0008f3a422
9,"11/05/2023, 19:36:07",13.1.85,1,lumi.158d0008f3a422
8,"11/05/2023, 19:53:17",13.1.85,1,lumi.158d0008f3a422
7,"11/05/2023, 19:55:14",13.1.85,2,lumi.158d0008f3a422
6,"11/05/2023, 20:01:16",13.1.85,2,lumi.158d0008f3a422
5,"11/05/2023, 20:01:21",13.1.85,1,lumi.158d0008f3a422
4,"11/05/2023, 20:24:40",13.1.85,1,lumi.158d0008f3a422
3,"11/05/2023, 20:27:11",13.1.85,1,lumi.158d0008f3a422
2,"11/05/2023, 20:52:58",13.1.85,1,lumi.158d0008f3a422
1,"11/05/2023, 21:09:50",13.1.85,1,lumi.158d0008f3a422
0,"11/05/2023, 23:37:17",13.1.85,2,lumi.158d0008f3a422
