,timeStamp,resourceId,value,subjectId
170,"12/16/2023, 12:00:07",0.3.85,49,lumi.54ef44100065d28d
169,"12/16/2023, 12:03:15",0.3.85,42,lumi.54ef44100065d28d
168,"12/16/2023, 12:03:50",0.3.85,41,lumi.54ef44100065d28d
167,"12/16/2023, 12:04:22",0.3.85,35,lumi.54ef44100065d28d
166,"12/16/2023, 12:09:10",0.3.85,42,lumi.54ef44100065d28d
165,"12/16/2023, 12:09:50",0.3.85,50,lumi.54ef44100065d28d
164,"12/16/2023, 12:14:33",0.3.85,59,lumi.54ef44100065d28d
163,"12/16/2023, 12:15:53",0.3.85,70,lumi.54ef44100065d28d
162,"12/16/2023, 12:30:18",0.3.85,59,lumi.54ef44100065d28d
161,"12/16/2023, 12:36:06",0.3.85,70,lumi.54ef44100065d28d
160,"12/16/2023, 12:37:40",0.3.85,58,lumi.54ef44100065d28d
159,"12/16/2023, 12:38:05",0.3.85,69,lumi.54ef44100065d28d
158,"12/16/2023, 12:40:34",0.3.85,56,lumi.54ef44100065d28d
157,"12/16/2023, 12:41:04",0.3.85,47,lumi.54ef44100065d28d
156,"12/16/2023, 12:41:58",0.3.85,57,lumi.54ef44100065d28d
155,"12/16/2023, 12:43:08",0.3.85,48,lumi.54ef44100065d28d
154,"12/16/2023, 12:44:42",0.3.85,59,lumi.54ef44100065d28d
153,"12/16/2023, 12:45:17",0.3.85,70,lumi.54ef44100065d28d
152,"12/16/2023, 12:48:01",0.3.85,58,lumi.54ef44100065d28d
151,"12/16/2023, 12:50:15",0.3.85,70,lumi.54ef44100065d28d
150,"12/16/2023, 12:53:19",0.3.85,58,lumi.54ef44100065d28d
149,"12/16/2023, 12:55:43",0.3.85,69,lumi.54ef44100065d28d
148,"12/16/2023, 12:57:03",0.3.85,57,lumi.54ef44100065d28d
147,"12/16/2023, 12:57:18",0.3.85,49,lumi.54ef44100065d28d
146,"12/16/2023, 12:57:43",0.3.85,59,lumi.54ef44100065d28d
145,"12/16/2023, 12:58:32",0.3.85,64,lumi.54ef44100065d28d
144,"12/16/2023, 13:05:52",0.3.85,47,lumi.54ef44100065d28d
143,"12/16/2023, 13:06:31",0.3.85,64,lumi.54ef44100065d28d
142,"12/16/2023, 13:08:56",0.3.85,54,lumi.54ef44100065d28d
141,"12/16/2023, 13:09:06",0.3.85,66,lumi.54ef44100065d28d
140,"12/16/2023, 13:09:55",0.3.85,51,lumi.54ef44100065d28d
139,"12/16/2023, 13:10:30",0.3.85,61,lumi.54ef44100065d28d
138,"12/16/2023, 13:16:38",0.3.85,51,lumi.54ef44100065d28d
137,"12/16/2023, 13:18:17",0.3.85,61,lumi.54ef44100065d28d
136,"12/16/2023, 13:19:12",0.3.85,50,lumi.54ef44100065d28d
135,"12/16/2023, 13:19:22",0.3.85,60,lumi.54ef44100065d28d
134,"12/16/2023, 13:19:42",0.3.85,49,lumi.54ef44100065d28d
133,"12/16/2023, 13:20:07",0.3.85,61,lumi.54ef44100065d28d
132,"12/16/2023, 13:21:01",0.3.85,50,lumi.54ef44100065d28d
131,"12/16/2023, 13:21:41",0.3.85,43,lumi.54ef44100065d28d
130,"12/16/2023, 13:24:00",0.3.85,36,lumi.54ef44100065d28d
129,"12/16/2023, 13:29:03",0.3.85,43,lumi.54ef44100065d28d
128,"12/16/2023, 13:29:28",0.3.85,52,lumi.54ef44100065d28d
127,"12/16/2023, 13:30:28",0.3.85,43,lumi.54ef44100065d28d
126,"12/16/2023, 13:30:48",0.3.85,62,lumi.54ef44100065d28d
125,"12/16/2023, 13:31:03",0.3.85,48,lumi.54ef44100065d28d
124,"12/16/2023, 13:32:12",0.3.85,62,lumi.54ef44100065d28d
123,"12/16/2023, 13:32:27",0.3.85,49,lumi.54ef44100065d28d
122,"12/16/2023, 13:33:27",0.3.85,67,lumi.54ef44100065d28d
121,"12/16/2023, 13:35:06",0.3.85,53,lumi.54ef44100065d28d
120,"12/16/2023, 13:35:21",0.3.85,63,lumi.54ef44100065d28d
119,"12/16/2023, 13:38:55",0.3.85,53,lumi.54ef44100065d28d
118,"12/16/2023, 13:39:00",0.3.85,43,lumi.54ef44100065d28d
117,"12/16/2023, 13:39:05",0.3.85,58,lumi.54ef44100065d28d
